,Play,Expert,Odds,Units,Payout,Profit,Name,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
5,M.Betts o1.5 Total Bases,charliedisturco,110,0.5,1.05,0.55,M.Betts,Los Angeles Dodgers,Los Angeles Angels,1.0,0.5119047619047619,1.0,0.6,1.0,0.7,1.0
10,K.Carpenter o1.5 Total Bases,charliedisturco,160,0.5,1.3,0.8,K.Carpenter,Detroit Tigers,Toronto Blue Jays,1.0,,,,,,
25,C.Walker o1.5 Total Bases,charliedisturco,105,0.5,1.025,0.5249999999999999,C.Walker,Arizona Diamondbacks,Pittsburgh Pirates,1.0,,,,,,
28,M.Betts o1.5 Total Bases,charliedisturco,110,0.5,1.05,0.55,M.Betts,Los Angeles Dodgers,Los Angeles Angels,1.0,,,,,,
