,Play,Expert,Odds,Units,Payout,Profit,Name,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
4,K.Tucker o0.5 RBI,Thespinzone,130,0.1,0.2299999999999999,0.1299999999999999,K.Tucker,Houston Astros,Baltimore Orioles,0.0,0.4247787610619469,0.0,0.6,1.0,0.7,1.0
6,A.Bregman o0.5 RBI,Thespinzone,170,0.13,0.351,0.221,A.Bregman,Houston Astros,Baltimore Orioles,0.0,0.3947368421052631,0.0,0.4,0.0,0.3,0.0
9,N.Arenado o0.5 RBI,Thespinzone,155,0.15,0.3824999999999999,0.2324999999999999,N.Arenado,St. Louis Cardinals,Tampa Bay Rays,0.0,0.4259259259259259,0.0,0.6,1.0,0.4,0.0
10,K.Tucker o0.5 RBI,Thespinzone,130,0.1,0.2299999999999999,0.1299999999999999,K.Tucker,Houston Astros,Baltimore Orioles,0.0,,,,,,
11,Y.Diaz o0.5 RBI,Thespinzone,135,0.14,0.329,0.189,Y.Diaz,Houston Astros,Baltimore Orioles,0.0,,,,,,
18,A.Bohm o0.5 RBI,Thespinzone,150,0.1,0.25,0.15,A.Bohm,Philadelphia Phillies,Washington Nationals,1.0,,,,,,
21,N.Arenado o0.5 RBI,Thespinzone,155,0.15,0.3824999999999999,0.2324999999999999,N.Arenado,St. Louis Cardinals,Tampa Bay Rays,0.0,,,,,,
22,Y.Diaz o0.5 RBI,Thespinzone,160,0.15,0.39,0.24,Y.Diaz,Houston Astros,Baltimore Orioles,0.0,,,,,,
28,M.Massey o0.5 RBI,Thespinzone,170,0.1,0.27,0.17,M.Massey,Kansas City Royals,Boston Red Sox,0.0,,,,,,
29,F.Fermin o0.5 RBI,Thespinzone,185,0.15,0.4275,0.2774999999999999,F.Fermin,Kansas City Royals,Boston Red Sox,0.0,,,,,,
