Unnamed: 0,Play,Expert,Odds,Units,Payout,Profit,Name,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
7,O.Arcia o0.5 Runs Scored,Thespinzone,117,0.18,0.3905999999999999,0.2105999999999999,O.Arcia,Atlanta Braves,Pittsburgh Pirates,0.0,,,,,,
8,B.Reynolds o0.5 Runs Scored,Thespinzone,105,0.11,0.2254999999999999,0.1154999999999999,B.Reynolds,Pittsburgh Pirates,Atlanta Braves,1.0,,,,,,
9,G.Henderson o0.5 Runs Scored,Thespinzone,-103,0.15,0.295631067961165,0.145631067961165,G.Henderson,Baltimore Orioles,Houston Astros,1.0,,,,,,
19,L.Thomas o0.5 Runs Scored,Thespinzone,155,0.13,0.3314999999999999,0.2014999999999999,L.Thomas,Washington Nationals,Philadelphia Phillies,0.0,,,,,,
23,L.Nootbaar o0.5 Runs Scored,Thespinzone,-107,0.15,0.2901869158878504,0.1401869158878504,L.Nootbaar,St. Louis Cardinals,Tampa Bay Rays,0.0,,,,,,
3,B.Reynolds o0.5 Runs Scored,Thespinzone,105,0.11,0.2254999999999999,0.1154999999999999,B.Reynolds,Pittsburgh Pirates,Atlanta Braves,1.0,0.42,0.0,0.6,1.0,0.6,1.0
8,L.Thomas o0.5 Runs Scored,Thespinzone,155,0.13,0.3314999999999999,0.2014999999999999,L.Thomas,Washington Nationals,Philadelphia Phillies,0.0,0.5625,1.0,1.0,1.0,0.7,1.0
12,M.Wallner o0.5 Runs Scored,Thespinzone,125,0.1,0.225,0.125,M.Wallner,Minnesota Twins,Detroit Tigers,0.0,0.4545454545454545,0.0,0.6,1.0,0.6,1.0
10,P.Goldschmidt o1.5 Total Bases,NicholaskMartin,115,0.58,1.247,0.6669999999999999,P.Goldschmidt,St. Louis Cardinals,Tampa Bay Rays,0.0,0.4363636363636363,0.0,0.8,1.0,0.4,0.0
3,W.Franco o1.5 Total Bases,Dan Servodidio,-110,1.0,1.9090909090909092,0.9090909090909092,W.Franco,Tampa Bay Rays,St. Louis Cardinals,1.0,,,,,,
17,G.Springer o1.5 Total Bases,NicholaskMartin,105,1.05,2.1525,1.1024999999999998,G.Springer,Toronto Blue Jays,Cleveland Guardians,0.0,,,,,,
25,L.Nootbaar o1.5 Total Bases,NicholaskMartin,125,0.63,1.4175,0.7875,L.Nootbaar,St. Louis Cardinals,Tampa Bay Rays,0.0,,,,,,
26,P.Goldschmidt o1.5 Total Bases,NicholaskMartin,115,0.58,1.247,0.6669999999999999,P.Goldschmidt,St. Louis Cardinals,Tampa Bay Rays,0.0,,,,,,
4,K.Tucker o0.5 RBI,Thespinzone,130,0.1,0.2299999999999999,0.1299999999999999,K.Tucker,Houston Astros,Baltimore Orioles,0.0,0.4247787610619469,0.0,0.6,1.0,0.7,1.0
6,A.Bregman o0.5 RBI,Thespinzone,170,0.13,0.351,0.221,A.Bregman,Houston Astros,Baltimore Orioles,0.0,0.3947368421052631,0.0,0.4,0.0,0.3,0.0
9,N.Arenado o0.5 RBI,Thespinzone,155,0.15,0.3824999999999999,0.2324999999999999,N.Arenado,St. Louis Cardinals,Tampa Bay Rays,0.0,0.4259259259259259,0.0,0.6,1.0,0.4,0.0
10,K.Tucker o0.5 RBI,Thespinzone,130,0.1,0.2299999999999999,0.1299999999999999,K.Tucker,Houston Astros,Baltimore Orioles,0.0,,,,,,
11,Y.Diaz o0.5 RBI,Thespinzone,135,0.14,0.329,0.189,Y.Diaz,Houston Astros,Baltimore Orioles,0.0,,,,,,
18,A.Bohm o0.5 RBI,Thespinzone,150,0.1,0.25,0.15,A.Bohm,Philadelphia Phillies,Washington Nationals,1.0,,,,,,
21,N.Arenado o0.5 RBI,Thespinzone,155,0.15,0.3824999999999999,0.2324999999999999,N.Arenado,St. Louis Cardinals,Tampa Bay Rays,0.0,,,,,,
22,Y.Diaz o0.5 RBI,Thespinzone,160,0.15,0.39,0.24,Y.Diaz,Houston Astros,Baltimore Orioles,0.0,,,,,,
28,M.Massey o0.5 RBI,Thespinzone,170,0.1,0.27,0.17,M.Massey,Kansas City Royals,Boston Red Sox,0.0,,,,,,
29,F.Fermin o0.5 RBI,Thespinzone,185,0.15,0.4275,0.2774999999999999,F.Fermin,Kansas City Royals,Boston Red Sox,0.0,,,,,,
5,Y.Alvarez o0.5 HR,Thespinzone,300,0.08,0.32,0.24,Y.Alvarez,Houston Astros,Baltimore Orioles,0.0,0.2463768115942029,0.0,0.4,0.0,0.4,0.0
1,A.Nola o5.5 strikeouts,Teddy Ricketson,-170,1.0,1.5882352941176472,0.5882352941176472,A.Nola,Philadelphia Phillies,Washington Nationals,1.0,,,,,,
15,A.Manoah o4.5 Ks,Thespinzone,110,0.11,0.231,0.121,A.Manoah,Toronto Blue Jays,Cleveland Guardians,0.0,,,,,,
30,J.Paxton u6.5 Ks,PropBetGuy,108,1.08,2.2464000000000004,1.1664000000000003,J.Paxton,Boston Red Sox,Kansas City Royals,1.0,,,,,,
33,K.Maeda o5.5 Ks,JoeDellera,-145,0.5,0.8448275862068966,0.3448275862068966,K.Maeda,Minnesota Twins,Detroit Tigers,0.0,,,,,,
34,K.Maeda o6.5 Ks,JoeDellera,120,0.3,0.66,0.36,K.Maeda,Minnesota Twins,Detroit Tigers,0.0,,,,,,
