,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv
0,M.Vientos o0.5 RBI,Thespinzone,175,0.13,M.Vientos,0.3575,0.2274999999999999,New York Mets,Cleveland Guardians,1.0
1,S.Perez o0.5 RBI,Thespinzone,123,0.08,S.Perez,0.1784,0.0984,Kansas City Royals,Chicago White Sox,0.0
2,D.Fletcher o0.5 RBI,Thespinzone,205,0.08,D.Fletcher,0.244,0.1639999999999999,Arizona Diamondbacks,Pittsburgh Pirates,0.0
3,J.Lowe o0.5 RBI,Thespinzone,210,0.08,J.Lowe,0.248,0.1679999999999999,Tampa Bay Rays,Milwaukee Brewers,1.0
