,Play,Expert,Odds,Units,Payout,Profit,Name,Team,Opponent,Hmcrt_adv
0,Y.Diaz o0.5 Runs Scored,Thespinzone,100,0.11,0.22,0.11,Y.Diaz,Tampa Bay Rays,Baltimore Orioles,1.0
1,G.Henderson o0.5 Runs Scored,Thespinzone,120,0.11,0.242,0.132,G.Henderson,Baltimore Orioles,Tampa Bay Rays,0.0
2,L.Thomas o0.5 Runs Scored,Thespinzone,-103,0.15,0.295631067961165,0.145631067961165,L.Thomas,Washington Nationals,San Francisco Giants,1.0
3,C.Bellinger o0.5 Runs Scored,Thespinzone,140,0.14,0.336,0.196,C.Bellinger,Chicago Cubs,St. Louis Cardinals,1.0
