,Play,Expert,Odds,Units,Payout,Profit,Name,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,A.Bohm o0.5 RBI,Thespinzone,200,0.1,0.3,0.2,A.Bohm,Philadelphia Phillies,Miami Marlins,0.0,0.4042553191489361,0,0.4,0,0.4,0
1,R.Adams o0.5 RBI,Thespinzone,210,0.1,0.31,0.21,R.Adams,Washington Nationals,Milwaukee Brewers,1.0,0.3461538461538461,0,0.8,1,0.4,0
