,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,J.Martinez o0.5 Total Bases,Thespinzone,115,0.29,J.Martinez,0.6234999999999999,0.3334999999999999,Los Angeles Dodgers,Atlanta Braves,0.0,,,,,,
3,J.Martinez o1.5 Total Bases,charliedisturco,130,0.65,J.Martinez,1.495,0.8450000000000001,Los Angeles Dodgers,Atlanta Braves,0.0,,,,,,
12,R.Arozarena o1.5 Total Bases,charliedisturco,130,0.5,R.Arozarena,1.15,0.6499999999999999,Tampa Bay Rays,Toronto Blue Jays,1.0,,,,,,
13,R.Castro o1.5 Total Bases,charliedisturco,165,0.83,R.Castro,2.1995,1.3695,Pittsburgh Pirates,Texas Rangers,1.0,,,,,,
27,J.Soto o1.5 Total Bases,NicholaskMartin,-110,0.75,J.Soto,1.431818181818182,0.6818181818181821,San Diego Padres,Washington Nationals,0.0,,,,,,
33,G.Springer o1.5 total bases,Chris Landers,130,1.0,G.Springer,2.3,1.2999999999999998,Toronto Blue Jays,Tampa Bay Rays,0.0,,,,,,
34,A.Judge o1.5 total bases,Dan Servodidio,-110,1.0,A.Judge,1.9090909090909087,0.9090909090909088,New York Yankees,Baltimore Orioles,1.0,,,,,,
35,J.Turner o1.5 total bases,Dan Servodidio,-110,1.0,J.Turner,1.9090909090909087,0.9090909090909088,Boston Red Sox,Los Angeles Angels,0.0,,,,,,
0,J.Martinez o0.5 Total Bases,Thespinzone,115,0.29,J.Martinez,0.6234999999999999,0.3334999999999999,Los Angeles Dodgers,Atlanta Braves,0.0,0.6470588235294118,1.0,1.0,1.0,0.8,1.0
2,J.Martinez o1.5 Total Bases,charliedisturco,130,0.65,J.Martinez,1.495,0.8450000000000001,Los Angeles Dodgers,Atlanta Braves,0.0,0.4705882352941176,0.0,0.8,1.0,0.6,1.0
6,J.Soto o1.5 Total Bases,NicholaskMartin,-110,0.75,J.Soto,1.431818181818182,0.6818181818181821,San Diego Padres,Washington Nationals,0.0,0.25,0.0,0.4,0.0,0.4,0.0
7,G.Springer o1.5 total bases,Chris Landers,130,1.0,G.Springer,2.3,1.2999999999999998,Toronto Blue Jays,Tampa Bay Rays,0.0,0.2978723404255319,0.0,0.8,1.0,0.6,1.0
8,A.Judge o1.5 total bases,Dan Servodidio,-110,1.0,A.Judge,1.9090909090909087,0.9090909090909088,New York Yankees,Baltimore Orioles,1.0,0.4615384615384615,0.0,0.8,1.0,0.6,1.0
