,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv
0,A.Rizzo o1.5 Total Bases,NicholaskMartin,150,0.75,A.Rizzo,1.875,1.125,New York Yankees,Toronto Blue Jays,0.0
1,P.Alonso o1.5 Total Bases,charliedisturco,100,0.5,P.Alonso,1.0,0.5,New York Mets,Washington Nationals,0.0
