Unnamed: 0,Play,Expert,Odds,Units,Payout,Profit,Name,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
1,B.Reynolds o1.5 Total Bases,NicholaskMartin,100,0.75,1.5,0.75,B.Reynolds,Pittsburgh Pirates,Chicago Cubs,1.0,0.3432835820895522,0.0,0.6,1.0,0.3,0.0
3,M.Machado o1.5 Total Bases,charliedisturco,110,0.5,1.05,0.55,M.Machado,San Diego Padres,San Francisco Giants,0.0,0.2363636363636363,0.0,0.2,0.0,0.2,0.0
4,M.McLain o1.5 Total Bases,cowhitchurch,137,0.5,1.185,0.685,M.McLain,Cincinnati Reds,Colorado Rockies,1.0,,,,,,
6,M.McLain o1.5 Total Bases,charliedisturco,115,0.5,1.075,0.575,M.McLain,Cincinnati Reds,Colorado Rockies,1.0,,,,,,
8,B.Reynolds o1.5 Total Bases,NicholaskMartin,100,0.75,1.5,0.75,B.Reynolds,Pittsburgh Pirates,Chicago Cubs,1.0,,,,,,
9,K.Carpenter o1.5 Total Bases,charliedisturco,120,0.5,1.1,0.6000000000000001,K.Carpenter,Detroit Tigers,Kansas City Royals,1.0,,,,,,
12,M.Machado o1.5 Total Bases,charliedisturco,110,0.5,1.05,0.55,M.Machado,San Diego Padres,San Francisco Giants,0.0,,,,,,
4,M.Machado o0.5 HR,charliedisturco,525,0.1,0.625,0.525,M.Machado,San Diego Padres,San Francisco Giants,0.0,0.109090909090909,0.0,0.4,0.0,0.3,0.0
0,M.Kelly o6.5 strikeouts,Teddy Ricketson,110,1.0,2.1,1.1,M.Kelly,Arizona Diamondbacks,Milwaukee Brewers,0.0,,,,,,
2,J.Berrios o4.5 strikeouts,Dan Servodidio,-110,1.0,1.9090909090909092,0.9090909090909092,J.Berrios,Toronto Blue Jays,Miami Marlins,0.0,,,,,,
11,J.Berrios o4.5 Ks,JoeDellera,105,0.5,1.025,0.5249999999999999,J.Berrios,Toronto Blue Jays,Miami Marlins,0.0,,,,,,
14,H.Brown o5.5 Ks,JoeDellera,-118,0.5,0.923728813559322,0.423728813559322,H.Brown,Houston Astros,New York Mets,1.0,,,,,,
3,C.Burnes u6.5 strikeouts,Dan Servodidio,-110,1.0,1.9090909090909092,0.9090909090909092,C.Burnes,Milwaukee Brewers,Arizona Diamondbacks,1.0,,,,,,
