,Play,Expert,Odds,Units,Payout,Profit,Name,Team,Opponent,Hmcrt_adv
6,L.Thomas o0.5 Runs Scored,Thespinzone,100,0.15,0.3,0.15,L.Thomas,Washington Nationals,Arizona Diamondbacks,1.0
7,G.Perdomo o0.5 Runs Scored,Thespinzone,105,0.16,0.3279999999999999,0.1679999999999999,G.Perdomo,Arizona Diamondbacks,Washington Nationals,0.0
