,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
1,A.Abbott u4.5 Ks,GreenDotDaily,-124,1.0,A.Abbott,1.8064516129032255,0.8064516129032258,Cincinnati Reds,San Diego Padres,1.0,0.6666666666666666,1,0.6,1,0.6666666666666666,1
2,A.Abbott u4.5 Ks,SBK5065,-130,1.0,A.Abbott,1.7692307692307692,0.7692307692307692,Cincinnati Reds,San Diego Padres,1.0,0.6666666666666666,1,0.6,1,0.6666666666666666,1
3,A.Abbott u4.5 Ks,The_Oddsmaker,-124,1.24,A.Abbott,2.24,0.9999999999999998,Cincinnati Reds,San Diego Padres,1.0,0.6666666666666666,1,0.6,1,0.6666666666666666,1
4,A.Abbott u4.5 Ks,charliedisturco,-124,0.62,A.Abbott,1.12,0.4999999999999999,Cincinnati Reds,San Diego Padres,1.0,0.6666666666666666,1,0.6,1,0.6666666666666666,1
23,K.Bradish u2.5 BB,SBK5065,-155,1.3,K.Bradish,2.138709677419355,0.8387096774193548,Baltimore Orioles,St Louis Cardinals,0.0,1.0,1,1.0,1,1.0,1
34,A.Abbott u4.5 ks,Jason Radowitz,-144,1.0,A.Abbott,1.6944444444444444,0.6944444444444444,Cincinnati Reds,San Diego Padres,1.0,0.6666666666666666,1,0.6,1,0.6666666666666666,1
49,L.Webb u5.5 strikeouts,Rotowire,100,0.75,L.Webb,1.5,0.75,San Francisco Giants,Pittsburgh Pirates,0.0,0.8,1,0.6,1,0.8,1
