,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv
4,M.Betts o1.5 Total Bases,charliedisturco,135,0.68,M.Betts,1.598,0.918,Los Angeles Dodgers,Philadelphia Phillies,1.0
7,M.Chapman o1.5 Total Bases,charliedisturco,-110,0.55,M.Chapman,1.05,0.5,Toronto Blue Jays,Boston Red Sox,0.0
14,M.Chapman o1.5 total bases,Dan Servodidio,-110,1.0,M.Chapman,1.9090909090909087,0.9090909090909088,Toronto Blue Jays,Boston Red Sox,0.0
