,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
0,0,0,0.0,0,A.Verdugo o0.5 Runs Scored,Thespinzone,110,0.08,A.Verdugo,0.168,0.088,Boston Red Sox,Seattle Mariners,1.0,0.675,1,1.0,1,0.7,1,N
1,2,2,2.0,2,A.Rizzo o1.5 Total Bases,NicholaskMartin,150,0.75,A.Rizzo,1.875,1.125,New York Yankees,Toronto Blue Jays,0.0,0.4634146341463415,0,0.8,1,0.6,1,Y
2,3,3,3.0,3,A.Rizzo o0.5 RBI,NicholaskMartin,195,0.68,A.Rizzo,2.006,1.3259999999999996,New York Yankees,Toronto Blue Jays,0.0,0.3658536585365853,0,0.6,1,0.5,0,Y
3,6,6,10.0,10,J.Taillon u4.5 Ks,The_Oddsmaker,-110,1.0,J.Taillon,1.9090909090909087,0.9090909090909088,Chicago Cubs,Houston Astros,0.0,0.4,0,0.4,0,0.4,0,Y
4,12,12,,0,B.Harper o1.5 hits+runs+rbi,Dan Servodidio,-110,1.0,B.Harper,1.9090909090909087,0.9090909090909088,Philadelphia Phillies,San Francisco Giants,0.0,0.7,1,0.6,1,0.7,1,Y
