,Unnamed: 0,Play,Expert,Odds,Units,Payout,Profit,Name,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
0,13,C.Yelich o0.5 Runs Scored,Thespinzone,-105,0.15,0.2928571428571428,0.1428571428571428,C.Yelich,Milwaukee Brewers,Philadelphia Phillies,0.0,0.5222222222222223,1,0.8,1,0.7,1,N
1,17,G.Henderson o0.5 RBI,Thespinzone,180,0.08,0.2239999999999999,0.1439999999999999,G.Henderson,Baltimore Orioles,Los Angeles Dodgers,1.0,0.2891566265060241,0,0.8,1,0.6,1,N
2,18,J.Martinez o0.5 RBI,Thespinzone,145,0.1,0.245,0.145,J.Martinez,Los Angeles Dodgers,Baltimore Orioles,0.0,0.4675324675324675,0,0.8,1,0.6,1,Y
3,19,F.Freeman o0.5 Runs Scored,Thespinzone,100,0.15,0.3,0.15,F.Freeman,Los Angeles Dodgers,Baltimore Orioles,0.0,0.6129032258064516,1,0.4,0,0.5,0,Y
4,24,B.Ober o5.5 Ks,cowhitchurch,-116,1.16,2.16,0.9999999999999998,B.Ober,Minnesota Twins,Seattle Mariners,0.0,0.6428571428571429,1,0.6,1,0.6,1,N
5,25,B.Ober o5.5 Ks,AnthonyDabbundo,-116,1.16,2.16,0.9999999999999998,B.Ober,Minnesota Twins,Seattle Mariners,0.0,0.6428571428571429,1,0.6,1,0.6,1,N
6,28,A.Manoah o4.5 Hits Allowed,kylemurray03,-130,1.0,1.7692307692307692,0.7692307692307692,A.Manoah,Toronto Blue Jays,San Diego Padres,1.0,0.5714285714285714,1,0.6,1,0.6,1,N
7,30,A.DeSclafani u3.5 Ks,gneiffer07,100,1.0,2.0,1.0,A.DeSclafani,San Francisco Giants,Cincinnati Reds,0.0,0.4705882352941176,0,0.6,1,0.6,1,N
8,32,B.Elder o3.5 Ks,gneiffer07,-135,1.35,2.35,1.0,B.Elder,Atlanta Braves,Arizona Diamondbacks,1.0,0.7222222222222222,1,0.6,1,0.7,1,Y
9,37,T.Skubal o4.5 Ks,gneiffer07,-155,1.55,2.55,0.9999999999999998,T.Skubal,Detroit Tigers,Kansas City Royals,0.0,1.0,1,1.0,1,1.0,1,N
10,40,D.German u6.5 Ks,gneiffer07,-140,1.4,2.4,1.0,D.German,New York Yankees,Los Angeles Angels,0.0,0.7058823529411765,1,0.6,1,0.8,1,N
