,Unnamed: 0,Play,Expert,Odds,Units,Payout,Profit,Name,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
0,0,Z.Gallen o5.5 strikeouts,Teddy Ricketson,115,1.0,2.15,1.15,Z.Gallen,Arizona Diamondbacks,Los Angeles Dodgers,0,0.6153846153846154,1,0.8,1,0.5,0,N
1,1,C.Raleigh o0.5 hits,Teddy Ricketson,-165,1.0,1.606060606060606,0.606060606060606,C.Raleigh,Seattle Mariners,Oakland Athletics,1,0.5258620689655172,1,0.6,1,0.6,1,X
2,6,A.Duvall o0.5 RBI,Thespinzone,138,0.1,0.238,0.1379999999999999,A.Duvall,Boston Red Sox,Houston Astros,1,0.3823529411764705,0,0.8,1,0.6,1,Y
3,7,C.Javier u5.5 Ks,SBK5065,-185,1.2,1.8486486486486489,0.6486486486486487,C.Javier,Houston Astros,Boston Red Sox,0,0.7586206896551724,1,1.0,1,0.9,1,Y
4,8,G.Rodriguez u6.5 Ks,SBK5065,-142,0.5,0.852112676056338,0.352112676056338,G.Rodriguez,Baltimore Orioles,Chicago White Sox,1,0.875,1,1.0,1,1.0,1,Y
5,11,G.Rodriguez u5.5 Ks,jimsannes,126,1.0,2.26,1.2599999999999998,G.Rodriguez,Baltimore Orioles,Chicago White Sox,1,0.5,0,0.6,1,0.6,1,N
6,12,B.Drury o0.5 RBI,Thespinzone,155,0.15,0.3824999999999999,0.2324999999999999,B.Drury,Los Angeles Angels,Philadelphia Phillies,0,0.3645833333333333,0,0.8,1,0.7,1,Y
7,16,C.Seager o0.5 RBI,Thespinzone,120,0.1,0.22,0.12,C.Seager,Texas Rangers,New York Mets,0,0.5393258426966292,1,0.8,1,0.5,0,N
8,22,K.Muller u5.5 Ks,jimsannes,-132,1.3,2.284848484848485,0.9848484848484852,K.Muller,Oakland Athletics,Seattle Mariners,0,0.9230769230769232,1,1.0,1,0.9,1,N
9,24,B.Elder u4.5 Ks,jimsannes,-150,1.5,2.5,1.0,B.Elder,Atlanta Braves,Colorado Rockies,0,0.7,1,1.0,1,1.0,1,Y
