,Play,Expert,Odds,Units,Payout,Profit,Name,Team,Opponent,Hmcrt_adv
0,J.Luzardo o6.5 strikeouts,Chris Landers,115,1.0,2.15,1.15,J.Luzardo,Miami Marlins,St. Louis Cardinals,0.0
1,J.Luzardo o6.0 strikeouts,Dan Servodidio,-110,1.0,1.9090909090909092,0.9090909090909092,J.Luzardo,Miami Marlins,St. Louis Cardinals,0.0
2,L.Webb o5.5 Ks,cowhitchurch,-142,0.71,1.21,0.5,L.Webb,San Francisco Giants,Cincinnati Reds,0.0
3,S.McClanahan u5.5 Ks,Zerillo,-110,0.28,0.5345454545454547,0.2545454545454546,S.McClanahan,Tampa Bay Rays,Texas Rangers,0.0
4,S.McClanahan u5.5 Ks,jimsannes,-112,1.0,1.8928571428571428,0.8928571428571428,S.McClanahan,Tampa Bay Rays,Texas Rangers,0.0
5,L.Gilbert u7.5 Ks,The_Oddsmaker,-135,1.35,2.35,1.0,L.Gilbert,Seattle Mariners,Minnesota Twins,1.0
6,L.Gilbert u7.5 Ks,cowhitchurch,-135,1.35,2.35,1.0,L.Gilbert,Seattle Mariners,Minnesota Twins,1.0
7,L.Gilbert u7.5 Ks,SBK5065,-130,0.65,1.15,0.4999999999999999,L.Gilbert,Seattle Mariners,Minnesota Twins,1.0
8,S.Gray u5.5 Ks,jimsannes,108,1.0,2.08,1.08,S.Gray,Minnesota Twins,Seattle Mariners,0.0
9,D.Smyly u4.5 Ks,The_Oddsmaker,-142,1.42,2.42,1.0,D.Smyly,Chicago Cubs,Washington Nationals,1.0
