Name,Team,Opponent,Hmcrt_adv,AB,R,H,RBI,BB,SO,PA,OBP,SLG,OPS,WPA,aLI,cWPA,acLI,RE24,H+R+RBI,1B,2B,3B,HR,TB,Date
M.Winn,St Louis Cardinals,Chicago Cubs,0,5,0,2,0,0,0,5,0.33,0.414,0.744,-0.05,0.82,-0.03,0.92,-0.7,2,2,0,0,0,2,802
A.Burleson,St Louis Cardinals,Chicago Cubs,0,4,1,0,0,1,1,5,0.313,0.462,0.775,-0.052,0.83,-0.03,0.93,-0.5,1,0,0,0,0,0,802
W.Contreras,St Louis Cardinals,Chicago Cubs,0,4,0,0,0,1,3,5,0.375,0.485,0.86,-0.024,0.52,-0.02,0.59,-0.4,0,0,0,0,0,0,802
P.Goldschmidt,St Louis Cardinals,Chicago Cubs,0,2,0,0,1,2,1,4,0.296,0.397,0.693,0.054,0.99,0.04,1.11,0.8,1,0,0,0,0,0,802
N.Arenado,St Louis Cardinals,Chicago Cubs,0,3,1,0,0,1,0,4,0.319,0.384,0.702,-0.078,1.14,-0.05,1.29,-1.0,1,0,0,0,0,0,802
L.Nootbaar,St Louis Cardinals,Chicago Cubs,0,3,0,0,0,1,1,4,0.325,0.389,0.714,-0.017,0.74,-0.01,0.83,-0.1,0,0,0,0,0,0,802
T.Pham,St Louis Cardinals,Chicago Cubs,0,3,0,0,1,1,0,4,0.338,0.398,0.736,-0.008,0.99,-0.01,1.11,0.3,1,0,0,0,0,0,802
B.Donovan,St Louis Cardinals,Chicago Cubs,0,3,0,1,1,1,1,4,0.329,0.389,0.718,0.061,1.16,0.04,1.31,0.6,2,1,0,0,0,1,802
M.Siani,St Louis Cardinals,Chicago Cubs,0,2,1,1,0,1,0,3,0.301,0.329,0.63,0.016,0.42,0.01,0.47,0.3,2,1,0,0,0,1,802
B.Crawford,St Louis Cardinals,Chicago Cubs,0,1,0,0,0,0,1,1,0.276,0.299,0.575,-0.132,5.15,-0.09,5.8,-0.8,0,0,0,0,0,0,802
I.Happ,Chicago Cubs,St. Louis Cardinals,1,4,0,0,0,0,1,4,0.336,0.434,0.769,-0.043,0.42,-0.01,0.12,-1.2,0,0,0,0,0,0,802
M.Busch,Chicago Cubs,St. Louis Cardinals,1,4,1,1,1,0,0,4,0.344,0.451,0.796,0.02,0.33,0.0,0.1,0.3,3,-13,0,0,14,4,802
S.Suzuki,Chicago Cubs,St. Louis Cardinals,1,4,1,2,0,0,1,4,0.347,0.5,0.847,0.062,0.25,0.01,0.07,1.3,3,-21,19,4,0,5,802
C.Bellinger,Chicago Cubs,St. Louis Cardinals,1,4,0,1,0,0,0,4,0.338,0.435,0.773,-0.05,0.52,-0.01,0.15,-0.7,1,1,0,0,0,1,802
I.Paredes,Chicago Cubs,St. Louis Cardinals,1,4,0,0,0,0,2,4,0.35,0.427,0.777,-0.034,0.38,-0.01,0.11,-0.8,0,0,0,0,0,0,802
N.Hoerner,Chicago Cubs,St. Louis Cardinals,1,4,1,1,0,0,0,4,0.327,0.345,0.672,0.014,0.28,0.0,0.09,-0.3,2,1,0,0,0,1,802
D.Swanson,Chicago Cubs,St. Louis Cardinals,1,3,1,1,0,0,1,3,0.296,0.351,0.647,0.022,0.6,0.0,0.18,-0.2,2,1,0,0,0,1,802
P.Crow-Armstrong,Chicago Cubs,St. Louis Cardinals,1,2,1,1,1,1,0,3,0.242,0.308,0.55,0.102,0.64,0.02,0.19,1.5,3,1,0,0,0,1,802
C.Bethancourt,Chicago Cubs,St. Louis Cardinals,1,3,1,1,3,0,1,3,0.224,0.323,0.547,0.177,0.62,0.03,0.18,2.1,5,-2,0,0,3,4,802
M.Garcia,Kansas City Royals,Detroit Tigers,0,5,1,1,0,0,1,5,0.285,0.343,0.628,-0.038,0.84,-0.03,1.11,-1.1,2,1,0,0,0,1,802
B.Witt,Kansas City Royals,Detroit Tigers,0,5,1,1,0,0,2,5,0.396,0.6,0.996,0.055,0.78,0.04,1.02,1.0,2,1,0,0,0,0,802
V.Pasquantino,Kansas City Royals,Detroit Tigers,0,5,1,1,2,0,1,5,0.319,0.441,0.76,0.083,0.79,0.07,1.03,0.9,4,1,0,0,0,1,802
S.Perez,Kansas City Royals,Detroit Tigers,0,5,3,3,2,0,1,5,0.339,0.476,0.815,0.134,0.68,0.1,0.89,1.8,8,-35,18,0,20,7,802
