,Unnamed: 0,Name,Team,Opponent,Hmcrt_adv,AB,R,H,RBI,BB,SO,PA,OBP,SLG,OPS,WPA,aLI,cWPA,acLI,RE24,H+R+RBI,1B,2B,3B,HR,TB,Date
0,0,K.Schwarber,Philadelphia Phillies,Toronto Blue Jays,0,3,1,2,1,1,1,4,0.371,0.482,0.853,0.133,0.81,0.1,1.0,1.4,4,-30,0,0,32,5,904
1,1,J.Rojas,Philadelphia Phillies,Toronto Blue Jays,0,1,0,0,0,0,1,1,0.277,0.298,0.575,0.016,0.94,0.01,1.16,-0.1,0,0,0,0,0,0,904
2,2,T.Turner,Philadelphia Phillies,Toronto Blue Jays,0,3,0,0,0,1,0,4,0.345,0.46,0.805,-0.065,0.92,-0.05,1.13,-0.5,0,0,0,0,0,0,904
3,3,B.Harper,Philadelphia Phillies,Toronto Blue Jays,0,0,0,0,0,0,0,1,0.372,0.521,0.893,0.022,0.56,0.02,0.69,0.3,0,0,0,0,0,0,904
4,4,E.Sosa,Philadelphia Phillies,Toronto Blue Jays,0,2,0,0,0,0,1,3,0.316,0.437,0.753,-0.029,0.97,-0.02,1.19,-0.4,0,0,0,0,0,0,904
5,5,N.Castellanos,Philadelphia Phillies,Toronto Blue Jays,0,4,0,1,0,0,1,4,0.302,0.418,0.72,-0.086,1.04,-0.06,1.27,-0.8,1,1,0,0,0,1,904
6,6,B.Stott,Philadelphia Phillies,Toronto Blue Jays,0,4,0,0,0,0,1,4,0.317,0.359,0.676,-0.124,1.21,-0.09,1.48,-1.3,0,0,0,0,0,0,904
7,7,J.Realmuto,Philadelphia Phillies,Toronto Blue Jays,0,4,1,1,1,0,1,4,0.317,0.422,0.739,0.015,0.87,0.01,1.06,0.2,3,-11,0,0,12,0,904
8,8,B.Marsh,Philadelphia Phillies,Toronto Blue Jays,0,3,1,3,0,0,0,4,0.333,0.426,0.759,0.122,0.72,0.09,0.88,1.6,4,-11,14,0,0,4,904
9,9,W.Wilson,Philadelphia Phillies,Toronto Blue Jays,0,4,0,0,0,0,2,4,0.359,0.576,0.936,-0.145,1.17,-0.11,1.43,-1.6,0,0,0,0,0,0,904
