Name,Team,Opponent,Hmcrt_adv,AB,R,H,RBI,BB,SO,PA,OBP,SLG,OPS,WPA,aLI,cWPA,acLI,RE24,H+R+RBI,1B,2B,3B,HR,TB
Anthony Rendon,Los Angeles Angels,Baltimore Orioles,0,4,0,0,0,0,2,4,0.0,0.0,0.0,-0.031,0.3,-0.02,0.29,-0.7,0,0,0,0,0,0
Aaron Hicks,Los Angeles Angels,Baltimore Orioles,0,3,0,0,0,1,2,4,0.25,0.0,0.25,-0.028,0.36,-0.02,0.34,-0.2,0,0,0,0,0,0
Mike Trout,Los Angeles Angels,Baltimore Orioles,0,3,1,1,1,0,1,3,0.333,1.333,1.667,0.087,0.35,0.05,0.33,0.5,3,0,0,0,1,4
Mickey Moniak,Los Angeles Angels,Baltimore Orioles,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0,0,0,0,0,0
Taylor Ward,Los Angeles Angels,Baltimore Orioles,0,4,0,0,0,0,2,4,0.0,0.0,0.0,-0.021,0.2,-0.01,0.19,-0.8,0,0,0,0,0,0
Brandon Drury,Los Angeles Angels,Baltimore Orioles,0,2,0,0,0,0,1,2,0.0,0.0,0.0,-0.032,0.63,-0.02,0.6,-0.5,0,0,0,0,0,0
Luis Rengifo,Los Angeles Angels,Baltimore Orioles,0,1,1,1,0,0,0,1,1.0,2.0,3.0,0.0,0.01,0.0,0.01,0.6,2,0,1,0,0,0
Nolan Schanuel,Los Angeles Angels,Baltimore Orioles,0,2,1,0,0,1,1,3,0.333,0.0,0.333,-0.021,0.29,-0.01,0.28,0.1,1,0,0,0,0,0
Miguel Sanó,Los Angeles Angels,Baltimore Orioles,0,2,0,0,0,0,2,2,0.0,0.0,0.0,-0.013,0.26,-0.01,0.24,-0.2,0,0,0,0,0,0
Jo Adell,Los Angeles Angels,Baltimore Orioles,0,1,0,0,0,0,1,1,0.0,0.0,0.0,-0.001,0.03,0.0,0.03,-0.6,0,0,0,0,0,0
Logan O'Hoppe,Los Angeles Angels,Baltimore Orioles,0,2,0,0,0,1,0,3,0.333,0.0,0.333,-0.023,0.31,-0.01,0.29,0.2,0,0,0,0,0,0
Zach Neto,Los Angeles Angels,Baltimore Orioles,0,3,0,0,1,0,2,3,0.0,0.0,0.0,-0.015,0.2,-0.01,0.19,0.3,1,0,0,0,0,0
Gunnar Henderson,Baltimore Orioles,Los Angeles Angels,1,4,1,1,0,1,1,5,0.4,0.25,0.65,0.002,0.49,0.0,0.46,-0.5,2,1,0,0,0,1
Adley Rutschman,Baltimore Orioles,Los Angeles Angels,1,4,3,2,2,1,0,5,0.6,0.5,1.1,0.179,0.56,0.1,0.53,1.7,7,2,0,0,0,2
Ryan Mountcastle,Baltimore Orioles,Los Angeles Angels,1,3,0,1,1,1,1,5,0.4,0.333,0.733,0.071,0.54,0.04,0.52,0.7,2,1,0,0,0,1
Anthony Santander,Baltimore Orioles,Los Angeles Angels,1,4,1,1,4,0,0,5,0.2,1.0,1.2,0.062,0.72,0.03,0.69,1.3,6,0,0,0,1,4
Austin Hays,Baltimore Orioles,Los Angeles Angels,1,4,1,1,0,1,2,5,0.4,0.25,0.65,-0.059,0.44,-0.03,0.41,-0.3,2,1,0,0,0,1
Jordan Westburg,Baltimore Orioles,Los Angeles Angels,1,3,0,1,1,0,0,3,0.333,0.333,0.667,0.083,0.81,0.05,0.77,0.3,2,1,0,0,0,1
Ryan O'Hearn,Baltimore Orioles,Los Angeles Angels,1,1,1,1,0,0,0,1,1.0,2.0,3.0,0.001,0.02,0.0,0.02,1.1,2,0,1,0,0,2
Cedric Mullins,Baltimore Orioles,Los Angeles Angels,1,4,1,1,3,0,0,4,0.25,1.0,1.25,-0.05,0.47,-0.03,0.45,0.6,5,0,0,0,1,4
Ramón Urías,Baltimore Orioles,Los Angeles Angels,1,3,1,0,0,1,0,4,0.25,0.0,0.25,0.025,0.21,0.01,0.2,0.7,1,0,0,0,0,0
Jorge Mateo,Baltimore Orioles,Los Angeles Angels,1,3,2,1,0,1,1,4,0.5,0.667,1.167,0.09,0.26,0.05,0.25,1.5,3,0,1,0,0,2
Andy Ibáñez,Detroit Tigers,Chicago White Sox,0,2,0,1,1,0,1,3,0.333,0.5,0.833,0.013,0.95,0.01,0.95,0.0,2,1,0,0,0,1
Kerry Carpenter,Detroit Tigers,Chicago White Sox,0,0,0,0,0,0,0,1,1.0,,,0.025,0.71,0.01,0.7,0.3,0,0,0,0,0,0
Spencer Torkelson,Detroit Tigers,Chicago White Sox,0,4,0,2,0,0,0,4,0.5,0.5,1.0,0.005,0.79,0.0,0.78,0.1,2,2,0,0,0,2
Riley Greene,Detroit Tigers,Chicago White Sox,0,4,0,0,0,0,2,4,0.0,0.0,0.0,-0.103,1.02,-0.06,1.01,-1.1,0,0,0,0,0,0
Mark Canha,Detroit Tigers,Chicago White Sox,0,3,0,0,0,1,2,4,0.25,0.0,0.25,-0.04,1.09,-0.02,1.08,-0.3,0,0,0,0,0,0
