Name,Team,Opponent,Hmcrt_adv,AB,R,H,RBI,BB,SO,PA,OBP,SLG,OPS,WPA,aLI,cWPA,acLI,RE24,H+R+RBI,1B,2B,3B,HR,TB,Date
C.Blackmon,Colorado Rockies,Chicago White Sox,0,4,0,0,0,0,2,4,0.332,0.403,0.735,-0.102,1.05,0.0,0.0,-0.8,0,0,0,0,0,0,629
B.Doyle,Colorado Rockies,Chicago White Sox,0,4,0,0,0,0,1,4,0.321,0.385,0.706,-0.089,0.85,0.0,0.0,-0.8,0,0,0,0,0,0,629
E.Tovar,Colorado Rockies,Chicago White Sox,0,4,0,1,0,0,0,4,0.313,0.475,0.787,-0.013,0.39,0.0,0.0,-0.4,1,1,0,0,0,1,629
R.McMahon,Colorado Rockies,Chicago White Sox,0,3,0,0,0,0,0,3,0.349,0.467,0.816,-0.06,0.75,0.0,0.0,-0.6,0,0,0,0,0,0,629
A.Schunk,Colorado Rockies,Chicago White Sox,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0,0,0,0,0,0,629
B.Rodgers,Colorado Rockies,Chicago White Sox,0,2,2,2,1,1,0,3,0.316,0.41,0.726,0.206,0.97,0.0,0.0,1.8,5,-3,0,0,5,5,629
E.Montero,Colorado Rockies,Chicago White Sox,0,1,0,0,0,0,1,1,0.267,0.304,0.571,0.0,0.0,0.0,0.0,-0.1,0,0,0,0,0,0,629
M.Toglia,Colorado Rockies,Chicago White Sox,0,3,0,0,0,0,0,3,0.235,0.447,0.682,-0.164,1.48,0.0,0.01,-1.3,0,0,0,0,0,0,629
N.Jones,Colorado Rockies,Chicago White Sox,0,3,1,1,2,0,1,3,0.298,0.323,0.621,0.164,0.71,0.0,0.0,1.5,4,-2,0,0,3,4,629
J.Stallings,Colorado Rockies,Chicago White Sox,0,2,0,0,0,1,1,3,0.359,0.435,0.795,0.037,0.88,0.0,0.0,-0.0,0,0,0,0,0,0,629
J.Cave,Colorado Rockies,Chicago White Sox,0,2,0,0,0,0,0,2,0.301,0.324,0.624,-0.021,0.42,0.0,0.0,-0.3,0,0,0,0,0,0,629
H.Goodman,Colorado Rockies,Chicago White Sox,0,1,0,0,0,0,1,1,0.234,0.451,0.685,-0.058,2.6,0.0,0.01,-0.4,0,0,0,0,0,0,629
T.Pham,Chicago White Sox,Colorado Rockies,1,5,0,2,0,0,1,5,0.35,0.386,0.735,-0.029,0.65,0.0,0.0,0.0,2,-7,9,0,0,3,629
A.Benintendi,Chicago White Sox,Colorado Rockies,1,5,0,0,0,0,0,5,0.244,0.301,0.545,-0.099,0.72,0.0,0.0,-1.5,0,0,0,0,0,0,629
L.Robert,Chicago White Sox,Colorado Rockies,1,4,2,1,1,1,3,5,0.285,0.505,0.789,0.155,0.68,0.0,0.0,0.7,4,-8,0,0,9,0,629
G.Sheets,Chicago White Sox,Colorado Rockies,1,3,0,0,0,0,2,3,0.336,0.405,0.741,-0.079,1.05,0.0,0.0,-0.6,0,0,0,0,0,0,629
E.Jimenez,Chicago White Sox,Colorado Rockies,1,1,0,1,0,0,0,1,0.281,0.364,0.645,0.012,0.35,0.0,0.0,0.6,1,1,0,0,0,1,629
A.Vaughn,Chicago White Sox,Colorado Rockies,1,3,2,2,1,0,0,4,0.295,0.383,0.678,0.076,0.66,0.0,0.0,1.8,5,2,0,0,0,2,629
P.DeJong,Chicago White Sox,Colorado Rockies,1,4,2,2,3,0,1,4,0.286,0.46,0.745,0.221,1.05,0.0,0.0,2.0,7,-13,0,0,15,5,629
N.Lopez,Chicago White Sox,Colorado Rockies,1,3,1,1,0,0,1,4,0.3,0.283,0.584,-0.001,0.58,0.0,0.0,-0.1,2,-5,6,0,0,2,629
K.Lee,Chicago White Sox,Colorado Rockies,1,4,1,1,3,0,2,4,0.274,0.388,0.662,-0.066,0.69,0.0,0.0,1.2,5,-7,0,0,8,4,629
L.Sosa,Chicago White Sox,Colorado Rockies,1,3,2,2,2,1,0,4,0.26,0.331,0.59,0.21,0.38,0.0,0.0,3.0,6,-1,0,0,3,5,629
