,Unnamed: 0,Name,Team,Opponent,Hmcrt_adv,AB,R,H,RBI,BB,SO,PA,OBP,SLG,OPS,WPA,aLI,cWPA,acLI,RE24,H+R+RBI,1B,2B,3B,HR,TB,Date
0,0,C.Blackmon,Colorado Rockies,Detroit Tigers,0,3,0,0,0,0,0,3,0.32,0.39,0.71,-0.035,0.45,0.0,0.0,-0.7,0,0,0,0,0,0,910
1,1,E.Tovar,Colorado Rockies,Detroit Tigers,0,3,0,1,0,0,1,3,0.294,0.464,0.758,-0.023,0.31,0.0,0.0,-0.1,1,1,0,0,0,1,910
2,2,B.Doyle,Colorado Rockies,Detroit Tigers,0,3,0,0,0,0,0,3,0.326,0.462,0.788,-0.015,0.2,0.0,0.0,-0.7,0,0,0,0,0,0,910
3,3,R.McMahon,Colorado Rockies,Detroit Tigers,0,2,0,1,0,0,0,2,0.334,0.403,0.738,0.028,0.71,0.0,0.0,0.1,1,1,0,0,0,1,910
4,4,A.Schunk,Colorado Rockies,Detroit Tigers,0,1,0,1,0,0,0,1,0.221,0.266,0.486,0.0,0.0,0.0,0.0,0.4,1,1,0,0,0,1,910
5,5,M.Toglia,Colorado Rockies,Detroit Tigers,0,3,0,0,0,0,1,3,0.308,0.473,0.782,-0.045,0.63,0.0,0.0,-1.3,0,0,0,0,0,0,910
6,6,B.Rodgers,Colorado Rockies,Detroit Tigers,0,3,0,0,0,0,0,3,0.314,0.414,0.728,-0.059,0.48,0.0,0.0,-0.7,0,0,0,0,0,0,910
7,7,S.Hilliard,Colorado Rockies,Detroit Tigers,0,3,0,0,0,0,1,3,0.298,0.505,0.803,-0.023,0.31,0.0,0.0,-0.7,0,0,0,0,0,0,910
8,8,H.Goodman,Colorado Rockies,Detroit Tigers,0,3,0,0,0,0,0,3,0.219,0.371,0.591,-0.015,0.19,0.0,0.0,-0.5,0,0,0,0,0,0,910
9,9,J.Beck,Colorado Rockies,Detroit Tigers,0,3,0,0,0,0,2,3,0.255,0.277,0.531,-0.008,0.11,0.0,0.0,-0.3,0,0,0,0,0,0,910
10,10,P.Meadows,Detroit Tigers,Colorado Rockies,1,3,3,2,3,2,0,5,0.308,0.436,0.745,0.166,0.59,0.06,0.37,3.1,8,-5,0,0,7,5,910
11,11,R.Greene,Detroit Tigers,Colorado Rockies,1,3,2,2,3,1,1,4,0.356,0.481,0.837,0.185,0.8,0.07,0.5,2.8,7,-4,0,6,0,4,910
12,12,J.Malloy,Detroit Tigers,Colorado Rockies,1,1,0,0,0,0,0,1,0.296,0.385,0.682,0.0,0.0,0.0,0.0,-0.2,0,0,0,0,0,0,910
13,13,M.Vierling,Detroit Tigers,Colorado Rockies,1,4,1,2,2,0,1,4,0.306,0.439,0.745,-0.013,0.51,-0.01,0.32,1.0,5,2,0,0,0,2,910
14,14,Z.McKinstry,Detroit Tigers,Colorado Rockies,1,1,0,0,0,0,0,1,0.287,0.349,0.636,0.0,0.0,0.0,0.0,-0.2,0,0,0,0,0,0,910
