Name,Team,Opponent,Hmcrt_adv,AB,R,H,RBI,BB,SO,PA,OBP,SLG,OPS,WPA,aLI,cWPA,acLI,RE24,H+R+RBI,1B,2B,3B,HR,TB,Date
A.Frazier,Kansas City Royals,Minnesota Twins,0,4,0,3,0,0,0,4,0.286,0.29,0.577,0.047,0.77,0.04,1.22,0.6,3,3,0,0,0,3,814
M.Garcia,Kansas City Royals,Minnesota Twins,0,1,1,0,0,0,1,1,0.284,0.341,0.625,-0.003,0.81,-0.0,1.28,-0.6,1,0,0,0,0,0,814
B.Witt,Kansas City Royals,Minnesota Twins,0,4,1,2,1,1,1,5,0.397,0.612,1.009,0.078,0.79,0.07,1.25,0.4,4,-22,0,0,24,0,814
V.Pasquantino,Kansas City Royals,Minnesota Twins,0,4,0,1,1,1,1,5,0.313,0.444,0.757,0.048,1.0,0.04,1.57,0.5,2,-25,26,0,0,0,814
S.Perez,Kansas City Royals,Minnesota Twins,0,5,0,0,0,0,1,5,0.337,0.474,0.81,-0.119,0.96,-0.11,1.52,-1.5,0,0,0,0,0,0,814
H.Renfroe,Kansas City Royals,Minnesota Twins,0,4,0,0,0,0,1,4,0.3,0.387,0.686,-0.082,0.8,-0.08,1.26,-1.0,0,0,0,0,0,0,814
M.Melendez,Kansas City Royals,Minnesota Twins,0,4,0,0,0,0,1,4,0.264,0.405,0.669,-0.064,0.63,-0.06,0.99,-0.8,0,0,0,0,0,0,814
P.DeJong,Kansas City Royals,Minnesota Twins,0,3,2,3,1,1,0,4,0.285,0.442,0.727,0.203,0.45,0.19,0.71,2.0,6,-32,15,0,20,7,814
F.Fermin,Kansas City Royals,Minnesota Twins,0,4,0,2,0,0,0,4,0.35,0.418,0.768,0.007,0.7,0.01,1.1,0.1,2,2,0,0,0,2,814
K.Isbel,Kansas City Royals,Minnesota Twins,0,3,0,0,1,1,0,4,0.29,0.381,0.671,-0.015,1.01,-0.01,1.6,-0.2,1,0,0,0,0,0,814
M.Margot,Minnesota Twins,Kansas City Royals,1,4,0,2,0,0,0,4,0.294,0.345,0.639,0.025,1.3,0.02,2.02,0.1,2,2,0,0,0,2,814
R.Lewis,Minnesota Twins,Kansas City Royals,1,4,0,1,0,0,0,4,0.349,0.638,0.987,-0.091,1.79,-0.08,2.78,-0.7,1,1,0,0,0,1,814
C.Santana,Minnesota Twins,Kansas City Royals,1,4,1,1,1,0,1,4,0.33,0.425,0.754,0.013,1.25,0.01,1.94,0.2,3,-15,0,0,16,4,814
J.Miranda,Minnesota Twins,Kansas City Royals,1,4,0,1,0,0,0,4,0.352,0.5,0.852,-0.073,1.1,-0.07,1.71,-0.7,1,-25,26,0,0,2,814
R.Jeffers,Minnesota Twins,Kansas City Royals,1,4,0,0,0,0,2,4,0.304,0.444,0.749,-0.1,0.94,-0.09,1.45,-0.8,0,0,0,0,0,0,814
W.Castro,Minnesota Twins,Kansas City Royals,1,4,0,0,0,0,2,4,0.338,0.404,0.742,-0.086,0.85,-0.08,1.31,-0.7,0,0,0,0,0,0,814
K.Farmer,Minnesota Twins,Kansas City Royals,1,3,0,1,0,0,1,3,0.294,0.284,0.578,-0.006,0.91,-0.01,1.41,-0.1,1,1,0,0,0,1,814
M.Wallner,Minnesota Twins,Kansas City Royals,1,1,0,0,0,0,0,1,0.402,0.61,1.012,-0.005,0.18,-0.0,0.28,-0.1,0,0,0,0,0,0,814
T.Larnach,Minnesota Twins,Kansas City Royals,1,3,0,0,0,0,1,3,0.319,0.414,0.733,-0.071,0.97,-0.07,1.51,-0.6,0,0,0,0,0,0,814
A.Martin,Minnesota Twins,Kansas City Royals,1,3,0,1,0,0,1,3,0.312,0.337,0.649,-0.008,0.92,-0.01,1.43,-0.1,1,1,0,0,0,1,814
E.Tovar,Colorado Rockies,Arizona Diamondbacks,0,4,0,0,0,1,1,5,0.296,0.461,0.757,-0.047,0.38,0.0,0.0,-0.7,0,0,0,0,0,0,814
B.Rodgers,Colorado Rockies,Arizona Diamondbacks,0,5,1,1,0,0,1,5,0.326,0.416,0.742,-0.006,0.41,0.0,0.0,-0.2,2,1,0,0,0,1,814
