,Name,Team,Opponent,Hmcrt_adv,AB,R,H,RBI,BB,SO,PA,OBP,SLG,OPS,WPA,aLI,cWPA,acLI,RE24,H+R+RBI,1B,2B,3B,HR,TB,Date
0,C.Morel,Tampa Bay Rays,Baltimore Orioles,0,4,0,1,0,0,0,4,.296,.356,.652,-0.063,0.81,-0.01,0.12,-0.6,1,1,0,0,0,1,908
1,J.Aranda,Tampa Bay Rays,Baltimore Orioles,0,3,1,1,0,1,1,4,.276,.304,.581,0.045,0.67,0.00,0.10,0.2,2,1,0,0,0,1,908
2,J.DeLuca,Tampa Bay Rays,Baltimore Orioles,0,4,1,2,2,0,0,4,.278,.345,.623,0.244,0.99,0.02,0.14,1.5,5,-4,0,0,6,5,908
3,J.Caminero,Tampa Bay Rays,Baltimore Orioles,0,4,0,1,0,0,1,4,.330,.402,.732,-0.054,0.95,-0.01,0.14,-0.4,1,1,0,0,0,1,908
4,J.Lowe,Tampa Bay Rays,Baltimore Orioles,0,4,0,0,0,0,0,4,.299,.403,.702,-0.071,0.74,-0.01,0.11,-0.8,0,0,0,0,0,0,908
5,J.Caballero,Tampa Bay Rays,Baltimore Orioles,0,4,0,2,0,0,1,4,.283,.360,.643,0.039,0.81,0.00,0.12,0.4,2,2,0,0,0,2,908
6,T.Walls,Tampa Bay Rays,Baltimore Orioles,0,3,0,1,0,1,0,4,.292,.246,.538,-0.025,0.80,-0.00,0.12,-0.2,1,1,0,0,0,1,908
7,B.Rortvedt,Tampa Bay Rays,Baltimore Orioles,0,4,0,0,0,0,3,4,.327,.318,.644,-0.129,1.21,-0.01,0.17,-1.5,0,0,0,0,0,0,908
8,J.Siri,Tampa Bay Rays,Baltimore Orioles,0,4,0,0,0,0,2,4,.257,.364,.621,-0.066,0.66,-0.01,0.10,-0.8,0,0,0,0,0,0,908
9,G.Henderson,Baltimore Orioles,Tampa Bay Rays,1,4,0,3,0,0,0,4,.367,.540,.907,0.188,1.22,0.15,1.64,1.3,3,3,0,0,0,3,908
10,A.Rutschman,Baltimore Orioles,Tampa Bay Rays,1,3,0,0,0,1,2,4,.323,.398,.721,-0.115,2.13,-0.09,2.87,-0.8,0,0,0,0,0,0,908
11,R.O'Hearn,Baltimore Orioles,Tampa Bay Rays,1,3,0,0,0,0,0,3,.337,.425,.762,-0.060,1.71,-0.05,2.31,-0.3,0,0,0,0,0,0,908
12,E.Jimenez,Baltimore Orioles,Tampa Bay Rays,1,1,0,0,0,0,1,1,.300,.349,.649,-0.091,4.06,-0.07,5.47,-0.5,0,0,0,0,0,0,908
13,A.Santander,Baltimore Orioles,Tampa Bay Rays,1,4,0,0,0,0,2,4,.308,.510,.818,-0.192,2.00,-0.15,2.70,-1.4,0,0,0,0,0,0,908
14,C.Cowser,Baltimore Orioles,Tampa Bay Rays,1,4,0,0,0,0,1,4,.323,.436,.759,-0.136,1.33,-0.11,1.79,-1.0,0,0,0,0,0,0,908
15,C.Mullins,Baltimore Orioles,Tampa Bay Rays,1,4,0,2,0,0,0,4,.304,.406,.710,0.016,1.09,0.01,1.48,0.0,2,2,0,0,0,0,908
16,A.Slater,Baltimore Orioles,Tampa Bay Rays,1,4,0,0,0,0,2,4,.332,.276,.607,-0.124,1.28,-0.10,1.73,-0.8,0,0,0,0,0,0,908
17,J.Holliday,Baltimore Orioles,Tampa Bay Rays,1,3,0,0,0,1,2,4,.233,.314,.547,-0.013,0.93,-0.01,1.26,-0.3,0,0,0,0,0,0,908
18,N.Maton,Baltimore Orioles,Tampa Bay Rays,1,2,0,0,0,0,0,2,.000,.000,.000,-0.045,0.93,-0.04,1.25,-0.4,0,0,0,0,0,0,908
19,C.Mayo,Baltimore Orioles,Tampa Bay Rays,1,1,0,0,0,1,1,2,.233,.080,.313,-0.008,2.52,-0.01,3.39,-0.0,0,0,0,0,0,0,908
20,G.Springer,Toronto Blue Jays,Atlanta Braves,0,5,0,3,1,0,1,6,.306,.384,.690,0.222,1.81,0.00,0.02,0.9,4,-15,18,0,0,4,908
21,E.Clement,Toronto Blue Jays,Atlanta Braves,0,6,1,0,0,0,0,6,.280,.413,.693,-0.018,1.37,0,0.01,-0.8,1,0,0,0,0,0,908
22,V.Guerrero,Toronto Blue Jays,Atlanta Braves,0,4,0,0,0,1,0,5,.395,.554,.949,-0.066,2.03,-0.00,0.02,-0.5,0,0,0,0,0,0,908
23,A.Kirk,Toronto Blue Jays,Atlanta Braves,0,5,0,1,0,0,1,5,.309,.346,.655,-0.271,2.02,-0.00,0.02,-1.4,1,-14,15,0,0,2,908
24,L.Jimenez,Toronto Blue Jays,Atlanta Braves,0,2,0,0,0,0,1,3,.327,.383,.710,-0.061,1.10,0,0.01,-0.4,0,0,0,0,0,0,908
25,S.Horwitz,Toronto Blue Jays,Atlanta Braves,0,2,1,2,2,0,0,2,.360,.467,.827,0.613,3.69,0.00,0.04,2.4,5,-10,0,0,12,5,908
26,D.Schneider,Toronto Blue Jays,Atlanta Braves,0,3,0,0,0,0,2,3,.284,.332,.617,-0.091,1.14,-0.00,0.01,-0.6,0,0,0,0,0,0,908
27,N.Lukes,Toronto Blue Jays,Atlanta Braves,0,1,0,0,0,1,0,2,.560,.619,1.179,-0.167,3.58,-0.00,0.04,-0.7,0,0,0,0,0,0,908
28,L.De,Toronto Blue Jays,Atlanta Braves,0,3,0,1,0,0,2,3,.267,.286,.552,0.005,0.98,0,0.01,-0.1,1,1,0,0,0,1,908
29,A.Barger,Toronto Blue Jays,Atlanta Braves,0,2,1,0,0,0,1,2,.239,.395,.634,-0.226,4.13,-0.00,0.04,-1.0,1,0,0,0,0,0,908
30,B.Serven,Toronto Blue Jays,Atlanta Braves,0,4,0,0,0,0,3,5,.250,.241,.491,-0.140,1.77,-0.00,0.02,-1.1,0,0,0,0,0,0,908
31,J.Loperfido,Toronto Blue Jays,Atlanta Braves,0,3,0,1,0,1,0,4,.281,.376,.656,0.024,0.86,0,0.01,0.0,1,1,0,0,0,1,908
32,D.Varsho,Toronto Blue Jays,Atlanta Braves,0,1,0,0,0,0,1,1,.295,.413,.708,-0.164,6.09,-0.00,0.06,-0.6,0,0,0,0,0,0,908
33,M.Harris,Atlanta Braves,Toronto Blue Jays,1,5,1,0,0,0,0,5,.284,.361,.646,-0.374,2.74,-0.31,3.74,-2.3,1,0,0,0,0,0,908
34,J.Soler,Atlanta Braves,Toronto Blue Jays,1,3,0,1,0,0,1,3,.329,.413,.743,-0.010,0.86,-0.01,1.17,-0.1,1,1,0,0,0,1,908
35,E.White,Atlanta Braves,Toronto Blue Jays,1,2,2,2,0,0,0,2,.357,.538,.896,0.349,3.92,0.29,5.35,1.1,4,2,0,0,0,2,908
36,M.Ozuna,Atlanta Braves,Toronto Blue Jays,1,4,0,1,0,0,1,4,.378,.564,.942,0.259,1.98,0.21,2.71,0.2,1,1,0,0,0,1,908
37,A.Duvall,Atlanta Braves,Toronto Blue Jays,1,1,0,0,1,0,0,1,.244,.328,.572,0.263,4.41,0.21,6.02,1.1,1,0,0,0,0,0,908
38,M.Olson,Atlanta Braves,Toronto Blue Jays,1,3,0,0,1,1,1,5,.312,.435,.747,-0.088,1.85,-0.07,2.53,-0.8,1,0,0,0,0,0,908
39,S.Murphy,Atlanta Braves,Toronto Blue Jays,1,5,0,0,1,0,0,5,.288,.357,.645,-0.129,1.49,-0.11,2.04,-0.1,1,0,0,0,0,0,908
40,J.Kelenic,Atlanta Braves,Toronto Blue Jays,1,3,1,1,1,1,0,4,.287,.401,.689,0.082,1.06,0.07,1.45,1.0,3,-14,0,0,15,4,908
41,G.Urshela,Atlanta Braves,Toronto Blue Jays,1,4,0,1,0,0,2,4,.289,.335,.624,0.038,1.68,0.03,2.30,-0.2,1,1,0,0,0,1,908
42,O.Arcia,Atlanta Braves,Toronto Blue Jays,1,4,0,1,0,0,1,4,.276,.362,.638,0.063,2.18,0.05,2.98,0.1,1,1,0,0,0,1,908
43,L.Williams,Atlanta Braves,Toronto Blue Jays,1,1,0,1,0,1,0,2,.302,.289,.592,0.054,0.72,0.04,0.98,0.7,1,1,0,0,0,1,908
44,T.d'Arnaud,Atlanta Braves,Toronto Blue Jays,1,1,0,0,0,0,1,1,.306,.456,.762,-0.173,4.02,-0.14,5.49,-0.6,0,0,0,0,0,0,908
45,R.Laureano,Atlanta Braves,Toronto Blue Jays,1,1,0,0,0,0,0,1,.308,.406,.715,-0.175,5.57,-0.14,7.60,-0.8,0,0,0,0,0,0,908
46,Z.DeLoach,Chicago White Sox,Boston Red Sox,0,5,1,1,2,0,0,5,.222,.182,.404,0.053,1.09,0,0.00,1.9,4,1,0,0,0,1,908
47,L.Robert,Chicago White Sox,Boston Red Sox,0,4,1,3,1,0,0,5,.275,.395,.669,0.102,1.05,0,0.00,0.7,5,3,0,0,0,0,908
48,A.Benintendi,Chicago White Sox,Boston Red Sox,0,5,0,1,1,0,1,5,.287,.383,.670,0.020,1.18,0,0.00,-0.1,2,1,0,0,0,1,908
49,A.Vaughn,Chicago White Sox,Boston Red Sox,0,4,0,2,0,0,0,4,.297,.400,.697,0.039,1.89,0,0.00,0.1,2,2,0,0,0,2,908
50,K.Lee,Chicago White Sox,Boston Red Sox,0,4,0,1,1,0,1,4,.244,.345,.589,-0.117,2.34,0,0.00,-1.1,2,1,0,0,0,1,908
51,L.Sosa,Chicago White Sox,Boston Red Sox,0,4,0,2,0,0,1,4,.257,.302,.559,0.076,1.62,0,0.00,0.2,2,2,0,0,0,2,908
