Name,Team,Opponent,Hmcrt_adv,AB,R,H,RBI,BB,SO,PA,OBP,SLG,OPS,WPA,aLI,cWPA,acLI,RE24,H+R+RBI,1B,2B,3B,HR,TB
Ronald Acuña Jr.,Atlanta Braves,Chicago White Sox,0,4,2,1,1,1,1,5,0.474,0.438,0.911,-0.029,0.8,-0.02,0.74,-0.3,4,0,1,0,0,0
Ozzie Albies,Atlanta Braves,Chicago White Sox,0,4,2,2,1,1,0,5,0.474,0.824,1.297,0.029,0.47,0.02,0.44,1.1,5,1,1,0,0,3
Austin Riley,Atlanta Braves,Chicago White Sox,0,4,2,2,4,1,0,5,0.368,0.588,0.957,0.043,0.71,0.02,0.66,4.0,8,1,0,0,1,5
Matt Olson,Atlanta Braves,Chicago White Sox,0,5,0,1,0,0,0,5,0.263,0.579,0.842,-0.032,0.52,-0.02,0.48,-0.5,1,1,0,0,0,1
Marcell Ozuna,Atlanta Braves,Chicago White Sox,0,4,1,1,0,0,0,4,0.167,0.333,0.5,-0.013,0.61,-0.01,0.57,-0.6,2,1,0,0,0,1
Michael Harris II,Atlanta Braves,Chicago White Sox,0,3,1,1,0,1,0,4,0.5,0.75,1.25,0.083,0.67,0.05,0.63,0.9,2,-1,2,0,0,2
Orlando Arcia,Atlanta Braves,Chicago White Sox,0,4,0,1,2,0,1,4,0.471,0.688,1.158,0.065,0.81,0.04,0.76,0.3,3,-3,4,0,0,2
Travis d'Arnaud,Atlanta Braves,Chicago White Sox,0,3,1,1,0,1,0,4,0.364,0.444,0.808,0.047,0.44,0.03,0.41,0.2,2,-1,2,0,0,2
Jarred Kelenic,Atlanta Braves,Chicago White Sox,0,4,0,1,0,0,2,4,0.583,0.636,1.22,0.021,0.68,0.01,0.63,-0.3,1,1,0,0,0,1
Andrew Benintendi,Chicago White Sox,Atlanta Braves,1,4,0,0,0,0,1,4,0.176,0.125,0.301,-0.06,0.56,-0.03,0.43,-0.8,0,0,0,0,0,0
Yoán Moncada,Chicago White Sox,Atlanta Braves,1,3,0,2,0,1,0,4,0.294,0.5,0.794,0.089,0.5,0.04,0.39,0.9,2,0,2,0,0,3
Luis Robert Jr.,Chicago White Sox,Atlanta Braves,1,4,0,0,0,0,4,4,0.294,0.625,0.919,-0.087,0.74,-0.04,0.57,-1.2,0,0,0,0,0,0
Andrew Vaughn,Chicago White Sox,Atlanta Braves,1,2,0,0,0,1,0,3,0.286,0.167,0.452,-0.028,0.82,-0.01,0.63,-0.3,0,0,0,0,0,0
Gavin Sheets,Chicago White Sox,Atlanta Braves,1,2,0,0,0,0,1,3,0.2,0.0,0.2,-0.013,1.02,-0.01,0.79,-0.1,0,0,0,0,0,0
Paul DeJong,Chicago White Sox,Atlanta Braves,1,3,0,0,0,0,3,3,0.111,0.444,0.556,-0.103,1.33,-0.05,1.02,-1.3,0,0,0,0,0,0
Nicky Lopez,Chicago White Sox,Atlanta Braves,1,2,0,0,0,1,0,3,0.2,0.111,0.311,-0.027,0.81,-0.01,0.62,-0.4,0,0,0,0,0,0
Martín Maldonado,Chicago White Sox,Atlanta Braves,1,3,0,0,0,0,1,3,0.111,0.0,0.111,-0.047,0.65,-0.02,0.49,-0.6,0,0,0,0,0,0
Dominic Fletcher,Chicago White Sox,Atlanta Braves,1,3,0,1,0,0,1,3,0.2,0.111,0.311,-0.008,0.41,-0.0,0.32,-0.4,1,1,0,0,0,1
Charlie Blackmon,Colorado Rockies,Chicago Cubs,0,4,0,1,0,0,0,4,0.313,0.467,0.779,-0.021,0.55,-0.01,0.46,-0.4,1,1,0,0,0,1
Brendan Rodgers,Colorado Rockies,Chicago Cubs,0,4,0,1,0,0,1,4,0.143,0.19,0.333,-0.017,0.76,-0.01,0.65,-0.3,1,1,0,0,0,1
Nolan Jones,Colorado Rockies,Chicago Cubs,0,4,0,0,0,0,2,4,0.143,0.25,0.393,-0.101,0.97,-0.05,0.82,-1.0,0,0,0,0,0,0
Kris Bryant,Colorado Rockies,Chicago Cubs,0,4,0,0,0,0,1,4,0.125,0.0,0.125,-0.004,0.62,-0.0,0.53,-0.2,0,0,0,0,0,0
Ryan McMahon,Colorado Rockies,Chicago Cubs,0,4,0,1,0,0,2,4,0.429,0.444,0.873,-0.034,0.85,-0.02,0.73,-0.4,1,1,0,0,0,1
Elias Díaz,Colorado Rockies,Chicago Cubs,0,3,0,0,0,0,1,3,0.214,0.429,0.643,-0.078,1.12,-0.04,0.96,-0.7,0,0,0,0,0,0
Ezequiel Tovar,Colorado Rockies,Chicago Cubs,0,2,0,0,0,1,1,3,0.278,0.375,0.653,-0.023,0.79,-0.01,0.67,-0.2,0,0,0,0,0,0
Elehuris Montero,Colorado Rockies,Chicago Cubs,0,3,0,0,0,0,0,3,0.294,0.143,0.437,-0.111,1.36,-0.06,1.15,-1.0,0,0,0,0,0,0
Brenton Doyle,Colorado Rockies,Chicago Cubs,0,3,0,0,0,0,1,3,0.294,0.438,0.732,-0.052,0.68,-0.03,0.58,-0.6,0,0,0,0,0,0
Ian Happ,Chicago Cubs,Colorado Rockies,1,3,1,1,0,1,1,4,0.5,0.467,0.967,0.054,0.85,0.03,0.76,0.1,2,1,0,0,0,1
Seiya Suzuki,Chicago Cubs,Colorado Rockies,1,3,1,1,0,1,0,4,0.263,0.278,0.541,0.034,1.08,0.02,0.97,0.5,2,1,0,0,0,1
Cody Bellinger,Chicago Cubs,Colorado Rockies,1,4,0,1,2,0,0,4,0.389,0.286,0.675,-0.089,1.32,-0.05,1.18,0.0,3,1,0,0,0,1
Christopher Morel,Chicago Cubs,Colorado Rockies,1,3,1,2,0,0,0,3,0.412,0.706,1.118,0.275,1.43,0.15,1.28,2.4,3,2,0,0,0,2
Nick Madrigal,Chicago Cubs,Colorado Rockies,1,1,0,0,0,0,0,1,0.2,0.4,0.6,-0.001,0.02,0.0,0.02,-0.3,0,0,0,0,0,0
Dansby Swanson,Chicago Cubs,Colorado Rockies,1,3,0,1,0,1,0,4,0.375,0.583,0.958,-0.039,0.62,-0.02,0.56,-0.3,1,1,0,0,0,1
Michael Busch,Chicago Cubs,Colorado Rockies,1,4,0,1,0,0,0,4,0.313,0.154,0.466,-0.057,0.53,-0.03,0.47,-0.2,1,1,0,0,0,1
Nico Hoerner,Chicago Cubs,Colorado Rockies,1,4,0,1,0,0,1,4,0.294,0.143,0.437,-0.04,0.53,-0.02,0.48,-0.5,1,1,0,0,0,1
Mike Tauchman,Chicago Cubs,Colorado Rockies,1,4,1,1,0,0,1,4,0.444,0.167,0.611,-0.013,0.43,-0.01,0.38,0.2,2,1,0,0,0,1
Yan Gomes,Chicago Cubs,Colorado Rockies,1,3,1,0,0,0,1,3,0.0,0.0,0.0,-0.064,0.62,-0.03,0.56,-1.3,1,0,0,0,0,0
Connor Joe,Pittsburgh Pirates,Washington Nationals,0,4,1,2,2,0,0,5,0.444,0.522,0.966,0.346,1.64,0.22,1.77,2.1,5,-2,4,0,0,3
Rowdy Tellez,Pittsburgh Pirates,Washington Nationals,0,0,0,0,0,1,0,1,0.333,0.625,0.958,0.003,0.3,0.0,0.32,0.4,0,0,0,0,0,0
Bryan Reynolds,Pittsburgh Pirates,Washington Nationals,0,5,0,2,3,1,0,6,0.448,0.583,1.032,0.011,1.08,0.01,1.17,1.6,5,-1,3,0,0,3
Ke'Bryan Hayes,Pittsburgh Pirates,Washington Nationals,0,5,1,1,1,1,0,6,0.483,0.522,1.004,0.078,0.99,0.05,1.07,-0.5,3,-2,3,0,0,2
Andrew McCutchen,Pittsburgh Pirates,Washington Nationals,0,4,0,2,1,1,2,6,0.353,0.231,0.584,0.047,0.77,0.03,0.83,1.0,3,1,1,0,0,3
Edward Olivares,Pittsburgh Pirates,Washington Nationals,0,4,0,0,0,0,1,4,0.294,0.438,0.732,-0.125,1.19,-0.08,1.29,-1.4,0,0,0,0,0,0
Jack Suwinski,Pittsburgh Pirates,Washington Nationals,0,1,0,0,0,1,0,2,0.235,0.133,0.369,0.0,0.23,0.0,0.26,-0.7,0,0,0,0,0,0
Henry Davis,Pittsburgh Pirates,Washington Nationals,0,4,2,2,0,1,1,5,0.429,0.375,0.804,0.114,0.73,0.07,0.79,0.8,4,0,2,0,0,4
