Name,Team,Opponent,Hmcrt_adv,AB,R,H,RBI,BB,SO,PA,OBP,SLG,OPS,WPA,aLI,cWPA,acLI,RE24,H+R+RBI,1B,2B,3B,HR,TB,Date
S.Kwan,Cleveland Guardians,Detroit Tigers,0,4,0,0,0,0,0,4,0.385,0.488,0.873,-0.129,0.78,-0.07,0.69,-1.5,0,0,0,0,0,0,730
L.Thomas,Cleveland Guardians,Detroit Tigers,0,4,1,1,0,0,2,4,0.33,0.405,0.735,-0.037,0.5,-0.02,0.45,-0.4,2,1,0,0,0,1,730
J.Ramirez,Cleveland Guardians,Detroit Tigers,0,4,1,1,2,0,0,4,0.329,0.531,0.86,0.059,0.61,0.03,0.55,1.4,4,-26,0,0,27,4,730
J.Naylor,Cleveland Guardians,Detroit Tigers,0,4,1,1,1,0,1,4,0.32,0.477,0.797,0.096,0.53,0.05,0.47,0.6,3,-22,0,0,23,4,730
A.Martinez,Cleveland Guardians,Detroit Tigers,0,4,0,0,0,0,2,4,0.305,0.362,0.666,-0.05,0.49,-0.03,0.44,-0.8,0,0,0,0,0,0,730
A.Gimenez,Cleveland Guardians,Detroit Tigers,0,4,0,1,0,0,0,4,0.298,0.332,0.631,-0.011,0.34,-0.01,0.3,-0.3,1,1,0,0,0,1,730
T.Freeman,Cleveland Guardians,Detroit Tigers,0,2,1,2,0,0,0,3,0.319,0.352,0.671,0.091,0.99,0.05,0.88,1.0,3,-12,14,0,0,3,730
B.Rocchio,Cleveland Guardians,Detroit Tigers,0,1,1,1,1,0,0,1,0.295,0.3,0.595,0.01,0.06,0.01,0.05,1.0,3,-3,0,0,4,4,730
D.Schneemann,Cleveland Guardians,Detroit Tigers,0,4,0,1,1,0,0,4,0.297,0.42,0.717,0.039,1.11,0.02,0.99,0.2,2,-6,7,0,0,2,730
A.Hedges,Cleveland Guardians,Detroit Tigers,0,2,0,0,0,0,0,3,0.207,0.224,0.43,-0.045,0.79,-0.02,0.71,-0.7,0,0,0,0,0,0,730
M.Vierling,Detroit Tigers,Cleveland Guardians,1,4,0,0,0,0,2,4,0.294,0.441,0.735,-0.112,0.96,-0.02,0.26,-1.2,0,0,0,0,0,0,730
C.Keith,Detroit Tigers,Cleveland Guardians,1,4,0,1,0,0,1,4,0.312,0.402,0.715,-0.042,0.67,-0.01,0.17,-0.5,1,1,0,0,0,1,730
J.Malloy,Detroit Tigers,Cleveland Guardians,1,4,0,1,0,0,1,4,0.307,0.412,0.719,0.002,0.59,0.0,0.15,-0.2,1,1,0,0,0,1,730
W.Perez,Detroit Tigers,Cleveland Guardians,1,4,0,0,0,0,1,4,0.298,0.394,0.693,-0.133,0.99,-0.02,0.26,-1.1,0,0,0,0,0,0,730
B.Madris,Detroit Tigers,Cleveland Guardians,1,3,0,2,0,0,1,3,0.393,0.385,0.777,0.072,1.02,0.01,0.27,0.5,2,2,0,0,0,2,730
A.Ibanez,Detroit Tigers,Cleveland Guardians,1,3,0,0,0,0,2,3,0.321,0.424,0.744,-0.104,1.48,-0.02,0.39,-0.8,0,0,0,0,0,0,730
G.Urshela,Detroit Tigers,Cleveland Guardians,1,3,0,0,0,0,0,3,0.279,0.323,0.602,-0.093,1.39,-0.01,0.37,-0.5,0,0,0,0,0,0,730
Z.McKinstry,Detroit Tigers,Cleveland Guardians,1,2,0,0,0,1,0,3,0.238,0.29,0.528,-0.02,1.11,-0.0,0.29,-0.4,0,0,0,0,0,0,730
J.Rogers,Detroit Tigers,Cleveland Guardians,1,2,0,0,0,1,2,3,0.245,0.356,0.602,-0.048,1.0,-0.01,0.26,-0.3,0,0,0,0,0,0,730
G.Springer,Toronto Blue Jays,Baltimore Orioles,0,3,0,0,0,1,2,4,0.311,0.379,0.69,-0.033,0.45,-0.0,0.06,-0.3,0,0,0,0,0,0,730
D.Varsho,Toronto Blue Jays,Baltimore Orioles,0,4,0,1,1,0,1,4,0.28,0.403,0.683,-0.007,0.53,-0.0,0.07,0.6,2,-15,16,0,0,2,730
V.Guerrero,Toronto Blue Jays,Baltimore Orioles,0,2,1,1,0,2,0,4,0.383,0.524,0.907,0.008,0.53,0.0,0.08,0.0,2,1,0,0,0,0,730
S.Horwitz,Toronto Blue Jays,Baltimore Orioles,0,4,0,1,0,0,1,4,0.376,0.426,0.801,0.001,0.65,0.0,0.09,-0.1,1,1,0,0,0,1,730
A.Kirk,Toronto Blue Jays,Baltimore Orioles,0,1,0,0,1,0,0,3,0.305,0.321,0.626,-0.026,0.91,-0.0,0.13,0.1,1,0,0,0,0,0,730
B.Serven,Toronto Blue Jays,Baltimore Orioles,0,1,0,0,0,0,1,1,0.211,0.063,0.273,-0.006,0.25,-0.0,0.04,-0.1,0,0,0,0,0,0,730
E.Clement,Toronto Blue Jays,Baltimore Orioles,0,3,0,0,0,0,0,4,0.285,0.416,0.701,-0.016,0.54,-0.0,0.07,-0.5,0,0,0,0,0,0,730
A.Barger,Toronto Blue Jays,Baltimore Orioles,0,4,0,1,0,0,1,4,0.2,0.26,0.46,-0.043,0.65,-0.0,0.09,-0.4,1,1,0,0,0,1,730
L.Jimenez,Toronto Blue Jays,Baltimore Orioles,0,4,0,0,0,0,2,4,0.297,0.281,0.578,-0.072,0.61,-0.01,0.09,-1.3,0,0,0,0,0,0,730
S.Berroa,Toronto Blue Jays,Baltimore Orioles,0,4,1,1,0,0,2,4,0.25,0.222,0.472,-0.024,0.26,-0.0,0.04,-0.2,2,1,0,0,0,1,730
C.Cowser,Baltimore Orioles,Toronto Blue Jays,1,5,0,2,0,0,1,5,0.325,0.449,0.773,0.008,0.57,0.01,0.76,-0.6,2,2,0,0,0,2,730
A.Rutschman,Baltimore Orioles,Toronto Blue Jays,1,4,1,1,0,1,1,5,0.332,0.424,0.755,-0.007,0.59,-0.01,0.79,-0.2,2,1,0,0,0,1,730
G.Henderson,Baltimore Orioles,Toronto Blue Jays,1,3,2,1,0,1,0,4,0.373,0.555,0.927,0.049,0.47,0.04,0.63,0.5,3,1,0,0,0,1,730
A.Santander,Baltimore Orioles,Toronto Blue Jays,1,3,1,2,2,1,0,4,0.314,0.536,0.849,0.051,0.56,0.04,0.76,0.6,5,-46,17,0,31,6,730
R.O'Hearn,Baltimore Orioles,Toronto Blue Jays,1,3,0,1,2,1,1,4,0.349,0.463,0.812,0.088,0.63,0.07,0.84,1.5,3,1,0,0,0,1,730
R.Mountcastle,Baltimore Orioles,Toronto Blue Jays,1,4,0,0,0,0,1,4,0.313,0.443,0.756,-0.035,0.34,-0.03,0.46,-1.3,0,0,0,0,0,0,730
J.Westburg,Baltimore Orioles,Toronto Blue Jays,1,4,0,0,0,0,1,4,0.317,0.5,0.817,-0.026,0.27,-0.02,0.35,-0.8,0,0,0,0,0,0,730
C.Mullins,Baltimore Orioles,Toronto Blue Jays,1,3,1,1,0,1,0,4,0.271,0.396,0.667,0.01,0.22,0.01,0.29,0.6,2,1,0,0,0,1,730
R.Urias,Baltimore Orioles,Toronto Blue Jays,1,4,1,3,2,0,1,4,0.316,0.384,0.7,0.144,0.34,0.12,0.45,2.1,6,-2,0,0,5,6,730
A.Verdugo,New York Yankees,Philadelphia Phillies,0,4,1,1,1,1,1,6,0.296,0.378,0.674,0.029,2.02,0.02,2.59,-0.2,3,-23,24,0,0,2,730
J.Soto,New York Yankees,Philadelphia Phillies,0,4,1,1,0,2,0,6,0.436,0.595,1.031,0.075,1.11,0.06,1.43,0.5,2,1,0,0,0,1,730
A.Judge,New York Yankees,Philadelphia Phillies,0,4,1,3,0,2,0,6,0.451,0.696,1.147,0.203,1.13,0.16,1.45,1.6,4,3,0,0,0,3,730
A.Wells,New York Yankees,Philadelphia Phillies,0,6,1,0,0,0,3,6,0.333,0.41,0.743,-0.291,1.78,-0.22,2.29,-2.5,1,0,0,0,0,0,730
J.Chisholm,New York Yankees,Philadelphia Phillies,0,6,2,3,5,0,0,6,0.327,0.436,0.764,0.609,1.94,0.47,2.48,3.7,10,-14,0,0,17,0,730
G.Torres,New York Yankees,Philadelphia Phillies,0,5,0,0,1,0,2,6,0.31,0.362,0.672,-0.199,2.15,-0.15,2.77,-2.1,1,0,0,0,0,0,730
B.Rice,New York Yankees,Philadelphia Phillies,0,4,0,1,0,0,1,4,0.299,0.447,0.746,-0.011,0.72,-0.01,0.92,-0.0,1,1,0,0,0,1,730
D.LeMahieu,New York Yankees,Philadelphia Phillies,0,1,0,0,0,0,0,1,0.264,0.216,0.48,-0.164,6.09,-0.13,7.82,-0.6,0,0,0,0,0,0,730
G.Stanton,New York Yankees,Philadelphia Phillies,0,1,0,0,0,0,1,1,0.3,0.483,0.783,-0.014,0.54,-0.01,0.69,-0.1,0,0,0,0,0,0,730
A.Volpe,New York Yankees,Philadelphia Phillies,0,5,1,2,0,0,1,5,0.305,0.39,0.695,-0.121,1.52,-0.09,1.96,-0.3,3,-18,20,0,0,3,730
T.Grisham,New York Yankees,Philadelphia Phillies,0,4,0,0,0,1,1,5,0.297,0.364,0.661,-0.073,1.7,-0.06,2.19,-0.9,0,0,0,0,0,0,730
K.Schwarber,Philadelphia Phillies,New York Yankees,1,3,1,0,0,2,3,6,0.378,0.46,0.837,-0.036,1.67,-0.02,1.34,-0.3,1,0,0,0,0,0,730
T.Turner,Philadelphia Phillies,New York Yankees,1,6,0,1,0,0,1,6,0.367,0.503,0.87,-0.111,1.92,-0.05,1.55,-0.8,1,1,0,0,0,1,730
B.Harper,Philadelphia Phillies,New York Yankees,1,5,0,0,0,1,2,6,0.374,0.547,0.922,-0.267,2.59,-0.13,2.09,-1.6,0,0,0,0,0,0,730
A.Bohm,Philadelphia Phillies,New York Yankees,1,6,0,1,1,0,1,6,0.352,0.471,0.823,-0.207,1.85,-0.1,1.49,-0.4,2,-36,37,0,0,2,730
B.Marsh,Philadelphia Phillies,New York Yankees,1,6,0,0,0,0,0,6,0.322,0.424,0.746,-0.338,1.77,-0.16,1.43,-1.6,0,0,0,0,0,0,730
J.Realmuto,Philadelphia Phillies,New York Yankees,1,5,1,3,0,1,1,6,0.312,0.391,0.703,0.043,2.33,0.02,1.88,0.8,4,3,0,0,0,0,730
N.Castellanos,Philadelphia Phillies,New York Yankees,1,4,0,0,0,0,1,4,0.291,0.406,0.697,-0.183,1.95,-0.09,1.58,-1.2,0,0,0,0,0,0,730
J.Rojas,Philadelphia Phillies,New York Yankees,1,1,1,1,0,0,0,1,0.272,0.298,0.57,0.454,5.81,0.22,4.7,1.2,2,1,0,0,0,1,730
W.Wilson,Philadelphia Phillies,New York Yankees,1,1,0,0,0,0,1,1,0.214,0.308,0.522,-0.144,5.06,-0.07,4.09,-0.3,0,0,0,0,0,0,730
B.Stott,Philadelphia Phillies,New York Yankees,1,4,2,1,0,1,1,5,0.326,0.354,0.68,0.083,3.19,0.04,2.58,-0.2,3,1,0,0,0,1,730
A.Hays,Philadelphia Phillies,New York Yankees,1,4,1,2,4,0,0,5,0.314,0.399,0.713,0.248,2.95,0.12,2.39,2.6,7,-2,0,0,4,5,730
X.Edwards,Miami Marlins,Tampa Bay Rays,0,5,1,2,0,0,3,5,0.459,0.489,0.948,-0.068,0.95,0.0,0.0,-0.6,3,2,0,0,0,2,730
J.Burger,Miami Marlins,Tampa Bay Rays,0,5,1,2,1,0,0,5,0.282,0.409,0.691,0.117,0.87,0.0,0.0,0.6,4,-12,0,0,14,5,730
E.Rivera,Miami Marlins,Tampa Bay Rays,0,5,1,1,2,0,0,5,0.296,0.279,0.575,0.067,0.92,0.0,0.0,0.2,4,0,0,0,1,4,730
J.Sanchez,Miami Marlins,Tampa Bay Rays,0,3,0,0,0,0,1,3,0.29,0.41,0.7,-0.031,0.43,0.0,0.0,-0.4,0,0,0,0,0,0,730
D.Hensley,Miami Marlins,Tampa Bay Rays,0,1,0,0,0,0,1,1,0.0,0.0,0.0,-0.045,1.66,0.0,0.0,-0.5,0,0,0,0,0,0,730
J.Bride,Miami Marlins,Tampa Bay Rays,0,2,0,1,0,1,1,4,0.31,0.27,0.58,0.039,0.39,0.0,0.0,0.8,1,1,0,0,0,1,730
O.Lopez,Miami Marlins,Tampa Bay Rays,0,4,0,0,0,0,1,4,0.256,0.309,0.565,-0.069,0.71,0.0,0.0,-1.1,0,0,0,0,0,0,730
V.Brujan,Miami Marlins,Tampa Bay Rays,0,4,0,0,0,0,1,4,0.313,0.323,0.636,-0.057,0.58,0.0,0.0,-0.9,0,0,0,0,0,0,730
N.Gordon,Miami Marlins,Tampa Bay Rays,0,4,0,1,0,0,1,4,0.264,0.382,0.646,-0.009,0.39,0.0,0.0,-0.3,1,1,0,0,0,1,730
N.Fortes,Miami Marlins,Tampa Bay Rays,0,4,0,3,0,0,0,4,0.239,0.286,0.526,0.094,0.64,0.0,0.0,0.9,3,-6,9,0,0,5,730
Y.Diaz,Tampa Bay Rays,Miami Marlins,1,5,1,2,2,0,3,5,0.327,0.397,0.724,0.08,1.05,0.03,0.69,1.4,5,2,0,0,0,2,730
B.Lowe,Tampa Bay Rays,Miami Marlins,1,4,1,1,1,1,1,5,0.356,0.523,0.879,0.005,0.74,0.0,0.49,0.8,3,-10,11,0,0,2,730
C.Morel,Tampa Bay Rays,Miami Marlins,1,4,2,1,1,0,0,5,0.303,0.38,0.683,0.199,0.76,0.08,0.5,1.1,4,-18,0,0,19,4,730
J.Lowe,Tampa Bay Rays,Miami Marlins,1,5,2,2,1,0,0,5,0.274,0.36,0.634,0.199,1.05,0.08,0.69,0.8,5,-8,10,0,0,3,730
