Name,Team,Opponent,Hmcrt_adv,AB,R,H,RBI,BB,SO,PA,OBP,SLG,OPS,WPA,aLI,cWPA,acLI,RE24,H+R+RBI,1B,2B,3B,HR,TB
Ryan Noda,Oakland Athletics,Detroit Tigers,0,4,0,0,0,1,3,5,0.294,0.233,0.527,-0.019,0.4,-0.01,0.26,-0.4,0,0,0,0,0,0
Zack Gelof,Oakland Athletics,Detroit Tigers,0,1,3,0,0,3,0,4,0.289,0.219,0.508,0.047,0.59,0.02,0.38,1.0,3,0,0,0,0,0
JJ Bleday,Oakland Athletics,Detroit Tigers,0,4,0,0,0,0,1,4,0.324,0.471,0.795,-0.076,0.8,-0.03,0.52,-1.3,0,0,0,0,0,0
Brent Rooker,Oakland Athletics,Detroit Tigers,0,4,1,2,3,0,0,4,0.241,0.464,0.706,0.17,0.78,0.07,0.51,2.2,6,0,0,0,2,5
Seth Brown,Oakland Athletics,Detroit Tigers,0,4,0,1,1,0,1,4,0.2,0.111,0.311,0.056,0.5,0.02,0.32,0.3,2,1,0,0,0,1
J.D. Davis,Oakland Athletics,Detroit Tigers,0,3,0,1,0,1,1,4,0.375,0.586,0.961,0.002,0.41,0.0,0.27,-0.1,1,1,0,0,0,0
Shea Langeliers,Oakland Athletics,Detroit Tigers,0,4,0,1,0,0,0,4,0.25,0.32,0.57,-0.047,0.61,-0.02,0.4,-1.0,1,1,0,0,0,1
Lawrence Butler,Oakland Athletics,Detroit Tigers,0,4,0,0,0,0,1,4,0.25,0.167,0.417,-0.051,0.51,-0.02,0.33,-1.0,0,0,0,0,0,0
Nick Allen,Oakland Athletics,Detroit Tigers,0,3,0,0,0,1,1,4,0.222,0.269,0.491,-0.038,0.39,-0.01,0.25,-0.5,0,0,0,0,0,0
Parker Meadows,Detroit Tigers,Oakland Athletics,1,4,0,1,0,0,1,4,0.269,0.19,0.46,-0.032,1.08,-0.02,1.19,-0.5,1,1,0,0,0,1
Spencer Torkelson,Detroit Tigers,Oakland Athletics,1,3,0,0,0,1,1,4,0.25,0.265,0.515,-0.082,1.1,-0.05,1.2,-0.7,0,0,0,0,0,0
Kerry Carpenter,Detroit Tigers,Oakland Athletics,1,4,0,1,0,0,1,4,0.318,0.5,0.818,-0.066,0.93,-0.04,1.02,-0.8,1,-1,2,0,0,2
Riley Greene,Detroit Tigers,Oakland Athletics,1,4,0,0,0,0,1,4,0.265,0.345,0.61,-0.106,0.96,-0.07,1.05,-1.2,0,0,0,0,0,0
Mark Canha,Detroit Tigers,Oakland Athletics,1,4,0,0,0,0,2,4,0.375,0.48,0.855,-0.014,0.78,-0.01,0.85,-0.2,0,0,0,0,0,0
Colt Keith,Detroit Tigers,Oakland Athletics,1,4,0,1,0,0,1,4,0.321,0.25,0.571,-0.049,0.74,-0.03,0.81,-0.4,1,1,0,0,0,1
Gio Urshela,Detroit Tigers,Oakland Athletics,1,4,0,0,0,0,0,4,0.381,0.476,0.857,-0.086,0.8,-0.06,0.87,-1.0,0,0,0,0,0,0
Javier Báez,Detroit Tigers,Oakland Athletics,1,3,0,0,0,0,2,3,0.148,0.154,0.302,-0.072,0.9,-0.05,0.98,-0.7,0,0,0,0,0,0
Carson Kelly,Detroit Tigers,Oakland Athletics,1,3,0,2,0,0,0,3,0.389,0.588,0.977,0.052,0.65,0.03,0.72,0.7,2,1,1,0,0,3
Steven Kwan,Cleveland Guardians,Minnesota Twins,0,4,0,0,0,0,2,4,0.364,0.465,0.829,-0.081,0.77,-0.06,0.89,-1.1,0,0,0,0,0,0
Andrés Giménez,Cleveland Guardians,Minnesota Twins,0,4,0,1,0,0,2,4,0.39,0.471,0.861,-0.026,0.63,-0.02,0.73,-0.3,1,1,0,0,0,1
José Ramírez,Cleveland Guardians,Minnesota Twins,0,4,0,1,0,0,0,4,0.279,0.429,0.708,-0.048,0.61,-0.03,0.72,-0.6,1,1,0,0,0,1
Josh Naylor,Cleveland Guardians,Minnesota Twins,0,3,0,1,0,0,1,4,0.343,0.448,0.791,0.014,0.66,0.01,0.76,0.3,1,1,0,0,0,1
Tyler Freeman,Cleveland Guardians,Minnesota Twins,0,4,1,0,0,0,1,4,0.258,0.333,0.591,-0.072,0.81,-0.05,0.95,-1.0,1,0,0,0,0,0
Will Brennan,Cleveland Guardians,Minnesota Twins,0,4,1,1,0,0,2,4,0.333,0.296,0.63,0.005,0.64,0.0,0.75,-0.2,2,1,0,0,0,1
Bo Naylor,Cleveland Guardians,Minnesota Twins,0,4,0,0,0,0,3,4,0.286,0.292,0.577,-0.081,0.89,-0.06,1.04,-1.1,0,0,0,0,0,0
David Fry,Cleveland Guardians,Minnesota Twins,0,3,1,1,3,0,0,3,0.529,0.818,1.348,0.241,1.02,0.17,1.18,2.2,5,0,0,0,1,4
Brayan Rocchio,Cleveland Guardians,Minnesota Twins,0,3,0,2,0,0,0,3,0.375,0.483,0.858,0.016,0.45,0.01,0.52,0.2,2,-3,5,0,0,3
Edouard Julien,Minnesota Twins,Cleveland Guardians,1,3,0,0,0,2,2,5,0.231,0.304,0.535,-0.023,1.44,-0.01,1.45,-0.3,0,0,0,0,0,0
Carlos Correa,Minnesota Twins,Cleveland Guardians,1,3,1,1,0,2,1,5,0.533,0.455,0.988,0.072,1.61,0.04,1.62,0.4,2,1,0,0,0,1
Alex Kirilloff,Minnesota Twins,Cleveland Guardians,1,4,0,1,1,1,1,5,0.433,0.692,1.126,-0.168,2.04,-0.1,2.05,-0.5,2,-2,0,3,0,3
Byron Buxton,Minnesota Twins,Cleveland Guardians,1,3,0,0,0,0,1,4,0.31,0.346,0.656,-0.11,1.62,-0.07,1.64,-1.1,0,0,0,0,0,0
Max Kepler,Minnesota Twins,Cleveland Guardians,1,3,0,0,0,1,1,4,0.095,0.05,0.145,-0.002,1.48,-0.0,1.49,-0.1,0,0,0,0,0,0
Carlos Santana,Minnesota Twins,Cleveland Guardians,1,4,0,0,0,0,2,4,0.267,0.192,0.459,-0.126,1.54,-0.08,1.55,-0.9,0,0,0,0,0,0
Matt Wallner,Minnesota Twins,Cleveland Guardians,1,2,0,0,0,1,2,4,0.375,0.2,0.575,0.057,1.18,0.03,1.18,0.2,0,0,0,0,0,0
Ryan Jeffers,Minnesota Twins,Cleveland Guardians,1,3,0,0,0,0,1,4,0.273,0.278,0.551,-0.12,1.89,-0.07,1.9,-0.8,0,0,0,0,0,0
Willi Castro,Minnesota Twins,Cleveland Guardians,1,4,0,0,0,0,3,4,0.286,0.13,0.416,-0.112,2.41,-0.07,2.43,-0.7,0,0,0,0,0,0
