,Name,Team,Opponent,Hmcrt_adv,AB,R,H,RBI,BB,SO,PA,OBP,SLG,OPS,WPA,aLI,cWPA,acLI,RE24,H+R+RBI,1B,2B,3B,HR,TB,Date
0,G.Henderson,Baltimore Orioles,Detroit Tigers,0,3,0,0,0,1,0,4,.367,.543,.910,-0.007,1.08,-0.01,1.62,-0.1,0,0,0,0,0,0,915
1,C.Mullins,Baltimore Orioles,Detroit Tigers,0,3,1,0,0,1,0,4,.305,.411,.716,0.010,1.02,0.01,1.53,0.0,1,0,0,0,0,0,915
2,A.Santander,Baltimore Orioles,Detroit Tigers,0,4,0,1,0,0,0,4,.311,.514,.825,-0.134,1.25,-0.12,1.88,-1.2,1,-23,24,0,0,2,915
3,H.Kjerstad,Baltimore Orioles,Detroit Tigers,0,2,0,0,0,0,0,2,.361,.408,.770,-0.098,1.69,-0.09,2.54,-0.9,0,0,0,0,0,0,915
4,E.Jimenez,Baltimore Orioles,Detroit Tigers,0,2,0,0,0,0,0,2,.292,.340,.631,-0.045,0.98,-0.04,1.48,-0.4,0,0,0,0,0,0,915
5,A.Rutschman,Baltimore Orioles,Detroit Tigers,0,3,1,2,2,1,0,4,.324,.400,.725,0.147,0.80,0.13,1.21,2.1,5,-17,0,0,19,5,915
6,R.O'Hearn,Baltimore Orioles,Detroit Tigers,0,2,0,0,0,0,0,2,.328,.408,.736,-0.105,1.23,-0.10,1.84,-0.9,0,0,0,0,0,0,915
7,C.Mayo,Baltimore Orioles,Detroit Tigers,0,2,0,0,0,0,2,2,.200,.086,.286,-0.056,1.04,-0.05,1.57,-0.3,0,0,0,0,0,0,915
8,C.Cowser,Baltimore Orioles,Detroit Tigers,0,4,0,2,0,0,1,4,.322,.434,.756,-0.023,0.81,-0.02,1.23,-0.1,2,-20,22,0,0,3,915
9,E.Rivera,Baltimore Orioles,Detroit Tigers,0,4,0,1,0,0,1,4,.303,.310,.612,-0.046,0.91,-0.04,1.36,-0.3,1,-7,8,0,0,2,915
10,L.Soto,Baltimore Orioles,Detroit Tigers,0,2,0,1,0,0,0,2,.364,.400,.764,0.012,1.06,0.01,1.59,0.1,1,1,0,0,0,1,915
11,A.Slater,Baltimore Orioles,Detroit Tigers,0,1,0,0,0,0,0,1,.323,.268,.592,-0.032,1.24,-0.03,1.87,-0.3,0,0,0,0,0,0,915
12,J.Holliday,Baltimore Orioles,Detroit Tigers,0,1,0,0,0,0,0,1,.223,.298,.521,-0.011,0.43,-0.01,0.65,-0.1,0,0,0,0,0,0,915
13,A.Ibanez,Detroit Tigers,Baltimore Orioles,1,3,1,0,0,1,3,4,.301,.376,.678,-0.007,0.52,-0.00,0.36,-0.3,1,0,0,0,0,0,915
14,J.Malloy,Detroit Tigers,Baltimore Orioles,1,2,0,0,0,0,2,2,.294,.381,.675,-0.047,0.96,-0.02,0.67,-0.4,0,0,0,0,0,0,915
15,J.Jung,Detroit Tigers,Baltimore Orioles,1,1,0,0,0,0,0,1,.346,.265,.610,-0.013,0.49,-0.01,0.34,-0.2,0,0,0,0,0,0,915
16,W.Perez,Detroit Tigers,Baltimore Orioles,1,1,0,0,0,0,0,1,.294,.379,.673,-0.013,0.52,-0.01,0.36,-0.2,0,0,0,0,0,0,915
17,R.Greene,Detroit Tigers,Baltimore Orioles,1,4,2,2,3,0,1,4,.354,.494,.848,0.277,0.52,0.11,0.36,2.6,7,-21,0,0,23,8,915
18,M.Vierling,Detroit Tigers,Baltimore Orioles,1,3,1,0,0,1,1,4,.305,.431,.736,-0.022,0.43,-0.01,0.29,-0.3,1,0,0,0,0,0,915
