Name,Team,Opponent,Hmcrt_adv,AB,R,H,RBI,BB,SO,PA,OBP,SLG,OPS,WPA,aLI,cWPA,acLI,RE24,H+R+RBI,1B,2B,3B,HR,TB
Anthony Rendon,Los Angeles Angels,Baltimore Orioles,0,4,0,0,0,0,0,4,0.0,0.0,0.0,-0.051,0.63,-0.03,0.54,-0.9,0,0,0,0,0,0
Nolan Schanuel,Los Angeles Angels,Baltimore Orioles,0,4,1,1,0,0,0,4,0.273,0.2,0.473,-0.002,0.41,-0.0,0.35,-0.3,2,1,0,0,0,1
Mike Trout,Los Angeles Angels,Baltimore Orioles,0,4,0,0,0,0,3,4,0.2,0.5,0.7,-0.055,0.55,-0.03,0.47,-1.0,0,0,0,0,0,0
Taylor Ward,Los Angeles Angels,Baltimore Orioles,0,4,1,1,2,0,1,4,0.25,0.75,1.0,0.168,0.39,0.09,0.34,1.4,4,-1,0,0,2,4
Brandon Drury,Los Angeles Angels,Baltimore Orioles,0,4,0,1,0,0,2,4,0.3,0.3,0.6,-0.018,0.2,-0.01,0.17,-0.2,1,1,0,0,0,1
Luis Rengifo,Los Angeles Angels,Baltimore Orioles,0,4,1,1,0,0,0,4,0.286,0.429,0.714,0.002,0.41,0.0,0.35,-0.3,2,1,0,0,0,1
Logan O'Hoppe,Los Angeles Angels,Baltimore Orioles,0,2,1,1,0,0,1,3,0.6,0.429,1.029,0.095,0.72,0.05,0.62,1.5,2,1,0,0,0,1
Jo Adell,Los Angeles Angels,Baltimore Orioles,0,3,0,0,0,0,1,3,0.2,0.6,0.8,-0.066,0.69,-0.03,0.59,-1.2,0,0,0,0,0,0
Zach Neto,Los Angeles Angels,Baltimore Orioles,0,2,0,1,1,1,0,3,0.2,0.111,0.311,0.056,0.64,0.03,0.55,0.5,2,1,0,0,0,1
Gunnar Henderson,Baltimore Orioles,Los Angeles Angels,1,2,0,0,1,2,0,4,0.538,0.9,1.438,0.027,1.68,0.02,1.68,0.6,1,0,0,0,0,0
Adley Rutschman,Baltimore Orioles,Los Angeles Angels,1,4,0,0,0,0,0,4,0.385,0.273,0.657,-0.177,1.72,-0.11,1.73,-1.7,0,0,0,0,0,0
Ryan Mountcastle,Baltimore Orioles,Los Angeles Angels,1,4,0,1,0,0,0,4,0.429,0.6,1.029,0.015,0.79,0.01,0.8,0.0,1,1,0,0,0,1
Anthony Santander,Baltimore Orioles,Los Angeles Angels,1,4,0,0,0,0,2,4,0.231,0.833,1.064,-0.155,1.11,-0.09,1.11,-1.4,0,0,0,0,0,0
Austin Hays,Baltimore Orioles,Los Angeles Angels,1,3,0,0,0,1,2,4,0.308,0.182,0.49,-0.032,0.53,-0.02,0.53,-0.4,0,0,0,0,0,0
Jordan Westburg,Baltimore Orioles,Los Angeles Angels,1,2,1,0,0,1,2,3,0.3,0.222,0.522,-0.014,0.61,-0.01,0.61,-0.1,1,0,0,0,0,0
Colton Cowser,Baltimore Orioles,Los Angeles Angels,1,1,0,0,0,0,0,1,0.5,1.0,1.5,-0.021,0.73,-0.01,0.73,-0.2,0,0,0,0,0,0
Cedric Mullins,Baltimore Orioles,Los Angeles Angels,1,3,0,0,0,0,1,4,0.25,0.545,0.795,-0.034,0.89,-0.02,0.89,-0.2,0,0,0,0,0,0
James McCann,Baltimore Orioles,Los Angeles Angels,1,3,0,1,0,0,1,3,0.5,0.5,1.0,-0.018,0.93,-0.01,0.94,-0.3,1,1,0,0,0,1
Ryan O'Hearn,Baltimore Orioles,Los Angeles Angels,1,1,0,0,0,0,0,1,0.286,0.429,0.714,-0.013,0.49,-0.01,0.49,-0.2,0,0,0,0,0,0
Jorge Mateo,Baltimore Orioles,Los Angeles Angels,1,2,0,1,0,0,1,2,0.5,0.6,1.1,0.004,1.16,0.0,1.17,0.1,1,1,0,0,0,1
Tony Kemp,Baltimore Orioles,Los Angeles Angels,1,1,0,0,0,1,0,2,0.333,0.0,0.333,0.047,0.79,0.03,0.8,0.3,0,0,0,0,0,0
