,Name,Team,Opponent,Hmcrt_adv,AB,R,H,RBI,BB,SO,PA,OBP,SLG,OPS,WPA,aLI,cWPA,acLI,RE24,H+R+RBI,1B,2B,3B,HR,TB,Date
0,M.Winn,St Louis Cardinals,Milwaukee Brewers,0,4,0,0,0,1,1,5,.329,.420,.749,-0.034,0.43,-0.01,0.10,-0.7,0,0,0,0,0,0,902
1,A.Burleson,St Louis Cardinals,Milwaukee Brewers,0,3,0,0,0,1,1,4,.320,.453,.773,-0.044,0.48,-0.01,0.11,-0.3,0,0,0,0,0,0,902
2,N.Arenado,St Louis Cardinals,Milwaukee Brewers,0,4,0,0,0,0,1,4,.318,.394,.713,-0.071,0.67,-0.01,0.15,-1.1,0,0,0,0,0,0,902
3,B.Donovan,St Louis Cardinals,Milwaukee Brewers,0,3,1,2,0,1,0,4,.333,.399,.733,-0.014,0.88,-0.00,0.19,0.2,3,2,0,0,0,2,902
4,P.Goldschmidt,St Louis Cardinals,Milwaukee Brewers,0,4,0,1,0,0,2,4,.302,.410,.712,0.038,0.98,0.01,0.21,0.1,1,-25,26,0,0,2,902
5,L.Nootbaar,St Louis Cardinals,Milwaukee Brewers,0,1,0,1,0,1,0,2,.328,.400,.728,0.042,0.62,0.01,0.14,0.4,1,1,0,0,0,1,902
6,L.Baker,St Louis Cardinals,Milwaukee Brewers,0,0,0,0,1,0,0,1,.370,.556,.926,-0.034,1.95,-0.00,0.43,-0.1,1,0,0,0,0,0,902
7,V.Scott,St Louis Cardinals,Milwaukee Brewers,0,1,0,0,0,0,1,1,.209,.275,.485,-0.005,0.17,-0.00,0.04,-0.3,0,0,0,0,0,0,902
8,J.Walker,St Louis Cardinals,Milwaukee Brewers,0,4,0,0,0,0,2,4,.250,.291,.541,-0.085,0.77,-0.01,0.17,-1.1,0,0,0,0,0,0,902
9,P.Pages,St Louis Cardinals,Milwaukee Brewers,0,4,2,2,2,0,1,4,.292,.389,.681,0.129,0.40,0.02,0.09,1.5,6,-3,0,0,5,8,902
10,M.Siani,St Louis Cardinals,Milwaukee Brewers,0,3,0,0,0,1,0,4,.296,.321,.617,-0.036,0.45,-0.01,0.10,-0.3,0,0,0,0,0,0,902
11,B.Turang,Milwaukee Brewers,St. Louis Cardinals,1,5,0,1,0,0,1,5,.319,.356,.674,-0.063,0.46,-0.05,0.58,-1.2,1,1,0,0,0,1,902
12,J.Chourio,Milwaukee Brewers,St. Louis Cardinals,1,2,2,1,4,3,0,5,.328,.461,.789,0.133,0.57,0.10,0.72,3.2,7,-17,0,0,18,4,902
13,W.Contreras,Milwaukee Brewers,St. Louis Cardinals,1,2,0,0,0,2,0,4,.360,.466,.826,-0.016,0.64,-0.01,0.81,-0.1,0,0,0,0,0,0,902
14,J.Bauers,Milwaukee Brewers,St. Louis Cardinals,1,3,1,0,0,1,3,4,.305,.376,.681,-0.023,0.64,-0.02,0.81,-0.8,1,0,0,0,0,0,902
15,W.Adames,Milwaukee Brewers,St. Louis Cardinals,1,4,1,1,3,0,1,4,.338,.474,.812,0.200,0.78,0.15,0.99,1.8,5,-28,0,0,29,4,902
16,G.Mitchell,Milwaukee Brewers,St. Louis Cardinals,1,4,1,1,0,0,0,4,.357,.431,.787,0.030,0.41,0.02,0.51,0.2,2,1,0,0,0,1,902
17,R.Hoskins,Milwaukee Brewers,St. Louis Cardinals,1,3,2,1,2,1,2,4,.296,.418,.713,0.091,0.45,0.07,0.57,1.3,5,-22,0,0,23,4,902
18,S.Frelick,Milwaukee Brewers,St. Louis Cardinals,1,4,1,1,0,0,1,4,.335,.345,.679,0.040,0.36,0.03,0.46,0.6,2,-17,18,0,0,2,902
19,J.Ortiz,Milwaukee Brewers,St. Louis Cardinals,1,3,1,1,0,1,0,4,.340,.393,.733,-0.004,0.28,-0.00,0.35,-0.2,2,1,0,0,0,1,902
20,N.Lopez,Chicago White Sox,Baltimore Orioles,0,4,1,1,0,0,1,4,.307,.286,.593,0.005,0.91,0,0.00,-0.1,2,1,0,0,0,1,902
21,C.Julks,Chicago White Sox,Baltimore Orioles,0,3,1,2,1,1,0,4,.298,.335,.634,0.102,0.67,0,0.00,2.0,4,2,0,0,0,2,902
22,A.Benintendi,Chicago White Sox,Baltimore Orioles,0,3,0,0,1,0,0,4,.279,.375,.654,-0.048,0.96,0,0.00,-1.1,1,0,0,0,0,0,902
23,G.Sheets,Chicago White Sox,Baltimore Orioles,0,4,0,2,1,0,1,4,.314,.368,.682,0.103,0.75,0,0.00,0.9,3,2,0,0,0,2,902
24,K.Lee,Chicago White Sox,Baltimore Orioles,0,3,0,0,0,0,0,3,.244,.347,.592,-0.141,1.02,0,0.00,-1.5,0,0,0,0,0,0,902
25,C.Robinson,Chicago White Sox,Baltimore Orioles,0,1,0,0,0,0,0,1,.171,.147,.318,0.000,0.00,0,0.00,-0.1,0,0,0,0,0,0,902
26,Z.DeLoach,Chicago White Sox,Baltimore Orioles,0,4,0,1,0,0,1,4,.233,.185,.419,0.031,0.45,0,0.00,-0.2,1,1,0,0,0,1,902
27,D.Fletcher,Chicago White Sox,Baltimore Orioles,0,3,0,0,0,0,1,3,.269,.263,.532,-0.064,0.93,0,0.00,-0.7,0,0,0,0,0,0,902
28,M.Vargas,Chicago White Sox,Baltimore Orioles,0,3,0,1,0,0,1,3,.273,.301,.573,0.003,0.80,0,0.00,0.1,1,1,0,0,0,1,902
29,J.Amaya,Chicago White Sox,Baltimore Orioles,0,3,1,1,0,0,1,3,.231,.167,.397,-0.087,0.88,0,0.00,-0.4,2,1,0,0,0,1,902
30,G.Henderson,Baltimore Orioles,Chicago White Sox,1,4,1,1,3,1,0,6,.362,.530,.893,0.142,0.91,0.12,1.27,1.3,5,-33,0,0,34,4,902
31,A.Rutschman,Baltimore Orioles,Chicago White Sox,1,5,1,2,1,1,0,6,.326,.409,.735,0.110,0.78,0.09,1.09,0.6,4,2,0,0,0,2,902
32,R.O'Hearn,Baltimore Orioles,Chicago White Sox,1,5,1,2,0,1,2,6,.342,.435,.778,0.138,0.99,0.12,1.39,0.7,3,-15,17,0,0,3,902
33,A.Santander,Baltimore Orioles,Chicago White Sox,1,3,1,1,1,3,1,6,.310,.519,.829,0.121,1.04,0.10,1.46,1.4,3,1,0,0,0,1,902
34,C.Cowser,Baltimore Orioles,Chicago White Sox,1,5,2,2,0,1,2,6,.324,.448,.772,-0.198,1.09,-0.17,1.52,-1.1,4,2,0,0,0,2,902
35,C.Mullins,Baltimore Orioles,Chicago White Sox,1,6,3,3,3,0,2,6,.292,.397,.690,-0.046,1.00,-0.04,1.40,2.0,9,-26,15,0,14,7,902
36,A.Slater,Baltimore Orioles,Chicago White Sox,1,4,2,3,3,1,0,6,.335,.283,.618,0.203,0.73,0.17,1.03,2.6,8,-1,4,0,0,4,902
