Name,Team,Opponent,Hmcrt_adv,AB,R,H,RBI,BB,SO,PA,OBP,SLG,OPS,WPA,aLI,cWPA,acLI,RE24,H+R+RBI,1B,2B,3B,HR,TB
Parker Meadows,Detroit Tigers,New York Mets,0,3,0,0,0,1,2,4,0.263,0.2,0.463,-0.048,0.84,-0.03,0.85,-0.5,0,0,0,0,0,0
Spencer Torkelson,Detroit Tigers,New York Mets,0,4,0,1,0,0,1,4,0.214,0.185,0.399,-0.04,0.78,-0.03,0.8,-0.4,1,1,0,0,0,1
Kerry Carpenter,Detroit Tigers,New York Mets,0,4,0,0,0,0,0,4,0.353,0.533,0.886,-0.093,0.92,-0.06,0.94,-1.0,0,0,0,0,0,0
Riley Greene,Detroit Tigers,New York Mets,0,2,0,0,0,2,0,4,0.308,0.429,0.736,0.014,0.79,0.01,0.81,0.3,0,0,0,0,0,0
Mark Canha,Detroit Tigers,New York Mets,0,4,0,0,0,0,1,4,0.417,0.444,0.861,-0.087,0.85,-0.05,0.87,-1.0,0,0,0,0,0,0
Colt Keith,Detroit Tigers,New York Mets,0,3,1,2,0,1,1,4,0.304,0.25,0.554,0.107,1.0,0.07,1.02,1.2,3,2,0,0,0,2
Andy Ibáñez,Detroit Tigers,New York Mets,0,2,0,0,0,0,1,2,0.25,0.3,0.55,-0.069,1.48,-0.04,1.51,-0.7,0,0,0,0,0,0
Zach McKinstry,Detroit Tigers,New York Mets,0,2,0,1,0,0,1,2,0.4,0.308,0.708,-0.017,1.11,-0.01,1.13,-0.3,1,1,0,0,0,1
Javier Báez,Detroit Tigers,New York Mets,0,3,0,1,1,0,0,3,0.2,0.211,0.411,-0.045,1.17,-0.03,1.2,-0.4,2,1,0,0,0,1
Jake Rogers,Detroit Tigers,New York Mets,0,3,0,0,0,0,3,3,0.077,0.308,0.385,-0.074,0.99,-0.05,1.01,-0.8,0,0,0,0,0,0
Brandon Nimmo,New York Mets,Detroit Tigers,1,1,0,0,0,3,0,4,0.286,0.048,0.333,0.029,1.68,0.01,1.17,0.7,0,0,0,0,0,0
Francisco Lindor,New York Mets,Detroit Tigers,1,4,0,0,0,0,2,4,0.179,0.042,0.22,-0.226,2.21,-0.09,1.54,-1.4,0,0,0,0,0,0
Pete Alonso,New York Mets,Detroit Tigers,1,4,1,1,1,0,2,4,0.346,0.542,0.888,0.329,1.93,0.14,1.34,0.2,3,-1,0,0,2,4
Brett Baty,New York Mets,Detroit Tigers,1,3,1,0,0,1,1,4,0.333,0.389,0.722,-0.022,1.43,-0.01,1.0,-0.3,1,0,0,0,0,0
Starling Marte,New York Mets,Detroit Tigers,1,3,0,0,0,0,0,4,0.292,0.409,0.701,-0.11,1.73,-0.05,1.21,-0.9,0,0,0,0,0,0
Tyrone Taylor,New York Mets,Detroit Tigers,1,3,0,1,1,1,0,4,0.313,0.214,0.527,0.278,1.46,0.12,1.01,0.8,2,1,0,0,0,1
Omar Narváez,New York Mets,Detroit Tigers,1,2,0,0,0,0,0,2,0.0,0.0,0.0,-0.066,1.33,-0.03,0.93,-0.5,0,0,0,0,0,0
Francisco Alvarez,New York Mets,Detroit Tigers,1,1,0,0,0,0,0,1,0.429,0.7,1.129,-0.024,0.95,-0.01,0.66,-0.1,0,0,0,0,0,0
Harrison Bader,New York Mets,Detroit Tigers,1,3,0,1,0,0,0,3,0.2,0.2,0.4,0.047,1.45,0.02,1.01,-0.0,1,1,0,0,0,1
