,Name,Team,Opponent,Hmcrt_adv,AB,R,H,RBI,BB,SO,PA,OBP,SLG,OPS,WPA,aLI,cWPA,acLI,RE24,H+R+RBI,1B,2B,3B,HR,TB,Date
0,M.Winn,St Louis Cardinals,New York Yankees,0,4,1,0,0,0,0,4,.330,.423,.753,-0.071,0.74,-0.01,0.09,-0.9,1,0,0,0,0,0,831
1,A.Burleson,St Louis Cardinals,New York Yankees,0,3,1,1,0,1,0,4,.320,.456,.776,0.084,0.64,0.01,0.08,0.5,2,1,0,0,0,1,831
2,N.Arenado,St Louis Cardinals,New York Yankees,0,4,1,1,1,0,1,4,.320,.400,.720,0.051,0.92,0.00,0.11,0.3,3,1,0,0,0,1,831
3,B.Donovan,St Louis Cardinals,New York Yankees,0,4,1,1,3,0,1,4,.328,.394,.721,0.202,0.91,0.01,0.11,1.7,5,-10,0,0,11,4,831
4,P.Goldschmidt,St Louis Cardinals,New York Yankees,0,4,0,1,0,0,1,4,.299,.404,.703,-0.011,0.45,-0.00,0.06,-0.2,1,-22,23,0,0,2,831
5,L.Nootbaar,St Louis Cardinals,New York Yankees,0,4,1,1,0,0,0,4,.320,.380,.700,-0.017,0.43,-0.00,0.05,-0.2,2,-12,13,0,0,2,831
6,I.Herrera,St Louis Cardinals,New York Yankees,0,3,1,2,1,1,0,4,.346,.385,.731,0.051,0.55,0.00,0.07,1.1,4,-6,8,0,0,3,831
7,J.Walker,St Louis Cardinals,New York Yankees,0,4,0,0,0,0,3,4,.218,.221,.439,-0.052,0.49,-0.00,0.06,-0.8,0,0,0,0,0,0,831
8,V.Scott,St Louis Cardinals,New York Yankees,0,3,0,0,0,1,1,4,.211,.273,.484,0.022,0.46,0.00,0.06,0.0,0,0,0,0,0,0,831
9,G.Torres,New York Yankees,St. Louis Cardinals,1,5,0,1,0,0,0,5,.318,.357,.675,-0.127,1.17,-0.10,1.50,-0.5,1,1,0,0,0,1,831
10,J.Soto,New York Yankees,St. Louis Cardinals,1,5,0,1,0,0,2,5,.420,.590,1.010,0.011,0.92,0.01,1.17,-1.2,1,-26,27,0,0,2,831
11,A.Judge,New York Yankees,St. Louis Cardinals,1,4,1,1,0,1,1,5,.463,.721,1.184,0.050,1.40,0.04,1.79,0.3,2,1,0,0,0,1,831
12,A.Wells,New York Yankees,St. Louis Cardinals,1,5,2,2,0,0,1,5,.348,.447,.795,-0.147,1.94,-0.11,2.48,-0.1,4,-13,15,0,0,3,831
13,J.Chisholm,New York Yankees,St. Louis Cardinals,1,4,1,3,0,0,0,4,.328,.453,.782,0.052,0.79,0.04,1.01,0.7,4,3,0,0,0,0,831
14,A.Volpe,New York Yankees,St. Louis Cardinals,1,4,1,2,2,0,0,4,.304,.388,.692,0.054,1.28,0.04,1.64,1.0,5,2,0,0,0,2,831
15,T.Grisham,New York Yankees,St. Louis Cardinals,1,3,0,0,0,0,2,3,.290,.358,.648,-0.099,1.20,-0.08,1.53,-1.1,0,0,0,0,0,0,831
16,G.Stanton,New York Yankees,St. Louis Cardinals,1,1,0,1,3,0,0,1,.299,.484,.783,0.189,2.23,0.14,2.85,2.5,4,-14,15,0,0,2,831
17,A.Verdugo,New York Yankees,St. Louis Cardinals,1,4,0,1,0,0,0,4,.292,.360,.652,-0.060,1.37,-0.05,1.75,-0.1,1,-27,28,0,0,2,831
18,O.Cabrera,New York Yankees,St. Louis Cardinals,1,4,0,0,0,0,2,4,.291,.365,.656,-0.163,1.52,-0.12,1.93,-1.0,0,0,0,0,0,0,831
19,I.Happ,Chicago Cubs,Washington Nationals,0,4,0,0,1,0,2,4,.344,.463,.807,-0.026,0.92,-0.01,0.32,-0.5,1,0,0,0,0,0,831
20,D.Swanson,Chicago Cubs,Washington Nationals,0,4,0,1,1,0,1,4,.301,.366,.667,0.059,0.94,0.01,0.33,0.3,2,-19,20,0,0,2,831
21,S.Suzuki,Chicago Cubs,Washington Nationals,0,4,0,1,0,0,0,4,.346,.485,.831,-0.037,0.59,-0.01,0.21,-0.2,1,1,0,0,0,1,831
22,C.Bellinger,Chicago Cubs,Washington Nationals,0,4,0,0,0,0,0,4,.325,.422,.747,-0.076,0.76,-0.02,0.27,-0.8,0,0,0,0,0,0,831
23,I.Paredes,Chicago Cubs,Washington Nationals,0,2,1,1,0,1,0,4,.341,.407,.748,0.078,0.88,0.02,0.31,0.8,2,1,0,0,0,1,831
24,M.Busch,Chicago Cubs,Washington Nationals,0,3,1,1,0,1,0,4,.339,.436,.775,0.010,1.16,0.00,0.41,-0.2,2,1,0,0,0,1,831
25,N.Hoerner,Chicago Cubs,Washington Nationals,0,4,2,2,0,0,1,4,.328,.350,.678,0.117,1.33,0.02,0.46,0.8,4,2,0,0,0,2,831
26,P.Crow-Armstrong,Chicago Cubs,Washington Nationals,0,3,0,0,1,0,1,4,.282,.387,.668,-0.126,1.53,-0.03,0.54,-1.2,1,0,0,0,0,0,831
27,C.Bethancourt,Chicago Cubs,Washington Nationals,0,4,1,1,0,0,2,4,.261,.416,.676,0.259,1.27,0.05,0.45,1.7,2,1,0,0,0,1,831
28,D.Crews,Washington Nationals,Chicago Cubs,1,5,0,1,0,0,1,5,.318,.667,.985,-0.152,1.75,0,0.00,-1.0,1,1,0,0,0,1,831
29,J.Wood,Washington Nationals,Chicago Cubs,1,4,0,0,0,1,4,5,.371,.418,.788,-0.195,1.56,0,0.00,-1.1,0,0,0,0,0,0,831
30,L.Garcia,Washington Nationals,Chicago Cubs,1,3,0,0,0,1,0,4,.327,.453,.780,-0.079,1.22,0,0.00,-0.7,0,0,0,0,0,0,831
31,A.Chaparro,Washington Nationals,Chicago Cubs,1,4,1,1,1,0,1,4,.323,.491,.814,0.016,1.03,0,0.00,0.4,3,-1,0,0,2,4,831
32,J.Tena,Washington Nationals,Chicago Cubs,1,3,1,3,0,1,0,4,.369,.468,.837,0.035,0.86,0,0.00,0.5,4,3,0,0,0,3,831
33,C.Abrams,Washington Nationals,Chicago Cubs,1,4,0,1,0,0,0,4,.315,.430,.745,-0.098,1.38,0,0.00,-0.8,1,1,0,0,0,1,831
34,J.Gallo,Washington Nationals,Chicago Cubs,1,4,0,1,1,0,2,4,.292,.315,.607,0.015,1.14,0,0.00,0.2,2,1,0,0,0,1,831
35,D.Millas,Washington Nationals,Chicago Cubs,1,4,0,2,0,0,0,4,.275,.342,.617,0.016,1.05,0,0.00,-0.1,2,2,0,0,0,2,831
36,J.Young,Washington Nationals,Chicago Cubs,1,3,1,1,0,1,1,4,.317,.342,.659,0.200,1.60,0,0.00,1.2,2,-21,22,0,0,2,831
37,L.Arraez,San Diego Padres,Tampa Bay Rays,0,3,1,2,1,2,0,5,.343,.385,.728,0.077,0.47,0.05,0.52,1.7,4,2,0,0,0,2,831
38,J.Profar,San Diego Padres,Tampa Bay Rays,0,4,0,0,0,1,2,5,.382,.461,.843,-0.057,0.72,-0.04,0.81,-1.0,0,0,0,0,0,0,831
39,J.Cronenworth,San Diego Padres,Tampa Bay Rays,0,5,1,3,2,0,0,5,.323,.409,.732,0.133,0.65,0.09,0.73,1.6,6,-39,26,0,16,7,831
40,M.Machado,San Diego Padres,Tampa Bay Rays,0,4,0,1,0,1,0,5,.326,.464,.790,-0.005,0.39,-0.00,0.44,-0.9,1,1,0,0,0,1,831
41,X.Bogaerts,San Diego Padres,Tampa Bay Rays,0,4,0,0,0,0,1,4,.308,.367,.675,-0.058,0.50,-0.04,0.56,-1.1,0,0,0,0,0,0,831
42,J.Merrill,San Diego Padres,Tampa Bay Rays,0,4,0,0,0,0,0,4,.322,.488,.810,-0.042,0.40,-0.03,0.45,-1.0,0,0,0,0,0,0,831
43,D.Peralta,San Diego Padres,Tampa Bay Rays,0,4,0,0,0,0,0,4,.333,.429,.763,-0.036,0.36,-0.02,0.40,-0.9,0,0,0,0,0,0,831
44,L.Campusano,San Diego Padres,Tampa Bay Rays,0,4,1,1,0,0,2,4,.283,.370,.653,-0.019,0.24,-0.01,0.27,-0.4,2,1,0,0,0,1,831
45,M.McCoy,San Diego Padres,Tampa Bay Rays,0,3,1,2,1,0,1,3,.361,.323,.684,0.007,0.24,0.01,0.27,1.3,4,0,2,0,0,3,831
46,D.Solano,San Diego Padres,Tampa Bay Rays,0,1,0,1,0,0,0,1,.351,.418,.769,0.000,0.01,0,0.01,0.3,1,1,0,0,0,1,831
47,C.Morel,Tampa Bay Rays,San Diego Padres,1,4,2,2,1,1,0,5,.298,.357,.655,0.017,0.46,0.00,0.08,1.0,5,2,0,0,0,2,831
48,B.Lowe,Tampa Bay Rays,San Diego Padres,1,5,3,3,1,0,0,5,.327,.485,.812,0.143,0.62,0.01,0.10,1.9,7,-16,19,0,0,4,831
