Name,Team,Opponent,Hmcrt_adv,AB,R,H,RBI,BB,SO,PA,OBP,SLG,OPS,WPA,aLI,cWPA,acLI,RE24,H+R+RBI,1B,2B,3B,HR,TB
George Springer,Toronto Blue Jays,New York Yankees,0,3,0,1,0,2,0,5,0.314,0.393,0.707,0.03,0.73,0.02,0.67,0.5,1,0,1,0,0,2
Vladimir Guerrero Jr.,Toronto Blue Jays,New York Yankees,0,5,0,0,0,0,3,5,0.314,0.276,0.59,-0.096,0.79,-0.05,0.72,-1.6,0,0,0,0,0,0
Bo Bichette,Toronto Blue Jays,New York Yankees,0,5,0,0,0,0,1,5,0.154,0.16,0.314,-0.145,0.95,-0.08,0.87,-1.9,0,0,0,0,0,0
Justin Turner,Toronto Blue Jays,New York Yankees,0,3,0,0,0,1,1,4,0.4,0.56,0.96,-0.018,0.89,-0.01,0.81,-0.1,0,0,0,0,0,0
Davis Schneider,Toronto Blue Jays,New York Yankees,0,4,0,0,0,0,1,4,0.231,0.667,0.897,-0.102,0.98,-0.06,0.91,-0.9,0,0,0,0,0,0
Cavan Biggio,Toronto Blue Jays,New York Yankees,0,2,0,1,0,0,0,2,0.348,0.421,0.769,0.027,0.83,0.01,0.77,0.2,1,0,1,0,0,2
Ernie Clement,Toronto Blue Jays,New York Yankees,0,2,1,1,1,0,0,2,0.294,0.471,0.765,0.173,1.11,0.1,1.02,0.8,3,0,0,0,1,4
Alejandro Kirk,Toronto Blue Jays,New York Yankees,0,4,0,3,0,0,0,4,0.222,0.2,0.422,-0.003,1.09,-0.0,1.0,0.2,3,3,0,0,0,3
Daulton Varsho,Toronto Blue Jays,New York Yankees,0,4,1,1,0,0,1,4,0.25,0.2,0.45,-0.041,1.05,-0.02,0.97,0.4,2,1,0,0,0,1
Isiah Kiner-Falefa,Toronto Blue Jays,New York Yankees,0,3,0,0,0,1,1,4,0.348,0.211,0.558,-0.079,1.08,-0.04,0.99,-0.5,0,0,0,0,0,0
Gleyber Torres,New York Yankees,Toronto Blue Jays,1,4,0,1,0,0,2,4,0.324,0.25,0.574,-0.046,0.99,-0.03,1.14,-0.2,1,1,0,0,0,1
Juan Soto,New York Yankees,Toronto Blue Jays,1,4,0,0,0,0,2,4,0.395,0.424,0.819,-0.114,1.13,-0.08,1.3,-0.8,0,0,0,0,0,0
Aaron Judge,New York Yankees,Toronto Blue Jays,1,2,0,0,0,2,1,4,0.297,0.333,0.631,-0.027,0.91,-0.02,1.04,-0.2,0,0,0,0,0,0
Giancarlo Stanton,New York Yankees,Toronto Blue Jays,1,4,0,0,0,0,2,4,0.16,0.292,0.452,-0.102,0.96,-0.07,1.1,-1.0,0,0,0,0,0,0
Anthony Rizzo,New York Yankees,Toronto Blue Jays,1,4,0,1,0,0,1,4,0.314,0.258,0.572,-0.09,1.05,-0.06,1.2,-0.6,1,1,0,0,0,1
Anthony Volpe,New York Yankees,Toronto Blue Jays,1,4,0,2,0,0,0,4,0.5,0.654,1.154,-0.045,0.92,-0.03,1.06,-0.3,2,2,0,0,0,2
Alex Verdugo,New York Yankees,Toronto Blue Jays,1,3,0,1,0,1,0,4,0.25,0.286,0.536,-0.016,0.9,-0.01,1.03,-0.3,1,1,0,0,0,1
Jon Berti,New York Yankees,Toronto Blue Jays,1,3,0,1,0,0,1,3,0.222,0.222,0.444,-0.031,1.28,-0.02,1.47,-0.1,1,1,0,0,0,1
Jose Trevino,New York Yankees,Toronto Blue Jays,1,3,0,0,0,0,2,3,0.154,0.083,0.237,-0.188,1.78,-0.13,2.04,-1.3,0,0,0,0,0,0
Zack Gelof,Oakland Athletics,Detroit Tigers,0,4,1,1,0,1,2,5,0.235,0.226,0.461,-0.12,2.0,-0.05,1.38,-0.2,2,-1,2,0,0,2
J.D. Davis,Oakland Athletics,Detroit Tigers,0,4,0,0,0,0,2,4,0.357,0.615,0.973,-0.168,1.54,-0.07,1.06,-1.3,0,0,0,0,0,0
Brent Rooker,Oakland Athletics,Detroit Tigers,0,4,1,2,2,0,2,4,0.2,0.333,0.533,0.105,1.0,0.04,0.69,1.5,5,1,0,0,1,5
Shea Langeliers,Oakland Athletics,Detroit Tigers,0,4,0,0,0,0,4,4,0.25,0.333,0.583,-0.089,0.84,-0.04,0.58,-0.6,0,0,0,0,0,0
Tyler Nevin,Oakland Athletics,Detroit Tigers,0,2,0,0,0,1,0,3,0.333,0.2,0.533,-0.019,1.07,-0.01,0.74,-0.1,0,0,0,0,0,0
Seth Brown,Oakland Athletics,Detroit Tigers,0,1,0,0,0,0,0,1,0.192,0.087,0.279,-0.026,1.0,-0.01,0.69,-0.1,0,0,0,0,0,0
Abraham Toro,Oakland Athletics,Detroit Tigers,0,3,1,1,1,1,1,4,0.286,0.364,0.649,0.175,1.52,0.07,1.05,0.9,3,0,0,0,1,4
JJ Bleday,Oakland Athletics,Detroit Tigers,0,3,1,0,0,1,2,4,0.364,0.533,0.897,-0.099,1.87,-0.04,1.29,-0.5,1,0,0,0,0,0
Darell Hernaiz,Oakland Athletics,Detroit Tigers,0,2,0,0,0,0,1,2,0.0,0.0,0.0,-0.047,0.87,-0.02,0.6,-0.5,0,0,0,0,0,0
Ryan Noda,Oakland Athletics,Detroit Tigers,0,1,0,1,0,1,0,2,0.31,0.269,0.58,0.272,3.1,0.11,2.14,1.3,1,0,1,0,0,0
Nick Allen,Oakland Athletics,Detroit Tigers,0,4,0,0,1,0,0,4,0.217,0.304,0.522,-0.179,2.66,-0.07,1.83,-1.0,1,0,0,0,0,0
Matt Vierling,Detroit Tigers,Oakland Athletics,1,3,1,1,1,1,0,4,0.188,0.333,0.521,0.15,1.06,0.1,1.15,1.0,3,0,0,0,1,4
Andy Ibáñez,Detroit Tigers,Oakland Athletics,1,3,1,1,0,0,0,3,0.267,0.308,0.574,0.037,0.55,0.02,0.6,0.4,2,1,0,0,0,1
Kerry Carpenter,Detroit Tigers,Oakland Athletics,1,1,0,0,0,0,0,1,0.333,0.5,0.833,-0.146,3.09,-0.1,3.35,-0.9,0,0,0,0,0,0
Spencer Torkelson,Detroit Tigers,Oakland Athletics,1,4,2,2,1,0,0,4,0.25,0.29,0.54,0.184,1.04,0.12,1.12,1.3,5,0,2,0,0,4
Riley Greene,Detroit Tigers,Oakland Athletics,1,4,0,1,1,0,1,4,0.3,0.4,0.7,-0.079,1.09,-0.05,1.19,-0.1,2,1,0,0,0,1
Mark Canha,Detroit Tigers,Oakland Athletics,1,3,1,1,1,0,1,4,0.429,0.571,1.0,0.057,1.07,0.04,1.17,0.5,3,-1,0,0,2,4
Gio Urshela,Detroit Tigers,Oakland Athletics,1,4,0,2,1,0,0,4,0.471,0.588,1.059,0.226,1.13,0.15,1.22,0.4,3,0,2,0,0,4
Jake Rogers,Detroit Tigers,Oakland Athletics,1,2,0,0,0,1,1,3,0.125,0.267,0.392,-0.041,0.76,-0.03,0.83,-0.4,0,0,0,0,0,0
Colt Keith,Detroit Tigers,Oakland Athletics,1,0,0,0,0,1,0,1,0.333,0.25,0.583,0.004,0.82,0.0,0.89,0.1,0,0,0,0,0,0
Javier Báez,Detroit Tigers,Oakland Athletics,1,4,0,0,0,0,0,4,0.167,0.174,0.341,-0.105,1.01,-0.07,1.1,-1.3,0,0,0,0,0,0
Parker Meadows,Detroit Tigers,Oakland Athletics,1,2,0,0,0,1,1,3,0.273,0.176,0.449,0.019,0.67,0.01,0.73,-0.1,0,0,0,0,0,0
Mookie Betts,Los Angeles Dodgers,Chicago Cubs,0,5,1,1,0,0,2,5,0.553,0.974,1.527,-0.069,0.92,-0.05,1.06,-0.4,2,1,0,0,0,1
Shohei Ohtani,Los Angeles Dodgers,Chicago Cubs,0,5,2,2,2,0,0,5,0.326,0.524,0.85,0.071,0.98,0.05,1.11,1.2,6,-4,4,0,2,6
Freddie Freeman,Los Angeles Dodgers,Chicago Cubs,0,2,3,1,0,3,0,5,0.533,0.529,1.063,0.176,1.07,0.12,1.23,1.6,4,1,0,0,0,1
Will Smith,Los Angeles Dodgers,Chicago Cubs,0,5,1,4,1,0,0,5,0.488,0.568,1.055,0.345,1.57,0.24,1.79,2.8,6,0,4,0,0,5
Max Muncy,Los Angeles Dodgers,Chicago Cubs,0,5,0,0,0,0,3,5,0.326,0.395,0.72,-0.313,2.13,-0.21,2.44,-3.0,0,0,0,0,0,0
Teoscar Hernández,Los Angeles Dodgers,Chicago Cubs,0,5,0,3,4,0,1,5,0.349,0.65,0.999,0.17,1.88,0.12,2.15,3.0,7,3,0,0,0,3
James Outman,Los Angeles Dodgers,Chicago Cubs,0,5,0,1,0,0,3,5,0.257,0.167,0.424,-0.183,1.85,-0.13,2.11,-1.0,1,0,1,0,0,2
Chris Taylor,Los Angeles Dodgers,Chicago Cubs,0,3,0,0,0,1,1,4,0.316,0.071,0.387,-0.04,1.26,-0.03,1.44,-0.8,0,0,0,0,0,0
Gavin Lux,Los Angeles Dodgers,Chicago Cubs,0,4,0,0,0,0,2,4,0.226,0.207,0.433,-0.146,1.41,-0.1,1.61,-1.4,0,0,0,0,0,0
Ian Happ,Chicago Cubs,Los Angeles Dodgers,1,4,2,1,2,1,1,5,0.485,0.481,0.966,0.106,0.89,0.06,0.87,1.2,5,0,0,1,0,3
Seiya Suzuki,Chicago Cubs,Los Angeles Dodgers,1,2,0,1,3,1,1,4,0.394,0.621,1.015,0.149,0.79,0.09,0.78,1.9,4,-1,2,0,0,2
Cody Bellinger,Chicago Cubs,Los Angeles Dodgers,1,3,0,0,0,1,2,4,0.313,0.333,0.646,-0.026,0.39,-0.02,0.38,-0.7,0,0,0,0,0,0
Christopher Morel,Chicago Cubs,Los Angeles Dodgers,1,4,0,0,0,0,0,4,0.367,0.607,0.974,-0.084,0.8,-0.05,0.78,-1.2,0,0,0,0,0,0
Dansby Swanson,Chicago Cubs,Los Angeles Dodgers,1,3,1,2,1,1,0,4,0.448,0.652,1.1,0.081,0.66,0.05,0.65,0.8,4,0,0,0,2,5
Michael Busch,Chicago Cubs,Los Angeles Dodgers,1,3,2,1,1,1,0,4,0.417,0.474,0.89,0.06,0.52,0.04,0.51,0.8,4,0,0,0,1,4
Nico Hoerner,Chicago Cubs,Los Angeles Dodgers,1,3,2,1,0,1,0,4,0.387,0.136,0.523,0.139,1.14,0.08,1.12,1.2,3,1,0,0,0,1
Nick Madrigal,Chicago Cubs,Los Angeles Dodgers,1,4,1,2,1,0,0,4,0.333,0.467,0.8,0.067,0.96,0.04,0.94,0.5,4,2,0,0,0,2
Yan Gomes,Chicago Cubs,Los Angeles Dodgers,1,4,1,1,0,0,0,4,0.077,0.077,0.154,0.019,1.07,0.01,1.05,-0.0,2,1,0,0,0,1
Yandy Díaz,Tampa Bay Rays,Colorado Rockies,0,4,2,2,1,1,1,5,0.371,0.467,0.838,0.084,0.88,0.04,0.73,1.5,5,0,2,0,0,3
Harold Ramírez,Tampa Bay Rays,Colorado Rockies,0,5,1,3,1,0,0,5,0.233,0.233,0.467,0.079,1.05,0.04,0.88,1.1,5,3,0,0,0,3
Randy Arozarena,Tampa Bay Rays,Colorado Rockies,0,5,1,1,0,0,3,5,0.313,0.448,0.761,-0.061,1.34,-0.03,1.12,-0.8,2,1,0,0,0,1
Isaac Paredes,Tampa Bay Rays,Colorado Rockies,0,5,1,2,1,0,2,5,0.31,0.462,0.772,0.128,1.47,0.06,1.23,1.2,4,2,0,0,0,2
Amed Rosario,Tampa Bay Rays,Colorado Rockies,0,5,0,3,1,0,1,5,0.292,0.391,0.683,0.082,1.79,0.04,1.49,0.9,4,0,3,0,0,4
Curtis Mead,Tampa Bay Rays,Colorado Rockies,0,2,0,0,0,1,0,3,0.389,0.313,0.701,-0.092,1.39,-0.05,1.16,-0.9,0,0,0,0,0,0
Ben Rortvedt,Tampa Bay Rays,Colorado Rockies,0,2,1,1,2,0,1,2,0.455,0.5,0.955,0.186,3.25,0.09,2.71,0.7,4,1,0,0,0,1
José Caballero,Tampa Bay Rays,Colorado Rockies,0,4,0,1,0,0,3,5,0.346,0.348,0.694,-0.172,1.75,-0.09,1.46,-1.6,1,1,0,0,0,1
Jose Siri,Tampa Bay Rays,Colorado Rockies,0,2,1,0,0,3,0,5,0.375,0.385,0.76,0.399,1.67,0.2,1.39,1.4,1,0,0,0,0,0
René Pinto,Tampa Bay Rays,Colorado Rockies,0,2,0,0,0,0,2,2,0.25,0.333,0.583,-0.054,1.07,-0.03,0.9,-0.6,0,0,0,0,0,0
Brandon Lowe,Tampa Bay Rays,Colorado Rockies,0,3,0,0,0,0,0,3,0.238,0.316,0.554,-0.15,1.81,-0.07,1.5,-1.2,0,0,0,0,0,0
Charlie Blackmon,Colorado Rockies,Tampa Bay Rays,1,4,0,0,0,0,1,4,0.379,0.536,0.915,-0.09,0.84,-0.04,0.6,-0.9,0,0,0,0,0,0
Jake Cave,Colorado Rockies,Tampa Bay Rays,1,0,1,0,0,1,0,1,0.5,0.6,1.1,0.243,4.54,0.1,3.27,0.6,1,0,0,0,0,0
Brendan Rodgers,Colorado Rockies,Tampa Bay Rays,1,4,2,1,0,1,0,5,0.167,0.207,0.374,0.068,1.33,0.03,0.95,0.4,3,-1,2,0,0,2
Nolan Jones,Colorado Rockies,Tampa Bay Rays,1,3,3,2,1,2,0,5,0.229,0.281,0.51,0.362,1.64,0.16,1.18,2.7,6,0,2,0,0,3
Kris Bryant,Colorado Rockies,Tampa Bay Rays,1,5,1,1,2,0,2,5,0.267,0.24,0.507,-0.287,2.02,-0.12,1.45,-0.5,4,0,0,0,1,4
Ryan McMahon,Colorado Rockies,Tampa Bay Rays,1,5,2,3,4,0,1,5,0.471,0.586,1.057,0.528,2.5,0.23,1.8,3.4,9,0,2,0,1,7
Elias Díaz,Colorado Rockies,Tampa Bay Rays,1,3,0,2,1,0,1,4,0.273,0.4,0.673,-0.012,1.0,-0.01,0.72,0.3,3,2,0,0,0,2
Ezequiel Tovar,Colorado Rockies,Tampa Bay Rays,1,4,1,2,2,0,1,4,0.323,0.5,0.823,0.253,0.93,0.11,0.67,1.2,5,0,0,0,2,5
