,Name,Team,Opponent,Hmcrt_adv,AB,R,H,RBI,BB,SO,PA,OBP,SLG,OPS,WPA,aLI,cWPA,acLI,RE24,H+R+RBI,1B,2B,3B,HR,TB
156,Tyler O'Neill,Boston Red Sox,Seattle Mariners,0,4,0,1,0,0,1,4,.375,.714,1.089,-0.112,1.45,-0.07,1.44,-0.7,1,1,0,0,0,1
157,Masataka Yoshida,Boston Red Sox,Seattle Mariners,0,3,0,1,0,1,1,4,.375,.429,.804,0.042,1.25,0.03,1.24,0.2,1,1,0,0,0,1
158,Trevor Story,Boston Red Sox,Seattle Mariners,0,4,0,0,0,0,1,4,.222,.125,.347,-0.257,2.27,-0.15,2.25,-1.6,0,0,0,0,0,0
159,Triston Casas,Boston Red Sox,Seattle Mariners,0,4,0,0,0,0,2,4,.111,.111,.222,-0.170,1.65,-0.10,1.64,-1.0,0,0,0,0,0,0
160,Ceddanne Rafaela,Boston Red Sox,Seattle Mariners,0,4,0,1,0,0,2,4,.250,.500,.750,-0.063,1.08,-0.04,1.07,-0.4,1,1,0,0,0,1
161,Enmanuel Valdez,Boston Red Sox,Seattle Mariners,0,2,0,0,0,0,0,2,.250,.250,.500,-0.046,0.92,-0.03,0.92,-0.4,0,0,0,0,0,0
162,Pablo Reyes,Boston Red Sox,Seattle Mariners,0,2,0,1,0,0,1,2,.250,.250,.500,0.003,1.50,0.00,1.49,0.1,1,1,0,0,0,1
163,Bobby Dalbec,Boston Red Sox,Seattle Mariners,0,3,0,0,0,0,2,3,.000,.000,.000,-0.116,1.52,-0.07,1.51,-0.7,0,0,0,0,0,0
164,Reese McGuire,Boston Red Sox,Seattle Mariners,0,2,0,0,0,1,1,3,.333,.000,.333,0.048,1.23,0.03,1.23,0.1,0,0,0,0,0,0
165,J.P. Crawford,Seattle Mariners,Boston Red Sox,1,3,1,1,1,1,0,4,.250,.571,.821,0.153,0.77,0.09,0.72,0.8,3,0,0,0,1,0
166,Julio Rodríguez,Seattle Mariners,Boston Red Sox,1,3,0,1,0,1,1,4,.375,.429,.804,0.040,0.86,0.02,0.80,0.5,1,1,0,0,0,1
167,Jorge Polanco,Seattle Mariners,Boston Red Sox,1,4,0,0,0,0,3,4,.250,.143,.393,-0.100,1.03,-0.06,0.96,-1.3,0,0,0,0,0,0
168,Mitch Haniger,Seattle Mariners,Boston Red Sox,1,3,0,0,0,0,2,3,.429,.833,1.262,-0.076,1.03,-0.04,0.96,-0.7,0,0,0,0,0,0
169,Cal Raleigh,Seattle Mariners,Boston Red Sox,1,3,0,0,0,0,1,3,.143,.143,.286,-0.071,0.89,-0.04,0.83,-0.6,0,0,0,0,0,0
170,Ty France,Seattle Mariners,Boston Red Sox,1,3,0,1,0,0,2,3,.143,.143,.286,-0.026,0.66,-0.01,0.61,-0.2,1,1,0,0,0,1
171,Dominic Canzone,Seattle Mariners,Boston Red Sox,1,3,0,0,0,0,2,3,.000,.000,.000,-0.058,0.74,-0.03,0.69,-0.6,0,0,0,0,0,0
172,Luis Urías,Seattle Mariners,Boston Red Sox,1,3,0,0,0,0,2,3,.000,.000,.000,-0.049,0.65,-0.03,0.60,-0.5,0,0,0,0,0,0
173,Luke Raley,Seattle Mariners,Boston Red Sox,1,3,0,1,0,0,1,3,.250,.250,.500,-0.036,0.70,-0.02,0.66,-0.2,1,1,0,0,0,1
174,Brendan Donovan,St Louis Cardinals,Los Angeles Dodgers,0,3,1,0,0,0,2,4,.125,.000,.125,-0.050,0.70,-0.03,0.62,-0.2,1,0,0,0,0,0
175,Paul Goldschmidt,St Louis Cardinals,Los Angeles Dodgers,0,2,1,0,0,2,1,4,.625,1.000,1.625,0.004,0.57,0.00,0.51,0.7,1,0,0,0,0,0
176,Nolan Gorman,St Louis Cardinals,Los Angeles Dodgers,0,4,0,2,2,0,2,4,.250,.375,.625,0.059,0.69,0.03,0.61,1.2,4,1,1,0,0,3
177,Nolan Arenado,St Louis Cardinals,Los Angeles Dodgers,0,3,0,0,1,0,0,4,.000,.000,.000,-0.100,0.99,-0.05,0.89,-0.8,1,0,0,0,0,0
178,Willson Contreras,St Louis Cardinals,Los Angeles Dodgers,0,4,0,1,0,0,3,4,.250,.143,.393,-0.062,0.67,-0.03,0.60,-0.7,1,1,0,0,0,1
179,Alec Burleson,St Louis Cardinals,Los Angeles Dodgers,0,4,0,0,0,0,1,4,.000,.000,.000,-0.057,0.53,-0.03,0.47,-1.0,0,0,0,0,0,0
180,Jordan Walker,St Louis Cardinals,Los Angeles Dodgers,0,4,0,1,0,0,2,4,.143,.143,.286,-0.043,0.55,-0.02,0.49,-0.4,1,1,0,0,0,1
181,Victor Scott II,St Louis Cardinals,Los Angeles Dodgers,0,4,0,0,0,0,3,4,.000,.000,.000,-0.057,0.54,-0.03,0.48,-1.1,0,0,0,0,0,0
182,Masyn Winn,St Louis Cardinals,Los Angeles Dodgers,0,3,1,2,0,0,0,3,.333,.333,.667,0.009,0.29,0.01,0.26,0.6,3,2,0,0,0,2
183,Matt Carpenter,St Louis Cardinals,Los Angeles Dodgers,0,1,0,0,0,0,0,1,.000,.000,.000,-0.004,0.16,-0.00,0.14,-0.1,0,0,0,0,0,0
184,Mookie Betts,Los Angeles Dodgers,St. Louis Cardinals,1,3,1,1,1,1,2,4,.684,1.286,1.970,0.090,0.40,0.05,0.40,1.3,3,-2,0,0,3,4
185,Shohei Ohtani,Los Angeles Dodgers,St. Louis Cardinals,1,4,0,0,0,0,1,4,.316,.353,.669,-0.044,0.34,-0.03,0.34,-1.7,0,0,0,0,0,0
186,Freddie Freeman,Los Angeles Dodgers,St. Louis Cardinals,1,4,0,0,0,0,1,4,.474,.462,.935,-0.041,0.39,-0.03,0.39,-1.1,0,0,0,0,0,0
187,Will Smith,Los Angeles Dodgers,St. Louis Cardinals,1,3,1,1,0,1,0,4,.474,.529,1.003,0.012,0.27,0.01,0.27,0.6,2,-1,2,0,0,2
188,Max Muncy,Los Angeles Dodgers,St. Louis Cardinals,1,4,1,1,0,0,1,4,.368,.375,.743,-0.004,0.47,-0.00,0.47,-0.4,2,1,0,0,0,1
189,Teoscar Hernández,Los Angeles Dodgers,St. Louis Cardinals,1,3,2,2,4,0,1,3,.353,.733,1.086,0.221,0.68,0.13,0.68,3.0,8,0,0,0,2,8
190,Enrique Hernández,Los Angeles Dodgers,St. Louis Cardinals,1,3,0,0,0,0,0,3,.143,.000,.143,-0.020,0.26,-0.01,0.26,-0.7,0,0,0,0,0,0
191,Chris Taylor,Los Angeles Dodgers,St. Louis Cardinals,1,3,0,0,0,0,3,3,.000,.000,.000,-0.013,0.16,-0.01,0.16,-0.5,0,0,0,0,0,0
192,Miguel Rojas,Los Angeles Dodgers,St. Louis Cardinals,1,3,1,2,1,0,0,3,.500,1.250,1.750,-0.002,0.28,-0.00,0.28,1.1,4,1,0,0,1,5
