,Name,Team,Opponent,Hmcrt_adv,AB,R,H,RBI,BB,SO,PA,OBP,SLG,OPS,WPA,aLI,cWPA,acLI,RE24,H+R+RBI,1B,2B,3B,HR,TB,Date
0,I.Kiner-Falefa,Pittsburgh Pirates,New York Yankees,0,5,0,0,0,0,3,5,.306,.376,.683,-0.046,0.37,0,0.00,-0.8,0,0,0,0,0,0,928
1,B.Reynolds,Pittsburgh Pirates,New York Yankees,0,4,0,1,0,0,0,4,.344,.449,.793,0.004,0.36,0,0.00,-0.2,1,1,0,0,0,1,928
2,O.Cruz,Pittsburgh Pirates,New York Yankees,0,4,0,0,0,0,3,4,.323,.452,.775,-0.066,0.66,0,0.00,-0.9,0,0,0,0,0,0,928
3,N.Gonzales,Pittsburgh Pirates,New York Yankees,0,4,1,1,1,0,0,4,.312,.403,.715,0.080,0.48,0,0.00,0.5,3,-6,0,0,7,4,928
4,J.Palacios,Pittsburgh Pirates,New York Yankees,0,2,2,0,0,2,0,4,.324,.328,.652,-0.009,0.48,0,0.00,0.4,2,0,0,0,0,0,928
5,J.Triolo,Pittsburgh Pirates,New York Yankees,0,4,1,1,2,0,2,4,.299,.317,.616,0.054,0.43,0,0.00,1.2,4,-8,0,0,9,4,928
6,Y.Grandal,Pittsburgh Pirates,New York Yankees,0,4,3,3,1,0,1,4,.304,.400,.704,0.139,0.40,0,0.00,1.5,7,-6,0,0,9,6,928
7,N.Yorke,Pittsburgh Pirates,New York Yankees,0,4,1,1,3,0,2,4,.263,.400,.663,0.015,0.57,0,0.00,1.7,5,-1,0,0,2,4,928
8,B.Cook,Pittsburgh Pirates,New York Yankees,0,4,1,1,2,0,1,4,.222,.444,.667,0.110,0.48,0,0.00,1.2,4,-2,0,0,3,4,928
9,J.Dominguez,New York Yankees,Pittsburgh Pirates,1,4,0,1,0,1,1,5,.317,.321,.638,-0.015,0.86,-0.00,0.15,-0.2,1,1,0,0,0,1,928
10,J.Soto,New York Yankees,Pittsburgh Pirates,1,3,0,1,1,2,1,5,.419,.569,.989,-0.018,0.93,-0.00,0.16,0.5,2,1,0,0,0,1,928
11,A.Judge,New York Yankees,Pittsburgh Pirates,1,5,0,0,0,0,5,5,.458,.701,1.159,-0.126,1.09,-0.01,0.19,-1.9,0,0,0,0,0,0,928
12,A.Wells,New York Yankees,Pittsburgh Pirates,1,3,1,0,0,2,0,5,.321,.397,.718,-0.007,0.74,-0.00,0.13,-0.6,1,0,0,0,0,0,928
13,G.Stanton,New York Yankees,Pittsburgh Pirates,1,4,0,0,0,0,1,4,.298,.476,.774,-0.014,1.05,-0.00,0.18,0.4,0,0,0,0,0,0,928
14,J.Chisholm,New York Yankees,Pittsburgh Pirates,1,4,1,2,2,0,2,4,.324,.436,.760,0.050,1.01,0.01,0.18,1.2,5,-43,21,0,24,0,928
15,A.Rizzo,New York Yankees,Pittsburgh Pirates,1,2,0,1,0,0,0,3,.301,.335,.637,0.018,0.72,0.00,0.13,0.3,1,1,0,0,0,1,928
16,A.Volpe,New York Yankees,Pittsburgh Pirates,1,1,0,0,0,0,0,1,.292,.365,.657,-0.051,1.81,-0.01,0.31,-0.3,0,0,0,0,0,0,928
17,O.Cabrera,New York Yankees,Pittsburgh Pirates,1,4,1,1,0,0,1,4,.296,.365,.661,-0.063,0.78,-0.01,0.14,-0.4,2,1,0,0,0,1,928
18,J.Berti,New York Yankees,Pittsburgh Pirates,1,3,1,1,0,1,0,4,.348,.333,.681,0.008,0.57,0.00,0.10,0.6,2,1,0,0,0,1,928
19,M.Vargas,Chicago White Sox,Detroit Tigers,0,4,0,0,0,0,1,4,.246,.261,.507,-0.007,0.69,0,0.00,-0.0,0,0,0,0,0,0,928
20,Z.DeLoach,Chicago White Sox,Detroit Tigers,0,3,1,0,0,1,0,4,.286,.333,.619,-0.064,0.98,0,0.00,-0.5,1,0,0,0,0,0,928
21,A.Benintendi,Chicago White Sox,Detroit Tigers,0,4,2,2,2,0,1,4,.289,.396,.685,0.074,0.86,0,0.00,1.5,6,-38,20,0,20,6,928
22,A.Vaughn,Chicago White Sox,Detroit Tigers,0,4,0,1,1,0,0,4,.298,.404,.702,0.051,0.82,0,0.00,0.2,2,1,0,0,0,1,928
23,L.Sosa,Chicago White Sox,Detroit Tigers,0,4,0,1,0,0,0,4,.276,.346,.622,-0.010,0.56,0,0.00,-0.1,1,1,0,0,0,1,928
24,B.Ramos,Chicago White Sox,Detroit Tigers,0,3,1,1,1,0,1,4,.235,.326,.562,0.092,0.57,0,0.00,0.6,3,-2,0,0,3,4,928
25,D.Fletcher,Chicago White Sox,Detroit Tigers,0,4,0,0,0,0,0,4,.253,.256,.509,-0.066,0.63,0,0.00,-1.0,0,0,0,0,0,0,928
26,C.Robinson,Chicago White Sox,Detroit Tigers,0,3,0,0,0,1,1,4,.197,.129,.326,-0.005,0.60,0,0.00,-0.2,0,0,0,0,0,0,928
27,J.Amaya,Chicago White Sox,Detroit Tigers,0,4,0,0,0,0,2,4,.224,.190,.414,-0.061,0.64,0,0.00,-0.8,0,0,0,0,0,0,928
28,P.Meadows,Detroit Tigers,Chicago White Sox,1,3,0,0,0,0,2,3,.305,.432,.737,-0.099,1.25,-0.00,0.07,-0.8,0,0,0,0,0,0,928
29,J.Malloy,Detroit Tigers,Chicago White Sox,1,1,0,0,0,0,1,1,.291,.366,.658,-0.004,0.14,0,0.01,-0.1,0,0,0,0,0,0,928
30,K.Carpenter,Detroit Tigers,Chicago White Sox,1,2,0,0,0,1,1,3,.347,.583,.930,-0.029,0.92,-0.00,0.05,-0.1,0,0,0,0,0,0,928
