,Name,Team,Opponent,Hmcrt_adv,AB,R,H,RBI,BB,SO,PA,OBP,SLG,OPS,WPA,aLI,cWPA,acLI,RE24,H+R+RBI,1B,2B,3B,HR,TB,Date
0,G.Henderson,Baltimore Orioles,St. Louis Cardinals,0,3,0,0,0,0,1,3,.346,.600,.946,-0.104,1.29,0,0.00,-0.9,0,0,0,0,0,0,521
1,A.Rutschman,Baltimore Orioles,St. Louis Cardinals,0,3,0,0,0,0,1,3,.337,.484,.820,-0.092,1.15,0,0.00,-0.8,0,0,0,0,0,0,521
2,R.O'Hearn,Baltimore Orioles,St. Louis Cardinals,0,3,0,0,0,0,0,3,.355,.486,.841,-0.065,0.84,0,0.00,-0.5,0,0,0,0,0,0,521
3,J.Westburg,Baltimore Orioles,St. Louis Cardinals,0,3,0,0,0,0,0,3,.339,.509,.848,-0.062,0.80,0,0.00,-0.5,0,0,0,0,0,0,521
4,C.Cowser,Baltimore Orioles,St. Louis Cardinals,0,1,0,0,0,0,0,2,.368,.508,.876,0.012,0.58,0,0.00,0.2,0,0,0,0,0,0,521
5,R.Mountcastle,Baltimore Orioles,St. Louis Cardinals,0,2,0,0,0,0,2,2,.291,.442,.733,-0.063,1.25,0,0.00,-0.6,0,0,0,0,0,0,521
6,C.Mullins,Baltimore Orioles,St. Louis Cardinals,0,2,0,0,0,0,0,2,.238,.338,.577,-0.047,0.88,0,0.00,-0.4,0,0,0,0,0,0,521
7,K.Stowers,Baltimore Orioles,St. Louis Cardinals,0,2,1,1,0,0,0,2,.286,.429,.714,0.099,0.80,0,0.00,0.9,2,0,1,0,0,2,521
8,J.Mateo,Baltimore Orioles,St. Louis Cardinals,0,2,0,1,1,0,1,2,.293,.453,.747,0.090,1.52,0,0.00,0.5,2,-8,9,0,0,0,521
9,B.Donovan,St Louis Cardinals,St. Louis Cardinals,0,2,0,0,0,0,0,3,.311,.366,.677,-0.030,0.88,0,0.00,-0.2,0,0,0,0,0,0,521
10,L.Nootbaar,St Louis Cardinals,St. Louis Cardinals,0,1,0,0,0,0,1,1,.331,.390,.721,-0.016,0.62,0,0.00,-0.2,0,0,0,0,0,0,521
11,D.Carlson,St Louis Cardinals,St. Louis Cardinals,0,2,0,0,0,0,2,2,.214,.120,.334,-0.048,0.97,0,0.00,-0.5,0,0,0,0,0,0,521
12,P.Goldschmidt,St Louis Cardinals,St. Louis Cardinals,0,3,0,1,0,0,2,3,.294,.306,.599,0.007,0.58,0,0.00,0.2,1,-4,5,0,0,2,521
13,N.Arenado,St Louis Cardinals,St. Louis Cardinals,0,2,0,0,0,0,1,2,.322,.367,.688,-0.078,1.37,0,0.00,-0.9,0,0,0,0,0,0,521
14,A.Burleson,St Louis Cardinals,St. Louis Cardinals,0,2,1,1,0,0,0,2,.336,.472,.808,0.004,0.76,0,0.00,0.0,2,1,0,0,0,1,521
15,I.Herrera,St Louis Cardinals,St. Louis Cardinals,0,2,0,0,0,0,0,2,.345,.380,.725,-0.035,0.92,0,0.00,-0.4,0,0,0,0,0,0,521
16,N.Gorman,St Louis Cardinals,St. Louis Cardinals,0,1,0,1,1,1,0,2,.299,.396,.695,0.118,0.81,0,0.00,1.1,2,-6,7,0,0,2,521
17,M.Winn,St Louis Cardinals,St. Louis Cardinals,0,2,0,1,0,0,0,2,.347,.403,.750,0.003,0.93,0,0.00,0.0,1,-7,8,0,0,2,521
18,M.Siani,St Louis Cardinals,St. Louis Cardinals,0,2,0,0,0,0,0,2,.292,.305,.597,-0.077,1.34,0,0.00,-0.9,0,0,0,0,0,0,521
19,F.Lindor,New York Mets,Cleveland Guardians,0,5,0,2,1,0,0,5,.271,.349,.620,0.102,1.43,0.03,0.80,0.3,3,2,0,0,0,2,521
