Name,Team,Opponent,Hmcrt_adv,AB,R,H,RBI,BB,SO,PA,OBP,SLG,OPS,WPA,aLI,cWPA,acLI,RE24,H+R+RBI,1B,2B,3B,HR,TB,Date
T.Ward,Los Angeles Angels,Chicago Cubs,0,4,0,1,1,0,1,4,0.318,0.422,0.74,0.031,0.64,0.0,0.06,0.4,2,1,0,0,0,1,705
N.Schanuel,Los Angeles Angels,Chicago Cubs,0,3,0,0,0,1,1,4,0.309,0.348,0.657,-0.03,0.66,-0.0,0.06,-0.3,0,0,0,0,0,0,705
K.Pillar,Los Angeles Angels,Chicago Cubs,0,4,0,0,0,0,2,4,0.343,0.487,0.83,-0.077,0.76,-0.01,0.07,-1.0,0,0,0,0,0,0,705
L.O'Hoppe,Los Angeles Angels,Chicago Cubs,0,4,0,0,0,0,0,4,0.326,0.469,0.795,-0.024,0.49,-0.0,0.05,-0.3,0,0,0,0,0,0,705
B.Drury,Los Angeles Angels,Chicago Cubs,0,3,0,0,0,1,1,4,0.241,0.226,0.467,-0.021,0.57,-0.0,0.05,-0.3,0,0,0,0,0,0,705
Z.Neto,Los Angeles Angels,Chicago Cubs,0,3,0,0,0,0,0,3,0.294,0.423,0.717,-0.073,0.94,-0.0,0.09,-0.9,0,0,0,0,0,0,705
M.Sano,Los Angeles Angels,Chicago Cubs,0,3,0,0,0,0,1,3,0.295,0.313,0.608,-0.043,0.56,-0.0,0.06,-0.5,0,0,0,0,0,0,705
K.Hiura,Los Angeles Angels,Chicago Cubs,0,3,1,1,0,0,1,3,0.333,0.333,0.667,-0.004,0.59,0.0,0.06,-0.1,2,1,0,0,0,1,705
J.Adell,Los Angeles Angels,Chicago Cubs,0,3,0,0,0,0,0,3,0.247,0.385,0.632,-0.053,0.8,-0.0,0.08,-0.6,0,0,0,0,0,0,705
N.Hoerner,Chicago Cubs,Los Angeles Angels,1,4,0,1,1,0,0,4,0.325,0.334,0.66,-0.008,0.56,-0.0,0.15,0.2,2,1,0,0,0,1,705
M.Busch,Chicago Cubs,Los Angeles Angels,1,3,2,1,0,1,0,4,0.361,0.45,0.811,0.066,0.58,0.01,0.15,0.9,3,-14,15,0,0,2,705
C.Bellinger,Chicago Cubs,Los Angeles Angels,1,4,1,1,0,0,1,4,0.334,0.422,0.757,-0.03,0.56,-0.01,0.15,-0.8,2,1,0,0,0,1,705
