,Name,Team,Opponent,Hmcrt_adv,AB,R,H,RBI,BB,SO,PA,OBP,SLG,OPS,WPA,aLI,cWPA,acLI,RE24,H+R+RBI,1B,2B,3B,HR,TB,Date
0,G.Torres,New York Yankees,Chicago Cubs,0,4,1,1,0,1,0,5,.325,.363,.688,0.048,0.57,0.04,0.79,-0.1,2,1,0,0,0,1,906
1,J.Soto,New York Yankees,Chicago Cubs,0,4,1,1,0,0,1,4,.422,.589,1.011,0.011,0.93,0.01,1.28,-0.1,2,1,0,0,0,1,906
2,A.Judge,New York Yankees,Chicago Cubs,0,3,1,1,1,1,1,4,.456,.702,1.157,0.165,0.96,0.14,1.32,1.5,3,-32,33,0,0,2,906
3,A.Wells,New York Yankees,Chicago Cubs,0,3,0,1,2,1,2,4,.343,.432,.775,0.015,0.83,0.01,1.15,0.3,3,1,0,0,0,1,906
4,G.Stanton,New York Yankees,Chicago Cubs,0,3,0,0,0,1,0,4,.298,.488,.786,-0.016,0.81,-0.01,1.11,-0.8,0,0,0,0,0,0,906
5,J.Chisholm,New York Yankees,Chicago Cubs,0,4,0,0,0,0,1,4,.330,.451,.781,-0.100,0.99,-0.08,1.36,-1.5,0,0,0,0,0,0,906
6,A.Rizzo,New York Yankees,Chicago Cubs,0,3,0,1,0,1,0,4,.289,.343,.632,-0.001,0.44,0,0.60,0.1,1,1,0,0,0,1,906
7,A.Volpe,New York Yankees,Chicago Cubs,0,4,0,1,0,0,0,4,.302,.383,.685,-0.068,0.47,-0.06,0.65,-1.1,1,1,0,0,0,1,906
8,A.Verdugo,New York Yankees,Chicago Cubs,0,3,0,1,0,1,1,4,.295,.359,.653,-0.010,0.27,-0.01,0.38,-0.0,1,1,0,0,0,1,906
9,I.Happ,Chicago Cubs,New York Yankees,1,4,0,0,0,0,2,4,.344,.461,.805,-0.073,0.71,-0.01,0.18,-0.7,0,0,0,0,0,0,906
10,M.Busch,Chicago Cubs,New York Yankees,1,4,0,0,0,0,1,4,.335,.423,.758,-0.067,0.66,-0.01,0.16,-0.7,0,0,0,0,0,0,906
11,S.Suzuki,Chicago Cubs,New York Yankees,1,3,0,0,0,1,3,4,.352,.482,.834,-0.036,0.57,-0.01,0.14,-0.4,0,0,0,0,0,0,906
