Name,Team,Opponent,Hmcrt_adv,AB,R,H,RBI,BB,SO,PA,OBP,SLG,OPS,WPA,aLI,cWPA,acLI,RE24,H+R+RBI,1B,2B,3B,HR,TB
Maikel Garcia,Kansas City Royals,Baltimore Orioles,0,5,1,2,1,0,2,5,0.296,0.8,1.096,0.031,0.67,0.02,0.61,0.5,4,-1,0,0,3,5
Bobby Witt Jr.,Kansas City Royals,Baltimore Orioles,0,5,1,2,0,0,1,5,0.464,0.88,1.344,0.083,0.82,0.05,0.75,0.6,3,-2,4,0,0,0
Vinnie Pasquantino,Kansas City Royals,Baltimore Orioles,0,3,1,0,0,1,0,4,0.28,0.143,0.423,-0.106,0.87,-0.06,0.8,-1.0,1,0,0,0,0,0
Salvador Perez,Kansas City Royals,Baltimore Orioles,0,4,0,3,2,0,0,4,0.4,0.625,1.025,0.181,0.87,0.1,0.8,1.7,5,3,0,0,0,3
MJ Melendez,Kansas City Royals,Baltimore Orioles,0,4,0,1,0,0,1,4,0.368,0.471,0.839,-0.013,0.72,-0.01,0.66,-0.3,1,-2,3,0,0,2
Hunter Renfroe,Kansas City Royals,Baltimore Orioles,0,4,0,1,0,0,1,4,0.053,0.053,0.105,-0.064,0.9,-0.03,0.83,-0.9,1,1,0,0,0,1
Adam Frazier,Kansas City Royals,Baltimore Orioles,0,4,0,0,0,0,1,4,0.2,0.2,0.4,-0.081,0.76,-0.04,0.7,-1.1,0,0,0,0,0,0
Freddy Fermin,Kansas City Royals,Baltimore Orioles,0,4,0,0,0,0,1,4,0.083,0.083,0.167,-0.047,0.47,-0.03,0.43,-0.6,0,0,0,0,0,0
Kyle Isbel,Kansas City Royals,Baltimore Orioles,0,4,0,1,0,0,0,4,0.278,0.5,0.778,-0.016,0.52,-0.01,0.48,-0.3,1,1,0,0,0,1
Gunnar Henderson,Baltimore Orioles,Kansas City Royals,1,3,0,0,1,0,0,4,0.32,0.476,0.796,-0.13,1.3,-0.07,1.21,-0.6,1,0,0,0,0,0
Adley Rutschman,Baltimore Orioles,Kansas City Royals,1,3,0,2,1,1,0,4,0.44,0.429,0.869,0.12,1.08,0.07,1.0,1.3,3,0,2,0,0,3
Ryan Mountcastle,Baltimore Orioles,Kansas City Royals,1,2,1,0,0,2,0,4,0.385,0.55,0.935,0.163,1.84,0.09,1.71,0.5,1,0,0,0,0,0
Anthony Santander,Baltimore Orioles,Kansas City Royals,1,4,0,1,0,0,2,4,0.2,0.5,0.7,0.045,2.69,0.03,2.5,-0.5,1,1,0,0,0,1
Jordan Westburg,Baltimore Orioles,Kansas City Royals,1,3,0,0,0,0,2,4,0.25,0.421,0.671,-0.08,2.69,-0.04,2.5,-0.9,0,0,0,0,0,0
Austin Hays,Baltimore Orioles,Kansas City Royals,1,3,0,0,0,1,2,4,0.238,0.111,0.349,-0.093,2.3,-0.05,2.13,-0.6,0,0,0,0,0,0
Jorge Mateo,Baltimore Orioles,Kansas City Royals,1,2,0,0,0,0,2,2,0.375,0.429,0.804,-0.04,0.79,-0.02,0.73,-0.3,0,0,0,0,0,0
Colton Cowser,Baltimore Orioles,Kansas City Royals,1,2,1,1,0,0,1,2,0.5,0.75,1.25,-0.216,4.99,-0.12,4.63,-0.4,2,1,0,0,0,1
James McCann,Baltimore Orioles,Kansas City Royals,1,4,1,2,2,0,0,4,0.5,0.625,1.125,0.816,3.72,0.45,3.45,2.4,5,1,1,0,0,3
Ramón Urías,Baltimore Orioles,Kansas City Royals,1,3,0,0,0,0,0,3,0.071,0.0,0.071,-0.117,1.46,-0.07,1.36,-0.8,0,0,0,0,0,0
Luis Rengifo,Los Angeles Angels,Miami Marlins,0,3,1,1,0,0,1,3,0.3,0.5,0.8,0.035,0.58,0.02,0.58,0.3,2,-1,2,0,0,2
Nolan Schanuel,Los Angeles Angels,Miami Marlins,0,1,0,0,1,0,0,3,0.391,0.375,0.766,-0.006,0.1,-0.0,0.1,0.1,1,0,0,0,0,0
Aaron Hicks,Los Angeles Angels,Miami Marlins,0,4,1,1,0,2,1,6,0.286,0.333,0.619,0.002,0.43,0.0,0.42,-1.2,2,1,0,0,0,1
Mike Trout,Los Angeles Angels,Miami Marlins,0,4,1,1,0,1,0,5,0.333,0.682,1.015,0.009,0.69,0.01,0.68,-0.1,2,1,0,0,0,1
Taylor Ward,Los Angeles Angels,Miami Marlins,0,5,2,3,2,0,0,5,0.32,0.76,1.08,0.125,0.8,0.07,0.79,2.1,7,-2,2,0,3,7
Brandon Drury,Los Angeles Angels,Miami Marlins,0,4,1,1,1,1,0,5,0.261,0.19,0.451,0.103,0.77,0.06,0.75,1.5,3,1,0,0,0,1
Miguel Sanó,Los Angeles Angels,Miami Marlins,0,3,2,2,0,2,0,5,0.333,0.385,0.718,0.104,0.48,0.06,0.47,1.2,4,0,2,0,0,4
Logan O'Hoppe,Los Angeles Angels,Miami Marlins,0,4,1,1,1,1,2,5,0.55,0.625,1.175,0.007,0.71,0.0,0.7,0.1,3,1,0,0,0,1
Jo Adell,Los Angeles Angels,Miami Marlins,0,2,1,0,1,1,0,4,0.273,0.444,0.717,-0.01,0.71,-0.01,0.7,0.2,2,0,0,0,0,0
Mickey Moniak,Los Angeles Angels,Miami Marlins,0,1,0,0,0,0,1,1,0.2,0.0,0.2,0.0,0.0,0.0,0.0,-0.3,0,0,0,0,0,0
Zach Neto,Los Angeles Angels,Miami Marlins,0,5,0,2,2,0,2,5,0.273,0.333,0.606,-0.022,0.38,-0.01,0.38,1.3,4,0,2,0,0,3
Luis Arráez,Miami Marlins,Los Angeles Angels,1,3,1,0,0,0,2,4,0.333,0.222,0.556,-0.02,0.56,-0.01,0.36,-0.5,1,0,0,0,0,0
Josh Bell,Miami Marlins,Los Angeles Angels,1,4,0,1,1,0,1,4,0.355,0.269,0.624,0.035,0.72,0.01,0.46,0.4,2,1,0,0,0,1
Jake Burger,Miami Marlins,Los Angeles Angels,1,4,0,1,1,0,1,4,0.323,0.345,0.667,0.06,0.68,0.02,0.44,0.5,2,1,0,0,0,1
Bryan De La Cruz,Miami Marlins,Los Angeles Angels,1,4,0,1,0,0,2,4,0.258,0.387,0.645,-0.066,0.79,-0.03,0.51,-0.8,1,1,0,0,0,1
Jazz Chisholm Jr.,Miami Marlins,Los Angeles Angels,1,3,0,0,0,1,1,4,0.333,0.304,0.638,-0.03,0.6,-0.01,0.39,-0.4,0,0,0,0,0,0
Tim Anderson,Miami Marlins,Los Angeles Angels,1,2,0,0,0,1,1,3,0.286,0.269,0.555,-0.014,0.86,-0.01,0.55,-0.3,0,0,0,0,0,0
Nick Gordon,Miami Marlins,Los Angeles Angels,1,1,0,0,0,0,0,1,0.182,0.545,0.727,0.0,0.0,0.0,0.0,-0.1,0,0,0,0,0,0
Avisaíl García,Miami Marlins,Los Angeles Angels,1,3,1,1,0,0,0,3,0.211,0.389,0.599,-0.021,0.82,-0.01,0.53,-0.2,2,0,1,0,0,2
Vidal Bruján,Miami Marlins,Los Angeles Angels,1,3,0,0,0,0,0,3,0.125,0.0,0.125,-0.043,0.68,-0.02,0.44,-0.6,0,0,0,0,0,0
Nick Fortes,Miami Marlins,Los Angeles Angels,1,3,0,0,0,0,1,3,0.154,0.167,0.321,-0.058,0.53,-0.02,0.34,-0.9,0,0,0,0,0,0
Edouard Julien,Minnesota Twins,Milwaukee Brewers,0,2,0,0,0,0,1,2,0.188,0.2,0.388,-0.049,0.95,-0.03,0.85,-0.5,0,0,0,0,0,0
Manuel Margot,Minnesota Twins,Milwaukee Brewers,0,3,0,0,0,0,1,3,0.3,0.222,0.522,-0.114,1.48,-0.06,1.32,-1.1,0,0,0,0,0,0
Alex Kirilloff,Minnesota Twins,Milwaukee Brewers,0,4,2,4,0,1,0,5,0.45,0.667,1.117,0.212,0.81,0.11,0.73,2.2,6,1,2,1,0,7
Byron Buxton,Minnesota Twins,Milwaukee Brewers,0,5,1,2,1,0,1,5,0.381,0.474,0.855,0.147,1.39,0.08,1.25,0.4,4,-1,3,0,0,3
Max Kepler,Minnesota Twins,Milwaukee Brewers,0,5,0,0,0,0,1,5,0.077,0.077,0.154,-0.215,1.44,-0.11,1.28,-1.9,0,0,0,0,0,0
Carlos Correa,Minnesota Twins,Milwaukee Brewers,0,3,2,1,1,2,1,5,0.476,0.333,0.81,0.192,1.44,0.1,1.29,1.4,4,1,0,0,0,1
Carlos Santana,Minnesota Twins,Milwaukee Brewers,0,3,0,1,1,2,0,5,0.364,0.278,0.641,0.091,1.47,0.05,1.31,0.5,2,1,0,0,0,1
Willi Castro,Minnesota Twins,Milwaukee Brewers,0,5,1,1,0,0,1,5,0.3,0.125,0.425,-0.117,1.71,-0.06,1.53,-1.1,2,1,0,0,0,1
Ryan Jeffers,Minnesota Twins,Milwaukee Brewers,0,4,1,2,4,1,0,5,0.278,0.333,0.611,0.349,1.59,0.19,1.43,3.2,7,1,0,0,1,5
Kyle Farmer,Minnesota Twins,Milwaukee Brewers,0,4,0,0,0,1,0,5,0.231,0.0,0.231,-0.056,1.09,-0.03,0.97,-0.9,0,0,0,0,0,0
Jackson Chourio,Milwaukee Brewers,Minnesota Twins,1,4,1,1,1,0,2,4,0.381,0.55,0.931,0.051,0.71,0.03,0.71,0.4,3,0,0,0,1,4
William Contreras,Milwaukee Brewers,Minnesota Twins,1,4,0,1,0,0,2,4,0.318,0.368,0.687,0.007,1.0,0.0,1.0,0.0,1,1,0,0,0,1
Christian Yelich,Milwaukee Brewers,Minnesota Twins,1,4,0,1,0,0,0,4,0.429,0.684,1.113,-0.009,0.71,-0.01,0.71,-0.1,1,1,0,0,0,1
Willy Adames,Milwaukee Brewers,Minnesota Twins,1,3,0,0,0,1,0,4,0.364,0.316,0.679,-0.016,0.62,-0.01,0.62,-0.2,0,0,0,0,0,0
Rhys Hoskins,Milwaukee Brewers,Minnesota Twins,1,3,1,1,1,1,0,4,0.429,0.647,1.076,-0.033,1.06,-0.02,1.06,-0.5,3,-1,0,0,2,4
Sal Frelick,Milwaukee Brewers,Minnesota Twins,1,3,1,2,0,0,0,3,0.235,0.188,0.423,0.068,0.79,0.04,0.79,0.8,3,2,0,0,0,2
Andruw Monasterio,Milwaukee Brewers,Minnesota Twins,1,1,0,0,0,0,1,1,0.333,0.0,0.333,-0.022,0.96,-0.01,0.96,-0.4,0,0,0,0,0,0
Gary Sánchez,Milwaukee Brewers,Minnesota Twins,1,4,0,0,0,0,1,4,0.0,0.0,0.0,-0.107,0.81,-0.06,0.81,-1.6,0,0,0,0,0,0
Joey Ortiz,Milwaukee Brewers,Minnesota Twins,1,1,0,1,0,1,0,2,0.364,0.222,0.586,0.058,0.79,0.03,0.79,0.6,1,1,0,0,0,1
