,Name,Team,Opponent,Hmcrt_adv,AB,R,H,RBI,BB,SO,PA,OBP,SLG,OPS,WPA,aLI,cWPA,acLI,RE24,H+R+RBI,1B,2B,3B,HR,TB,Date
0,B.Turang,Milwaukee Brewers,Pittsburgh Pirates,0,5,0,1,2,0,1,5,.312,.345,.657,0.057,0.84,0.00,0.03,-0.0,3,1,0,0,0,1,926
1,W.Contreras,Milwaukee Brewers,Pittsburgh Pirates,0,3,0,0,0,0,2,3,.364,.468,.831,-0.045,0.57,-0.00,0.02,-0.6,0,0,0,0,0,0,926
2,G.Sanchez,Milwaukee Brewers,Pittsburgh Pirates,0,2,0,2,0,0,0,2,.306,.384,.690,0.010,0.11,0,0.00,0.8,2,2,0,0,0,2,926
3,G.Mitchell,Milwaukee Brewers,Pittsburgh Pirates,0,3,0,0,0,1,1,4,.340,.468,.808,-0.033,0.54,-0.00,0.02,-0.6,0,0,0,0,0,0,926
4,J.Chourio,Milwaukee Brewers,Pittsburgh Pirates,0,1,0,1,0,0,0,1,.327,.466,.793,0.007,0.22,0,0.01,0.6,1,1,0,0,0,1,926
5,W.Adames,Milwaukee Brewers,Pittsburgh Pirates,0,5,0,1,0,0,0,5,.331,.466,.797,-0.023,0.69,-0.00,0.02,-1.2,1,1,0,0,0,1,926
6,J.Bauers,Milwaukee Brewers,Pittsburgh Pirates,0,2,0,1,0,0,1,2,.300,.364,.664,0.042,1.09,0.00,0.04,0.4,1,1,0,0,0,1,926
7,R.Hoskins,Milwaukee Brewers,Pittsburgh Pirates,0,3,1,1,0,0,1,3,.304,.416,.720,0.021,0.28,0,0.01,-0.1,2,-13,14,0,0,2,926
8,B.Perkins,Milwaukee Brewers,Pittsburgh Pirates,0,4,1,2,1,1,1,5,.319,.337,.655,0.033,0.72,0.00,0.02,0.8,4,-11,13,0,0,3,926
9,S.Frelick,Milwaukee Brewers,Pittsburgh Pirates,0,3,1,1,0,0,0,4,.321,.336,.657,-0.052,0.83,-0.00,0.03,-0.6,2,-21,22,0,0,2,926
10,J.Ortiz,Milwaukee Brewers,Pittsburgh Pirates,0,3,1,3,1,0,0,4,.332,.405,.737,0.121,0.77,0.00,0.02,1.9,5,-28,25,6,0,6,926
11,E.Haase,Milwaukee Brewers,Pittsburgh Pirates,0,4,1,1,1,0,2,4,.318,.540,.858,-0.005,0.85,0,0.03,-0.9,3,0,1,0,0,2,926
12,I.Kiner-Falefa,Pittsburgh Pirates,Milwaukee Brewers,1,4,0,1,0,0,0,4,.312,.384,.696,0.020,0.61,0,0.00,0.1,1,-17,18,0,0,2,926
13,B.Reynolds,Pittsburgh Pirates,Milwaukee Brewers,1,3,0,1,0,1,1,4,.342,.440,.781,0.046,1.06,0,0.00,0.3,1,1,0,0,0,1,926
14,O.Cruz,Pittsburgh Pirates,Milwaukee Brewers,1,4,0,0,0,0,1,4,.325,.456,.781,-0.176,1.49,0,0.00,-1.6,0,0,0,0,0,0,926
15,A.McCutchen,Pittsburgh Pirates,Milwaukee Brewers,1,4,0,0,0,0,0,4,.331,.414,.745,-0.058,0.95,0,0.00,-0.6,0,0,0,0,0,0,926
16,J.Bart,Pittsburgh Pirates,Milwaukee Brewers,1,4,0,0,0,0,1,4,.336,.461,.797,-0.085,0.86,0,0.00,-0.9,0,0,0,0,0,0,926
17,N.Gonzales,Pittsburgh Pirates,Milwaukee Brewers,1,2,1,2,0,2,0,4,.311,.386,.697,0.107,0.68,0,0.00,1.3,3,-17,19,0,0,3,926
18,B.De,Pittsburgh Pirates,Milwaukee Brewers,1,4,1,1,2,0,2,4,.271,.386,.656,-0.042,1.29,0,0.00,0.5,4,-20,0,0,21,4,926
19,J.Triolo,Pittsburgh Pirates,Milwaukee Brewers,1,4,0,0,0,0,1,4,.299,.310,.609,-0.116,1.10,0,0.00,-1.3,0,0,0,0,0,0,926
20,L.Peguero,Pittsburgh Pirates,Milwaukee Brewers,1,3,0,0,0,0,1,3,.167,.333,.500,-0.063,0.83,0,0.00,-0.6,0,0,0,0,0,0,926
21,T.Pham,Kansas City Royals,Washington Nationals,0,5,1,1,1,0,1,5,.309,.370,.679,0.061,1.01,0.06,1.62,0.5,3,1,0,0,0,1,926
22,B.Witt,Kansas City Royals,Washington Nationals,0,4,0,1,1,1,1,5,.389,.591,.981,-0.014,0.90,-0.01,1.43,0.3,2,1,0,0,0,0,926
23,S.Perez,Kansas City Royals,Washington Nationals,0,5,0,2,1,0,0,5,.333,.459,.792,0.017,1.01,0.02,1.61,1.4,3,2,0,0,0,2,926
24,Y.Gurriel,Kansas City Royals,Washington Nationals,0,5,0,1,1,0,0,5,.362,.333,.695,-0.028,0.92,-0.03,1.48,0.0,2,1,0,0,0,1,926
25,F.Fermin,Kansas City Royals,Washington Nationals,0,4,0,0,0,0,1,4,.319,.366,.685,-0.110,1.01,-0.10,1.61,-1.3,0,0,0,0,0,0,926
26,H.Renfroe,Kansas City Royals,Washington Nationals,0,3,1,1,1,0,0,3,.300,.389,.689,0.043,0.94,0.04,1.50,0.0,3,-13,0,0,14,4,926
27,M.Melendez,Kansas City Royals,Washington Nationals,0,0,0,0,0,1,0,1,.276,.407,.683,0.082,2.30,0.08,3.68,0.4,0,0,0,0,0,0,926
28,M.Garcia,Kansas City Royals,Washington Nationals,0,2,0,0,0,0,0,2,.282,.336,.617,-0.052,1.02,-0.05,1.64,-0.9,0,0,0,0,0,0,926
29,M.Massey,Kansas City Royals,Washington Nationals,0,1,1,0,0,1,0,2,.290,.435,.725,0.045,1.66,0.04,2.66,0.5,1,0,0,0,0,0,926
30,P.DeJong,Kansas City Royals,Washington Nationals,0,2,1,0,0,1,0,3,.278,.430,.708,-0.022,1.11,-0.02,1.78,-0.1,1,0,0,0,0,0,926
31,K.Isbel,Kansas City Royals,Washington Nationals,0,0,0,0,0,0,0,1,.288,.371,.659,0.020,3.75,0.02,6.01,-0.1,0,0,0,0,0,0,926
32,G.Hampson,Kansas City Royals,Washington Nationals,0,3,1,1,0,0,1,3,.274,.303,.576,0.004,1.32,0.00,2.12,0.2,2,1,0,0,0,1,926
33,A.Frazier,Kansas City Royals,Washington Nationals,0,1,1,1,2,0,0,1,.286,.298,.584,0.217,2.23,0.21,3.56,1.3,4,1,0,0,0,1,926
34,D.Crews,Washington Nationals,Kansas City Royals,1,4,1,0,0,0,0,4,.244,.303,.546,-0.123,1.38,0,0.00,-0.7,1,0,0,0,0,0,926
