Name,Team,Opponent,Hmcrt_adv,AB,R,H,RBI,BB,SO,PA,OBP,SLG,OPS,WPA,aLI,cWPA,acLI,RE24,H+R+RBI,1B,2B,3B,HR,TB,Date
E.Tovar,Colorado Rockies,Miami Marlins,0,5,0,0,0,0,2,5,0.308,0.39,0.699,-0.404,2.58,-0.05,0.52,-2.7,0,0,0,0,0,0,502
B.Doyle,Colorado Rockies,Miami Marlins,0,4,0,0,0,0,2,5,0.347,0.464,0.811,-0.155,1.85,-0.02,0.37,-1.2,0,0,0,0,0,0,502
R.McMahon,Colorado Rockies,Miami Marlins,0,3,0,0,0,2,3,5,0.407,0.491,0.899,-0.181,1.81,-0.02,0.36,-0.9,0,0,0,0,0,0,502
E.Montero,Colorado Rockies,Miami Marlins,0,4,1,0,0,1,2,5,0.269,0.298,0.567,-0.242,2.26,-0.03,0.46,-0.9,1,0,0,0,0,0,502
B.Rodgers,Colorado Rockies,Miami Marlins,0,4,1,2,0,0,1,4,0.283,0.344,0.627,0.104,1.33,0.01,0.27,0.7,3,2,0,0,0,2,502
J.Beck,Colorado Rockies,Miami Marlins,0,4,0,1,0,0,3,4,0.273,0.273,0.545,0.006,1.89,0.0,0.38,-0.3,1,1,0,0,0,1,502
J.Cave,Colorado Rockies,Miami Marlins,0,3,1,0,0,1,2,4,0.294,0.333,0.627,-0.008,2.03,-0.0,0.41,-0.4,1,0,0,0,0,0,502
J.Stallings,Colorado Rockies,Miami Marlins,0,4,1,2,3,0,1,4,0.429,0.517,0.946,0.111,2.11,0.01,0.42,2.3,6,1,0,0,1,5,502
H.Goodman,Colorado Rockies,Miami Marlins,0,1,0,0,0,1,0,3,0.286,0.364,0.649,0.157,1.63,0.02,0.33,1.1,0,0,0,0,0,0,502
C.Blackmon,Colorado Rockies,Miami Marlins,0,0,0,0,0,1,0,1,0.28,0.337,0.617,0.025,5.03,0.0,1.01,0.2,0,0,0,0,0,0,502
L.Arraez,Miami Marlins,Colorado Rockies,1,5,2,2,0,0,0,5,0.347,0.372,0.719,-0.085,1.4,-0.01,0.22,-0.3,4,-6,8,0,0,3,502
B.De,Miami Marlins,Colorado Rockies,1,4,1,1,0,1,2,5,0.301,0.433,0.734,-0.125,1.64,-0.01,0.26,-0.4,2,1,0,0,0,1,502
J.Chisholm,Miami Marlins,Colorado Rockies,1,5,0,1,1,0,0,5,0.316,0.373,0.689,-0.082,1.8,-0.01,0.28,0.2,2,1,0,0,0,0,502
