,Name,Team,Opponent,Hmcrt_adv,AB,R,H,RBI,BB,SO,PA,OBP,SLG,OPS,WPA,aLI,cWPA,acLI,RE24,H+R+RBI,1B,2B,3B,HR,TB,Date
0,M.Yastrzemski,San Francisco Giants,Baltimore Orioles,0,3,0,0,0,1,1,4,.310,.443,.753,-0.108,1.44,0,0.00,-0.6,0,0,0,0,0,0,919
1,M.Canha,San Francisco Giants,Baltimore Orioles,0,1,0,0,0,0,0,1,.341,.341,.682,-0.211,4.61,0,0.00,-0.9,0,0,0,0,0,0,919
2,L.Wade,San Francisco Giants,Baltimore Orioles,0,4,0,0,0,0,1,4,.386,.371,.757,-0.159,1.58,0,0.00,-1.0,0,0,0,0,0,0,919
3,J.Encarnacion,San Francisco Giants,Baltimore Orioles,0,4,1,2,0,0,2,4,.296,.435,.731,0.023,1.16,0,0.00,0.3,3,2,0,0,0,2,919
4,M.Conforto,San Francisco Giants,Baltimore Orioles,0,4,1,2,2,0,0,4,.308,.441,.749,0.155,1.56,0,0.00,1.6,5,-16,0,0,18,5,919
5,T.Fitzgerald,San Francisco Giants,Baltimore Orioles,0,4,0,2,0,0,1,4,.345,.516,.861,0.050,1.14,0,0.00,0.5,2,2,0,0,0,0,919
6,P.Bailey,San Francisco Giants,Baltimore Orioles,0,3,0,0,0,1,0,4,.296,.337,.633,-0.075,2.04,0,0.00,-1.3,0,0,0,0,0,0,919
7,G.McCray,San Francisco Giants,Baltimore Orioles,0,2,0,0,0,0,2,2,.263,.436,.699,-0.046,0.88,0,0.00,-0.4,0,0,0,0,0,0,919
8,H.Ramos,San Francisco Giants,Baltimore Orioles,0,0,0,0,0,2,0,2,.322,.466,.787,0.237,3.19,0,0.00,1.0,0,0,0,0,0,0,919
9,C.Schmitt,San Francisco Giants,Baltimore Orioles,0,4,0,2,1,0,0,4,.247,.430,.678,0.317,2.69,0,0.00,1.2,3,2,0,0,0,2,919
10,D.Walton,San Francisco Giants,Baltimore Orioles,0,4,0,0,0,0,2,4,.211,.294,.505,-0.259,2.29,0,0.00,-1.4,0,0,0,0,0,0,919
11,G.Henderson,Baltimore Orioles,San Francisco Giants,1,5,1,2,0,0,1,5,.365,.537,.902,0.034,1.19,0.01,0.74,0.0,3,2,0,0,0,2,919
12,C.Mullins,Baltimore Orioles,San Francisco Giants,1,5,0,1,0,0,2,5,.300,.400,.701,-0.114,1.34,-0.04,0.84,-0.6,1,1,0,0,0,1,919
13,A.Santander,Baltimore Orioles,San Francisco Giants,1,3,2,1,2,2,2,5,.310,.511,.820,0.453,1.32,0.17,0.83,2.0,5,-41,0,0,42,4,919
14,C.Cowser,Baltimore Orioles,San Francisco Giants,1,4,1,1,0,0,2,4,.324,.435,.759,-0.029,1.54,-0.01,0.96,-0.7,2,1,0,0,0,1,919
15,A.Rutschman,Baltimore Orioles,San Francisco Giants,1,4,1,1,1,0,1,4,.321,.397,.719,0.145,1.18,0.05,0.74,0.9,3,-18,19,0,0,2,919
