Name,Team,Opponent,Hmcrt_adv,AB,R,H,RBI,BB,SO,PA,OBP,SLG,OPS,WPA,aLI,cWPA,acLI,RE24,H+R+RBI,1B,2B,3B,HR,TB,Date
J.Westburg,Baltimore Orioles,Toronto Blue Jays,0,3,1,0,0,1,1,4,0.333,0.481,0.815,-0.052,0.56,-0.03,0.58,-0.5,1,0,0,0,0,0,606
A.Rutschman,Baltimore Orioles,Toronto Blue Jays,0,4,2,2,3,0,1,4,0.345,0.49,0.835,0.041,0.4,0.03,0.41,2.6,7,-10,0,0,12,8,606
R.Mountcastle,Baltimore Orioles,Toronto Blue Jays,0,4,0,1,0,0,0,4,0.318,0.498,0.816,-0.029,0.51,-0.02,0.53,-0.3,1,1,0,0,0,1,606
G.Henderson,Baltimore Orioles,Toronto Blue Jays,0,3,0,1,0,1,2,4,0.37,0.581,0.951,0.035,0.6,0.02,0.62,0.3,1,-8,9,0,0,2,606
A.Santander,Baltimore Orioles,Toronto Blue Jays,0,4,0,0,0,0,0,4,0.298,0.455,0.754,-0.102,0.95,-0.06,0.98,-1.2,0,0,0,0,0,0,606
A.Hays,Baltimore Orioles,Toronto Blue Jays,0,3,1,0,0,0,3,4,0.265,0.326,0.591,-0.04,0.52,-0.03,0.54,-0.5,1,0,0,0,0,0,606
C.Norby,Baltimore Orioles,Toronto Blue Jays,0,3,0,1,0,0,0,3,0.2,0.5,0.7,0.008,0.45,0.01,0.46,-0.1,1,1,0,0,0,1,606
R.O'Hearn,Baltimore Orioles,Toronto Blue Jays,0,1,1,1,2,0,0,1,0.343,0.471,0.814,0.024,0.37,0.01,0.38,1.9,4,-7,0,0,8,4,606
J.McCann,Baltimore Orioles,Toronto Blue Jays,0,3,0,0,0,0,0,3,0.202,0.283,0.485,-0.068,0.63,-0.04,0.65,-0.9,0,0,0,0,0,0,606
K.Stowers,Baltimore Orioles,Toronto Blue Jays,0,1,0,0,0,0,1,1,0.31,0.464,0.775,-0.035,1.37,-0.02,1.42,-0.1,0,0,0,0,0,0,606
C.Cowser,Baltimore Orioles,Toronto Blue Jays,0,3,0,0,0,0,2,3,0.325,0.424,0.748,-0.034,0.44,-0.02,0.46,-0.5,0,0,0,0,0,0,606
D.Schneider,Toronto Blue Jays,Baltimore Orioles,1,4,0,0,0,0,3,4,0.337,0.44,0.777,-0.06,0.61,-0.02,0.32,-0.9,0,0,0,0,0,0,606
D.Jansen,Toronto Blue Jays,Baltimore Orioles,1,3,1,0,0,1,0,4,0.348,0.483,0.831,-0.01,0.54,-0.0,0.28,-0.4,1,0,0,0,0,0,606
V.Guerrero,Toronto Blue Jays,Baltimore Orioles,1,3,1,2,3,1,0,4,0.388,0.426,0.814,0.279,0.6,0.09,0.31,3.0,6,-5,0,0,7,0,606
B.Bichette,Toronto Blue Jays,Baltimore Orioles,1,4,0,0,0,0,0,4,0.282,0.342,0.624,-0.035,0.35,-0.01,0.18,-0.8,0,0,0,0,0,0,606
G.Springer,Toronto Blue Jays,Baltimore Orioles,1,4,0,0,0,0,0,4,0.297,0.311,0.608,-0.034,0.34,-0.01,0.18,-0.8,0,0,0,0,0,0,606
J.Turner,Toronto Blue Jays,Baltimore Orioles,1,3,1,2,0,1,0,4,0.316,0.359,0.675,0.017,0.24,0.01,0.13,0.6,3,2,0,0,0,2,606
D.Varsho,Toronto Blue Jays,Baltimore Orioles,1,3,2,1,0,1,1,4,0.3,0.459,0.759,-0.006,0.38,-0.0,0.2,0.0,3,-11,12,0,0,2,606
I.Kiner-Falefa,Toronto Blue Jays,Baltimore Orioles,1,4,0,1,1,0,0,4,0.311,0.388,0.699,0.013,0.56,0.0,0.29,0.1,2,1,0,0,0,1,606
E.Clement,Toronto Blue Jays,Baltimore Orioles,1,3,1,1,2,1,0,4,0.259,0.346,0.605,0.084,0.6,0.03,0.31,1.5,4,1,0,0,0,1,606
M.Garcia,Kansas City Royals,Cleveland Guardians,0,5,1,1,0,0,0,5,0.314,0.398,0.713,-0.066,1.37,-0.06,1.89,-0.1,2,-12,13,0,0,2,606
B.Witt,Kansas City Royals,Cleveland Guardians,0,4,0,1,0,1,2,5,0.371,0.56,0.931,-0.044,1.05,-0.04,1.45,-0.2,1,1,0,0,0,0,606
V.Pasquantino,Kansas City Royals,Cleveland Guardians,0,5,0,2,1,0,1,5,0.313,0.433,0.746,0.049,1.25,0.04,1.72,0.1,3,-15,17,0,0,4,606
S.Perez,Kansas City Royals,Cleveland Guardians,0,4,0,0,0,0,2,5,0.379,0.511,0.89,-0.104,1.41,-0.09,1.95,-1.1,0,0,0,0,0,0,606
F.Fermin,Kansas City Royals,Cleveland Guardians,0,4,1,1,0,1,2,5,0.345,0.382,0.728,-0.151,1.56,-0.12,2.15,-1.0,2,1,0,0,0,1,606
M.Melendez,Kansas City Royals,Cleveland Guardians,0,3,1,0,0,1,1,4,0.227,0.322,0.549,-0.002,1.43,-0.0,1.97,0.0,1,0,0,0,0,0,606
N.Loftin,Kansas City Royals,Cleveland Guardians,0,1,0,0,0,0,0,1,0.328,0.264,0.592,-0.03,1.18,-0.03,1.63,-0.4,0,0,0,0,0,0,606
H.Renfroe,Kansas City Royals,Cleveland Guardians,0,3,0,2,1,0,0,4,0.267,0.34,0.607,0.23,1.39,0.19,1.92,1.7,3,-7,9,0,0,3,606
G.Hampson,Kansas City Royals,Cleveland Guardians,0,2,0,1,0,0,0,2,0.366,0.382,0.747,0.029,1.14,0.02,1.57,0.2,1,-4,5,0,0,2,606
A.Frazier,Kansas City Royals,Cleveland Guardians,0,2,1,1,0,0,0,2,0.31,0.274,0.584,-0.037,1.73,-0.03,2.38,-0.4,2,-4,5,0,0,2,606
K.Isbel,Kansas City Royals,Cleveland Guardians,0,4,0,1,2,0,1,4,0.258,0.327,0.584,0.275,2.32,0.23,3.2,0.8,3,1,0,0,0,1,606
S.Kwan,Cleveland Guardians,Kansas City Royals,1,4,2,2,0,0,1,5,0.42,0.5,0.92,-0.105,1.7,-0.08,2.21,-0.3,4,2,0,0,0,2,606
A.Gimenez,Cleveland Guardians,Kansas City Royals,1,5,0,1,0,0,0,5,0.328,0.372,0.7,-0.072,1.65,-0.06,2.14,-0.1,1,1,0,0,0,1,606
J.Ramirez,Cleveland Guardians,Kansas City Royals,1,4,1,2,2,1,0,5,0.335,0.552,0.887,0.22,1.6,0.17,2.08,2.5,5,-15,0,0,17,5,606
J.Naylor,Cleveland Guardians,Kansas City Royals,1,4,0,0,1,0,1,4,0.31,0.491,0.801,-0.061,1.37,-0.05,1.78,-0.7,1,0,0,0,0,0,606
K.Manzardo,Cleveland Guardians,Kansas City Royals,1,3,0,1,0,1,0,4,0.26,0.348,0.608,-0.041,0.86,-0.03,1.12,-0.6,1,-8,9,0,0,2,606
W.Brennan,Cleveland Guardians,Kansas City Royals,1,4,0,0,0,0,1,4,0.296,0.372,0.668,-0.129,1.2,-0.1,1.55,-1.2,0,0,0,0,0,0,606
D.Schneemann,Cleveland Guardians,Kansas City Royals,1,3,0,1,0,1,2,4,0.5,0.5,1.0,0.099,1.19,0.08,1.54,0.3,1,1,0,0,0,1,606
B.Naylor,Cleveland Guardians,Kansas City Royals,1,2,0,0,0,0,1,2,0.247,0.259,0.506,-0.055,1.18,-0.04,1.52,-0.6,0,0,0,0,0,0,606
T.Freeman,Cleveland Guardians,Kansas City Royals,1,1,0,0,0,1,1,2,0.31,0.356,0.667,-0.039,2.66,-0.03,3.44,0.0,0,0,0,0,0,0,606
B.Rocchio,Cleveland Guardians,Kansas City Royals,1,2,0,2,0,0,0,2,0.314,0.267,0.581,0.023,0.97,0.02,1.26,0.2,2,2,0,0,0,2,606
D.Fry,Cleveland Guardians,Kansas City Royals,1,2,0,0,0,0,0,2,0.473,0.602,1.074,-0.192,2.72,-0.15,3.53,-0.8,0,0,0,0,0,0,606
J.Crawford,Seattle Mariners,Oakland Athletics,0,4,0,1,0,1,1,5,0.3,0.36,0.66,-0.077,0.94,-0.05,0.98,-0.7,1,1,0,0,0,0,606
D.Moore,Seattle Mariners,Oakland Athletics,0,3,0,0,1,0,2,4,0.328,0.418,0.746,-0.057,1.38,-0.04,1.45,-0.9,1,0,0,0,0,0,606
J.Rodriguez,Seattle Mariners,Oakland Athletics,0,4,0,0,0,0,3,4,0.312,0.345,0.658,-0.077,0.76,-0.05,0.8,-0.9,0,0,0,0,0,0,606
T.France,Seattle Mariners,Oakland Athletics,0,3,0,0,0,1,2,4,0.319,0.389,0.708,-0.048,0.69,-0.03,0.72,-0.4,0,0,0,0,0,0,606
C.Raleigh,Seattle Mariners,Oakland Athletics,0,2,1,0,0,1,1,4,0.284,0.401,0.685,0.044,0.69,0.03,0.72,0.2,1,0,0,0,0,0,606
M.Haniger,Seattle Mariners,Oakland Athletics,0,4,0,0,0,0,1,4,0.277,0.34,0.617,-0.105,0.8,-0.07,0.84,-1.1,0,0,0,0,0,0,606
M.Garver,Seattle Mariners,Oakland Athletics,0,2,2,2,2,2,0,4,0.285,0.327,0.612,0.207,0.75,0.13,0.79,2.6,6,-4,0,0,6,5,606
V.Robles,Seattle Mariners,Oakland Athletics,0,1,0,0,0,0,0,2,0.286,0.111,0.397,0.047,1.16,0.03,1.21,0.4,0,0,0,0,0,0,606
L.Raley,Seattle Mariners,Oakland Athletics,0,2,0,0,0,0,2,2,0.312,0.438,0.749,-0.023,0.49,-0.01,0.52,-0.6,0,0,0,0,0,0,606
R.Bliss,Seattle Mariners,Oakland Athletics,0,2,0,1,0,0,0,2,0.353,0.154,0.507,0.069,1.42,0.04,1.48,0.6,1,1,0,0,0,1,606
J.Rojas,Seattle Mariners,Oakland Athletics,0,2,0,0,0,0,0,2,0.344,0.41,0.754,-0.011,0.4,-0.01,0.41,-0.3,0,0,0,0,0,0,606
A.Toro,Oakland Athletics,Seattle Mariners,1,4,0,1,0,0,2,4,0.316,0.405,0.721,-0.01,0.94,-0.0,0.21,0.0,1,-13,14,0,0,2,606
M.Andujar,Oakland Athletics,Seattle Mariners,1,4,0,0,0,0,0,4,0.304,0.489,0.793,-0.057,0.77,-0.01,0.18,-0.5,0,0,0,0,0,0,606
J.Bleday,Oakland Athletics,Seattle Mariners,1,4,0,0,0,0,0,4,0.329,0.46,0.789,-0.105,0.82,-0.01,0.19,-1.0,0,0,0,0,0,0,606
B.Rooker,Oakland Athletics,Seattle Mariners,1,3,0,0,0,0,2,3,0.357,0.541,0.898,-0.091,1.21,-0.01,0.28,-0.7,0,0,0,0,0,0,606
S.Brown,Oakland Athletics,Seattle Mariners,1,3,0,0,0,0,0,3,0.25,0.314,0.564,0.03,0.79,0.0,0.18,0.4,0,0,0,0,0,0,606
K.McCann,Oakland Athletics,Seattle Mariners,1,3,0,0,0,0,1,3,0.373,0.47,0.843,-0.089,1.04,-0.01,0.24,-0.7,0,0,0,0,0,0,606
T.Soderstrom,Oakland Athletics,Seattle Mariners,1,3,0,1,0,0,1,3,0.31,0.306,0.616,-0.036,1.26,-0.01,0.29,-0.3,1,1,0,0,0,1,606
Z.Gelof,Oakland Athletics,Seattle Mariners,1,3,0,0,0,0,2,3,0.25,0.325,0.575,-0.103,1.39,-0.01,0.31,-0.8,0,0,0,0,0,0,606
M.Schuemann,Oakland Athletics,Seattle Mariners,1,3,0,0,0,0,0,3,0.324,0.369,0.692,-0.071,0.92,-0.01,0.21,-0.5,0,0,0,0,0,0,606
M.Betts,Los Angeles Dodgers,Pittsburgh Pirates,0,4,2,2,3,2,0,6,0.411,0.512,0.923,0.134,0.68,0.1,0.83,2.6,7,-8,0,0,10,5,606
S.Ohtani,Los Angeles Dodgers,Pittsburgh Pirates,0,6,1,1,0,0,3,6,0.385,0.588,0.973,-0.038,0.7,-0.03,0.85,-1.0,2,1,0,0,0,1,606
F.Freeman,Los Angeles Dodgers,Pittsburgh Pirates,0,4,1,1,3,0,2,4,0.395,0.485,0.88,0.112,1.08,0.08,1.31,1.3,5,-7,0,0,8,4,606
C.Taylor,Los Angeles Dodgers,Pittsburgh Pirates,0,2,0,0,0,0,2,2,0.198,0.107,0.305,-0.004,0.07,-0.0,0.09,-0.6,0,0,0,0,0,0,606
T.Hernandez,Los Angeles Dodgers,Pittsburgh Pirates,0,5,3,3,1,0,0,5,0.321,0.471,0.792,0.168,0.47,0.12,0.57,1.5,7,-22,12,0,13,7,606
A.Pages,Los Angeles Dodgers,Pittsburgh Pirates,0,2,1,1,0,2,1,5,0.307,0.42,0.727,0.031,0.44,0.02,0.54,1.1,2,1,0,0,0,1,606
M.Rojas,Los Angeles Dodgers,Pittsburgh Pirates,0,4,0,3,2,0,0,4,0.343,0.447,0.79,0.146,0.7,0.11,0.84,3.1,5,-6,9,0,0,4,606
G.Lux,Los Angeles Dodgers,Pittsburgh Pirates,0,1,0,0,0,0,0,1,0.264,0.29,0.554,0.0,0.02,0.0,0.02,-0.3,0,0,0,0,0,0,606
E.Hernandez,Los Angeles Dodgers,Pittsburgh Pirates,0,4,1,1,1,1,1,5,0.261,0.285,0.545,0.105,0.67,0.08,0.81,1.2,3,-1,2,0,0,2,606
M.Vargas,Los Angeles Dodgers,Pittsburgh Pirates,0,4,1,1,0,1,0,5,0.318,0.55,0.868,0.018,0.59,0.01,0.72,-2.1,2,-2,3,0,0,2,606
A.Barnes,Los Angeles Dodgers,Pittsburgh Pirates,0,3,1,1,0,1,2,5,0.322,0.235,0.557,-0.012,0.62,-0.01,0.75,-0.3,2,1,0,0,0,1,606
A.McCutchen,Pittsburgh Pirates,Los Angeles Dodgers,1,5,1,1,0,0,1,5,0.332,0.378,0.71,-0.132,1.13,-0.07,0.95,-0.9,2,1,0,0,0,1,606
B.Reynolds,Pittsburgh Pirates,Los Angeles Dodgers,1,5,1,1,0,0,2,5,0.325,0.406,0.731,-0.063,0.56,-0.03,0.47,-0.3,2,1,0,0,0,1,606
K.Hayes,Pittsburgh Pirates,Los Angeles Dodgers,1,5,1,3,0,0,2,5,0.337,0.344,0.681,0.028,0.54,0.01,0.45,-0.1,4,3,0,0,0,3,606
O.Cruz,Pittsburgh Pirates,Los Angeles Dodgers,1,5,2,2,3,0,2,5,0.297,0.427,0.724,0.051,0.78,0.03,0.66,2.6,7,-6,0,0,8,5,606
E.Olivares,Pittsburgh Pirates,Los Angeles Dodgers,1,4,1,1,1,0,1,5,0.3,0.392,0.692,0.008,0.64,0.0,0.53,-0.0,3,1,0,0,0,1,606
N.Gonzales,Pittsburgh Pirates,Los Angeles Dodgers,1,5,1,2,2,0,0,5,0.357,0.528,0.885,0.168,0.64,0.08,0.54,1.3,5,-2,0,0,4,5,606
R.Tellez,Pittsburgh Pirates,Los Angeles Dodgers,1,4,0,2,0,0,1,4,0.261,0.257,0.519,0.009,0.42,0.0,0.35,-0.1,2,-3,5,0,0,3,606
C.Joe,Pittsburgh Pirates,Los Angeles Dodgers,1,1,0,0,0,0,1,1,0.348,0.434,0.782,-0.011,0.43,-0.01,0.36,-0.2,0,0,0,0,0,0,606
H.Davis,Pittsburgh Pirates,Los Angeles Dodgers,1,4,0,0,0,1,3,5,0.278,0.213,0.491,0.011,0.54,0.01,0.45,-0.3,0,0,0,0,0,0,606
