Name,Team,Opponent,Hmcrt_adv,AB,R,H,RBI,BB,SO,PA,OBP,SLG,OPS,WPA,aLI,cWPA,acLI,RE24,H+R+RBI,1B,2B,3B,HR,TB,Date
I.Happ,Chicago Cubs,Pittsburgh Pirates,0,4,2,3,2,2,0,6,0.346,0.465,0.812,0.239,0.73,0.04,0.2,3.1,7,-29,32,0,0,4,828
M.Busch,Chicago Cubs,Pittsburgh Pirates,0,4,0,0,0,0,2,4,0.337,0.435,0.772,-0.07,0.96,-0.01,0.26,-1.1,0,0,0,0,0,0,828
M.Tauchman,Chicago Cubs,Pittsburgh Pirates,0,2,0,1,1,0,0,2,0.35,0.364,0.714,-0.042,1.3,-0.01,0.34,0.5,2,1,0,0,0,1,828
S.Suzuki,Chicago Cubs,Pittsburgh Pirates,0,5,0,2,1,1,2,6,0.35,0.493,0.843,0.009,0.85,0.0,0.23,0.3,3,2,0,0,0,2,828
C.Bellinger,Chicago Cubs,Pittsburgh Pirates,0,6,1,1,1,0,0,6,0.326,0.419,0.745,-0.006,0.92,-0.0,0.24,-0.7,3,1,0,0,0,1,828
I.Paredes,Chicago Cubs,Pittsburgh Pirates,0,4,0,1,0,1,1,5,0.335,0.406,0.741,0.014,0.94,0.0,0.25,-0.4,1,1,0,0,0,1,828
N.Hoerner,Chicago Cubs,Pittsburgh Pirates,0,4,1,1,0,1,1,5,0.326,0.349,0.674,0.144,1.24,0.02,0.33,0.5,2,1,0,0,0,1,828
D.Swanson,Chicago Cubs,Pittsburgh Pirates,0,4,2,0,1,1,2,5,0.302,0.365,0.667,-0.117,2.4,-0.02,0.64,-0.4,3,0,0,0,0,0,828
P.Crow-Armstrong,Chicago Cubs,Pittsburgh Pirates,0,4,4,4,1,1,0,5,0.286,0.389,0.675,0.199,1.81,0.03,0.48,2.6,9,4,0,0,0,4,828
C.Bethancourt,Chicago Cubs,Pittsburgh Pirates,0,5,3,3,7,0,0,5,0.261,0.422,0.683,0.677,2.24,0.11,0.59,5.1,13,-9,7,0,5,7,828
I.Kiner-Falefa,Pittsburgh Pirates,Chicago Cubs,1,5,0,0,1,1,2,6,0.317,0.396,0.713,-0.02,0.66,0.0,0.01,-0.4,1,0,0,0,0,0,828
B.Reynolds,Pittsburgh Pirates,Chicago Cubs,1,5,3,3,2,1,1,6,0.347,0.462,0.809,0.175,0.56,0.0,0.01,1.8,8,-18,0,0,21,6,828
O.Cruz,Pittsburgh Pirates,Chicago Cubs,1,5,2,2,0,1,1,6,0.33,0.475,0.804,0.005,0.47,0.0,0.0,1.2,4,-29,31,0,0,3,828
R.Tellez,Pittsburgh Pirates,Chicago Cubs,1,5,1,3,2,0,1,5,0.301,0.402,0.702,0.149,0.71,0.0,0.01,0.1,6,3,0,0,0,3,828
M.A.,Pittsburgh Pirates,Chicago Cubs,1,1,0,0,0,0,1,1,0.254,0.28,0.533,-0.006,0.21,0.0,0.0,-0.2,0,0,0,0,0,0,828
C.Joe,Pittsburgh Pirates,Chicago Cubs,1,4,1,3,2,2,1,6,0.322,0.387,0.709,0.101,0.37,0.0,0.0,2.3,6,-6,0,0,9,6,828
B.McKinney,Pittsburgh Pirates,Chicago Cubs,1,4,1,1,1,1,3,6,0.364,0.316,0.679,0.047,0.56,0.0,0.0,0.9,3,0,1,0,0,2,828
Y.Grandal,Pittsburgh Pirates,Chicago Cubs,1,2,1,1,0,2,1,4,0.268,0.377,0.645,0.072,0.63,0.0,0.01,1.2,2,1,0,0,0,1,828
H.Davis,Pittsburgh Pirates,Chicago Cubs,1,1,0,0,0,0,0,1,0.262,0.231,0.492,-0.004,0.15,0.0,0.0,-0.8,0,0,0,0,0,0,828
J.Triolo,Pittsburgh Pirates,Chicago Cubs,1,5,1,2,0,0,1,5,0.29,0.298,0.589,0.07,0.74,0.0,0.0,-0.2,3,-7,9,0,0,3,828
A.Williams,Pittsburgh Pirates,Chicago Cubs,1,4,0,1,1,0,2,5,0.244,0.293,0.537,-0.042,0.63,0.0,0.0,-0.6,2,1,0,0,0,1,828
M.Massey,Kansas City Royals,Cleveland Guardians,0,3,1,1,1,0,0,3,0.297,0.472,0.768,0.059,0.81,0.09,2.02,0.5,3,-10,0,0,11,4,828
M.Garcia,Kansas City Royals,Cleveland Guardians,0,2,0,1,1,0,1,2,0.287,0.347,0.635,0.042,1.44,0.06,3.58,0.7,2,1,0,0,0,1,828
B.Witt,Kansas City Royals,Cleveland Guardians,0,5,1,2,1,0,1,5,0.399,0.618,1.017,0.102,0.74,0.15,1.84,0.4,4,-26,0,0,28,0,828
V.Pasquantino,Kansas City Royals,Cleveland Guardians,0,5,1,4,1,0,0,5,0.317,0.449,0.766,0.089,0.77,0.13,1.92,1.6,6,-15,0,0,19,7,828
