Name,Team,Opponent,Hmcrt_adv,AB,R,H,RBI,BB,SO,PA,OBP,SLG,OPS,WPA,aLI,cWPA,acLI,RE24,H+R+RBI,1B,2B,3B,HR,TB
Sal Frelick,Milwaukee Brewers,New York Mets,0,5,1,1,0,0,1,5,0.2,0.2,0.4,-0.024,0.45,-0.01,0.45,-0.5,2,1,0,0,0,1
William Contreras,Milwaukee Brewers,New York Mets,0,5,1,3,0,0,1,5,0.333,0.375,0.708,0.014,0.51,0.01,0.51,0.4,4,3,0,0,0,3
Christian Yelich,Milwaukee Brewers,New York Mets,0,5,1,2,1,0,0,5,0.556,0.889,1.444,-0.001,0.66,-0.0,0.65,0.3,4,2,0,0,0,2
Willy Adames,Milwaukee Brewers,New York Mets,0,5,2,2,1,0,1,5,0.222,0.333,0.556,0.159,0.62,0.1,0.61,1.7,5,1,1,0,0,3
Jake Bauers,Milwaukee Brewers,New York Mets,0,5,0,0,0,0,4,5,0.143,0.286,0.429,-0.118,0.67,-0.07,0.67,-2.2,0,0,0,0,0,0
Rhys Hoskins,Milwaukee Brewers,New York Mets,0,4,2,3,4,1,0,5,0.556,0.857,1.413,0.318,0.77,0.19,0.77,4.1,9,2,0,0,1,6
Oliver Dunn,Milwaukee Brewers,New York Mets,0,4,0,1,0,0,1,4,0.25,0.25,0.5,0.004,0.47,0.0,0.47,-0.2,1,1,0,0,0,1
Joey Ortiz,Milwaukee Brewers,New York Mets,0,1,0,0,0,0,0,1,0.2,0.2,0.4,-0.006,0.24,-0.0,0.24,-0.2,0,0,0,0,0,0
Brice Turang,Milwaukee Brewers,New York Mets,0,5,0,2,0,0,2,5,0.429,0.429,0.857,-0.015,0.35,-0.01,0.35,-0.6,2,2,0,0,0,2
Jackson Chourio,Milwaukee Brewers,New York Mets,0,5,0,2,0,0,2,5,0.444,0.375,0.819,-0.023,0.42,-0.01,0.42,-0.4,2,2,0,0,0,2
Brandon Nimmo,New York Mets,Milwaukee Brewers,1,5,0,1,0,0,2,5,0.111,0.111,0.222,-0.041,0.78,-0.02,0.7,-0.4,1,1,0,0,0,1
Francisco Lindor,New York Mets,Milwaukee Brewers,1,5,0,1,0,0,0,5,0.222,0.125,0.347,-0.107,0.95,-0.06,0.86,-0.8,1,1,0,0,0,1
Pete Alonso,New York Mets,Milwaukee Brewers,1,4,1,2,1,0,0,5,0.375,0.714,1.089,0.084,0.87,0.05,0.79,1.2,4,1,0,0,1,5
Tyrone Taylor,New York Mets,Milwaukee Brewers,1,3,0,0,0,0,0,3,0.0,0.0,0.0,-0.054,0.98,-0.03,0.88,-0.6,0,0,0,0,0,0
DJ Stewart,New York Mets,Milwaukee Brewers,1,2,0,0,0,0,2,2,0.2,0.0,0.2,-0.101,1.94,-0.05,1.75,-0.7,0,0,0,0,0,0
Starling Marte,New York Mets,Milwaukee Brewers,1,3,2,1,0,2,1,5,0.5,0.833,1.333,-0.013,0.92,-0.01,0.83,0.5,3,1,0,0,0,1
Jeff McNeil,New York Mets,Milwaukee Brewers,1,4,0,1,0,0,0,4,0.143,0.143,0.286,-0.084,1.21,-0.04,1.09,-1.1,1,1,0,0,0,1
Francisco Alvarez,New York Mets,Milwaukee Brewers,1,4,2,3,2,0,0,4,0.429,0.857,1.286,0.171,0.8,0.09,0.72,2.5,7,2,0,0,1,6
Zack Short,New York Mets,Milwaukee Brewers,1,3,0,1,0,0,0,3,0.333,0.333,0.667,-0.016,1.0,-0.01,0.9,-0.2,1,1,0,0,0,1
Brett Baty,New York Mets,Milwaukee Brewers,1,1,1,1,3,0,0,1,0.25,1.0,1.25,0.078,0.87,0.04,0.78,2.1,5,0,0,0,1,4
Harrison Bader,New York Mets,Milwaukee Brewers,1,4,0,1,0,0,1,4,0.143,0.143,0.286,-0.111,1.12,-0.06,1.01,-1.0,1,1,0,0,0,1
Parker Meadows,Detroit Tigers,Chicago White Sox,0,3,1,1,0,2,0,5,0.375,0.5,0.875,0.077,0.98,0.05,1.0,0.9,2,0,0,1,0,3
Spencer Torkelson,Detroit Tigers,Chicago White Sox,0,5,1,1,1,0,0,5,0.333,0.333,0.667,-0.103,1.26,-0.06,1.28,-0.7,3,1,0,0,0,1
Riley Greene,Detroit Tigers,Chicago White Sox,0,4,2,1,1,1,0,5,0.222,0.5,0.722,0.06,1.38,0.04,1.41,0.9,4,0,0,0,1,4
Kerry Carpenter,Detroit Tigers,Chicago White Sox,0,5,0,2,0,0,0,5,0.5,0.6,1.1,0.0,1.31,0.0,1.34,0.7,2,1,1,0,0,3
