Unnamed: 0,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
7,M.Semien o1.5 total bases,Rotowire,100,0.75,M.Semien,1.5,0.75,Texas Rangers,Colorado Rockies,0.0,0.4634146341463415,0,0.6,1,0.5,0
8,N.Goodrum u1.5 total bases,Rotowire,100,0.75,N.Goodrum,1.5,0.75,Los Angeles Angels,Kansas City Royals,1.0,1.0,1,1.0,1,1.0,1
15,F.Freeman o1.5 total bases,Nick Simon,110,1.0,F.Freeman,2.1,1.1,Los Angeles Dodgers,San Diego Padres,0.0,0.4615384615384615,0,0.6,1,0.6,1
7,A.Manoah o2.5 Earned Runs,Zerillo,100,0.25,A.Manoah,0.5,0.25,Toronto Blue Jays,Minnesota Twins,1.0,1.0,1,1.0,1,1.0,1
1,D.Kremer u4.5 Ks,BJCunningham,106,1.0,D.Kremer,2.06,1.06,Baltimore Orioles,Arizona Diamondbacks,1.0,0.4285714285714285,0,0.6,1,0.4285714285714285,0
3,M.Gore o6.5 Ks,_Collin1,100,0.5,M.Gore,1.0,0.5,Washington Nationals,Boston Red Sox,0.0,0.2857142857142857,0,0.4,0,0.2857142857142857,0
4,B.Wilson o4.5 ks,Jason Radowitz,108,1.0,B.Wilson,2.08,1.08,Milwaukee Brewers,St Louis Cardinals,1.0,0.5,0,0.5,0,0.5,0
5,J.Urena o3.5 ks,Jason Radowitz,-125,1.0,J.Urena,1.8,0.8,Texas Rangers,Colorado Rockies,0.0,0.0,0,0.0,0,0.0,0
6,A.Wood o4.5 strikeouts,Nick Simon,110,1.0,A.Wood,2.1,1.1,Oakland Athletics,Seattle Mariners,0.0,0.25,0,0.2,0,0.25,0
