,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
3,T.Anderson o1.5 BB,SBK5065,-120,1.0,T.Anderson,1.8333333333333333,0.8333333333333335,Los Angeles Angels,Oakland Athletics,1.0,0.65,1,0.2,0,0.5,0
19,A.Abbott u4.5 strikeouts,Rotowire Prizepicks,100,1.5,A.Abbott,3.0,1.5,Cincinnati Reds,Tampa Bay Rays,0.0,0.65,1,0.8,1,0.6,1
