,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
3,N.Cortes u5.5 Ks,MrTuttle05,-115,1.15,N.Cortes,2.1499999999999995,0.9999999999999996,New York Yankees,Los Angeles Angels,1.0,0.5217391304347826,1,0.6,1,0.6,1
4,J.Montgomery u4.5 Ks,MrTuttle05,-170,1.7,J.Montgomery,2.7,1.0000000000000002,Arizona Diamondbacks,Philadelphia Phillies,1.0,0.8235294117647058,1,1.0,1,0.8,1
7,B.Woo u5.5 Ks,kylemurray03,-116,1.16,B.Woo,2.16,0.9999999999999998,Seattle Mariners,Detroit Tigers,1.0,0.75,1,0.8,1,0.7,1
8,B.Woo u5.5 Ks,MrTuttle05,-117,1.17,B.Woo,2.17,1.0,Seattle Mariners,Detroit Tigers,1.0,0.75,1,0.8,1,0.7,1
20,K.Gibson u5.5 strikeouts,Rotowire,100,0.75,K.Gibson,1.5,0.75,St Louis Cardinals,Tampa Bay Rays,1.0,0.4761904761904761,0,0.4,0,0.3,0
22,K.Gausman u5.5 strikeouts,Rotowire Prizepicks,100,1.5,K.Gausman,3.0,1.5,Toronto Blue Jays,Baltimore Orioles,1.0,0.5,0,0.6,1,0.5,0
23,T.Anderson o4.5 strikeouts,Rotowire Prizepicks,100,1.5,T.Anderson,3.0,1.5,Los Angeles Angels,New York Yankees,0.0,0.4090909090909091,0,0.6,1,0.5,0
24,B.Woo u5.5 strikeouts,Rotowire Prizepicks,100,1.5,B.Woo,3.0,1.5,Seattle Mariners,Detroit Tigers,1.0,0.75,1,0.8,1,0.7,1
2,K.Harrison o4.5 Ks,Thespinzone,155,0.2,K.Harrison,0.51,0.31,San Francisco Giants,Washington Nationals,0.0,0.5789473684210527,1,0.4,0,0.5,0
3,F.Montas o4.5 Ks,PropBetGuy,-130,1.0,F.Montas,1.7692307692307692,0.7692307692307692,Milwaukee Brewers,Atlanta Braves,0.0,1.0,1,1.0,1,1.0,1
4,C.Morton o5.5 Ks,kylemurray03,-135,1.35,C.Morton,2.35,1.0,Atlanta Braves,Milwaukee Brewers,1.0,0.5,0,0.2,0,0.4,0
7,S.Baz o4.5 strikeouts,Rotowire Prizepicks,100,1.5,S.Baz,3.0,1.5,Tampa Bay Rays,St Louis Cardinals,0.0,0.8,1,0.8,1,0.8,1
