,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
5,N.Castellanos o1.5 Total Bases,cowhitchurch,-110,0.5,N.Castellanos,0.9545454545454546,0.4545454545454546,Philadelphia Phillies,Detroit Tigers,1.0,0.4915254237288136,0.0,0.6,1.0,0.7,1.0
6,N.Castellanos o1.5 Total Bases,charliedisturco,-110,0.5,N.Castellanos,0.9545454545454546,0.4545454545454546,Philadelphia Phillies,Detroit Tigers,1.0,0.4915254237288136,0.0,0.6,1.0,0.7,1.0
1,N.Arenado o1.5 Total Bases,NicholaskMartin,-105,0.48,N.Arenado,0.937142857142857,0.4571428571428571,St. Louis Cardinals,Texas Rangers,0.0,,,,,,
2,T.Edman o1.5 Total Bases,NicholaskMartin,105,0.5,T.Edman,1.025,0.5249999999999999,St. Louis Cardinals,Texas Rangers,0.0,,,,,,
7,N.Arenado o1.5 Total Bases,cowhitchurch,-105,0.5,N.Arenado,0.9761904761904762,0.4761904761904761,St. Louis Cardinals,Texas Rangers,0.0,,,,,,
9,N.Arenado o1.5 Total Bases,charliedisturco,-105,0.5,N.Arenado,0.9761904761904762,0.4761904761904761,St. Louis Cardinals,Texas Rangers,0.0,,,,,,
15,Y.Alvarez o1.5 Total Bases,Zerillo,115,0.29,Y.Alvarez,0.6234999999999999,0.3334999999999999,Houston Astros,Toronto Blue Jays,0.0,,,,,,
17,K.Tucker o1.5 Total Bases,PropBetGuy,120,1.2,K.Tucker,2.64,1.4400000000000002,Houston Astros,Toronto Blue Jays,0.0,,,,,,
18,N.Castellanos o1.5 Total Bases,cowhitchurch,-110,0.5,N.Castellanos,0.9545454545454546,0.4545454545454546,Philadelphia Phillies,Detroit Tigers,1.0,,,,,,
21,N.Castellanos o1.5 Total Bases,charliedisturco,-110,0.5,N.Castellanos,0.9545454545454546,0.4545454545454546,Philadelphia Phillies,Detroit Tigers,1.0,,,,,,
