,Play,Expert,Odds,Units,Payout,Profit,Name,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
1,B.Harper o0.5 RBI,Thespinzone,130,0.15,0.345,0.1949999999999999,B.Harper,Philadelphia Phillies,St. Louis Cardinals,1,0.3505154639175257,0.0,0.8,1.0,0.5,0.0
2,A.Bohm o0.5 RBI,Thespinzone,120,0.1,0.22,0.12,A.Bohm,Philadelphia Phillies,St. Louis Cardinals,1,0.396551724137931,0.0,0.6,1.0,0.5,0.0
4,I.Paredes o0.5 RBI,Thespinzone,155,0.15,0.3824999999999999,0.2324999999999999,I.Paredes,Tampa Bay Rays,New York Yankees,1,0.3931623931623931,0.0,0.6,1.0,0.6,1.0
6,R.Mountcastle o0.5 RBI,Thespinzone,135,0.15,0.3525,0.2024999999999999,R.Mountcastle,Baltimore Orioles,Colorado Rockies,1,0.3469387755102041,0.0,0.6,1.0,0.7,1.0
4,R.Palacios o0.5 RBI,Thespinzone,240,0.15,0.51,0.36,R.Palacios,St. Louis Cardinals,Philadelphia Phillies,0,,,,,,
5,B.Harper o0.5 RBI,Thespinzone,130,0.15,0.345,0.1949999999999999,B.Harper,Philadelphia Phillies,St. Louis Cardinals,1,,,,,,
8,A.Bregman o0.5 RBI,Thespinzone,175,0.1,0.275,0.175,A.Bregman,Houston Astros,Detroit Tigers,0,,,,,,
11,A.Judge o0.5 RBI,Thespinzone,120,0.1,0.22,0.12,A.Judge,New York Yankees,Tampa Bay Rays,0,,,,,,
22,R.Mountcastle o0.5 RBI,Thespinzone,135,0.15,0.3525,0.2024999999999999,R.Mountcastle,Baltimore Orioles,Colorado Rockies,1,,,,,,
26,F.Lindor o0.5 RBI,Thespinzone,170,0.1,0.27,0.17,F.Lindor,New York Mets,Los Angeles Angels,1,,,,,,
