,Name,Team,Opponent,Hmcrt_adv,IP,H,R,ER,BB,SO,HR,ERA,Pit,Str,Ctct,StS,StL,GB,FB,GSc,WPA,aLI,cWPA,acLI,RE24,PO,Date
0,R.Feltner,Colorado Rockies,Detroit Tigers,0, 5.2,3,2,2,2,6,0,4.89,92,57,32,11,14,3,11,59,0.025,0.89,0.00,0.00,0.9,17,912
1,T.Skubal,Detroit Tigers,Colorado Rockies,1, 6 ,4,1,1,0,6,1,2.50,84,60,35,15,10,6,10,66,0.232,0.98,0.11,0.76,2.0,18,912
2,J.Junis,Cincinnati Reds,St. Louis Cardinals,0, 5 ,3,1,1,0,3,1,2.73,69,48,25,6,17,8,7,60,0.128,0.82,0.00,0.00,1.6,15,912
3,S.Gray,St Louis Cardinals,St. Louis Cardinals,0, 6 ,2,1,1,2,9,0,3.75,91,56,24,18,14,6,5,71,0.204,1.45,0.00,0.05,2.1,18,912
4,M.Spence,Oakland Athletics,Houston Astros,0, 7 ,7,2,2,0,2,1,4.33,81,57,38,7,12,17,9,57,0.040,0.67,0.00,0.00,1.3,21,912
5,F.Valdez,Houston Astros,Oakland Athletics,1, 6.1,5,1,1,1,6,0,2.91,96,65,40,8,17,13,6,64,0.195,1.09,0.13,1.21,1.8,19,912
6,D.McCaughan,Miami Marlins,Washington Nationals,0, 5 ,6,3,3,2,1,0,7.06,84,54,37,4,13,8,12,42,-0.079,0.83,0.00,0.00,-0.6,15,912
7,M.Parker,Washington Nationals,Miami Marlins,1, 6.1,3,2,0,0,5,0,4.24,76,51,31,13,7,12,7,68,0.161,1.04,0.00,0.00,0.9,19,912
8,R.Pepiot,Tampa Bay Rays,Cleveland Guardians,0, 2 ,4,2,2,2,1,0,3.76,38,24,17,2,5,6,3,39,-0.117,1.33,-0.00,0.04,-1.0,6,912
9,G.Williams,Cleveland Guardians,Tampa Bay Rays,1, 5.1,7,3,3,2,5,1,5.23,90,60,30,12,18,3,14,45,-0.132,1.02,-0.06,0.73,-0.9,16,912
10,C.Criswell,Boston Red Sox,New York Yankees,0, 5.1,4,1,1,3,4,1,3.98,86,54,36,5,13,5,10,57,0.141,1.13,0.04,0.50,1.5,16,912
11,N.Cortes,New York Yankees,Boston Red Sox,1, 5 ,3,1,1,3,9,1,3.90,92,58,30,16,12,2,6,63,0.144,1.25,0.12,1.73,1.5,15,912
12,K.Rocker,Texas Rangers,Seattle Mariners,0, 4 ,3,1,1,2,7,1,2.25,74,47,25,17,5,4,4,57,0.065,1.26,0.00,0.03,0.8,12,912
13,B.Miller,Seattle Mariners,Texas Rangers,1, 6 ,5,1,1,1,7,1,3.12,84,51,26,6,19,7,7,64,0.171,0.92,0.10,0.91,1.7,18,912
14,F.Montas,Milwaukee Brewers,San Francisco Giants,0, 6 ,2,0,0,2,8,0,4.49,102,67,34,17,16,5,7,74,0.349,0.97,0.18,0.82,2.9,18,912
15,H.Birdsong,San Francisco Giants,Milwaukee Brewers,1, 5 ,2,0,0,1,4,0,4.74,68,46,28,6,12,5,7,66,0.275,0.95,0.00,0.01,2.4,15,912
