,Name,Team,Opponent,Hmcrt_adv,IP,H,R,ER,BB,SO,HR,ERA,Pit,Str,Ctct,StS,StL,GB,FB,GSc,WPA,aLI,cWPA,acLI,RE24,PO,Date
0,A.Gomber,Colorado Rockies,Minnesota Twins,0, 3 ,11,8,8,1,2,1,4.26,71,48,33,2,13,4,12,6,-0.483,0.85,-0.03,0.07,-6.5,9,612
1,P.Lopez,Minnesota Twins,Colorado Rockies,1, 5 ,5,2,2,0,5,1,5.33,91,60,36,13,11,8,7,54,0.000,0.67,0.00,0.58,0.3,15,612
2,C.Bassitt,Toronto Blue Jays,Milwaukee Brewers,0, 5 ,5,0,0,4,5,0,3.56,100,60,36,6,18,9,6,58,0.308,1.52,0.11,0.88,2.6,15,612
3,T.Myers,Milwaukee Brewers,Toronto Blue Jays,1, 6 ,3,1,1,1,4,1,3.76,66,49,28,5,16,7,8,65,0.204,0.74,0.14,0.87,2.1,18,612
4,F.Valdez,Houston Astros,San Francisco Giants,0, 4 ,8,5,5,1,1,0,3.99,59,37,25,3,9,8,10,26,-0.307,1.20,-0.08,0.54,-3.1,12,612
5,L.Webb,San Francisco Giants,Houston Astros,1, 6 ,7,3,3,0,5,1,3.02,83,57,32,8,17,12,7,51,0.059,0.89,0.03,0.74,-0.2,18,612
6,H.Harris,Oakland Athletics,San Diego Padres,0, 5 ,4,2,2,1,5,2,2.49,83,53,30,8,15,7,7,55,-0.007,0.69,0.00,0.06,0.4,15,612
7,M.King,San Diego Padres,Oakland Athletics,1, 5 ,4,2,2,2,12,0,3.58,98,69,34,16,19,3,4,61,0.144,1.15,0.09,1.16,1.4,15,612
8,S.Schwellenbach,Atlanta Braves,Baltimore Orioles,0, 6 ,4,2,2,2,3,0,6.32,89,62,40,9,13,7,11,57,-0.012,0.81,-0.01,0.80,0.7,18,612
9,C.Povich,Baltimore Orioles,Atlanta Braves,1, 6 ,5,0,0,0,6,0,4.76,89,63,32,14,17,8,9,68,0.320,1.20,0.16,0.99,2.7,18,612
10,J.Irvin,Washington Nationals,Detroit Tigers,0, 6 ,6,1,1,1,5,1,3.00,98,69,37,7,25,7,12,60,0.177,0.83,0.07,0.52,1.9,18,612
11,R.Olson,Detroit Tigers,Washington Nationals,1, 5.1,10,5,4,2,3,1,3.68,91,57,37,13,7,11,11,31,-0.302,0.84,-0.11,0.50,-3.2,16,612
12,J.Assad,Chicago Cubs,Tampa Bay Rays,0, 4.2,5,2,2,2,4,1,2.81,90,55,36,8,11,5,10,48,-0.067,1.03,-0.03,0.79,-0.1,14,612
13,A.Civale,Tampa Bay Rays,Chicago Cubs,1, 5.2,5,1,1,1,6,1,5.20,85,54,27,7,20,7,9,60,0.184,1.07,0.05,0.46,1.6,17,612
14,C.Sanchez,Philadelphia Phillies,Boston Red Sox,0, 4 ,7,4,4,2,2,0,3.07,67,35,20,8,7,5,10,32,-0.196,1.04,-0.06,0.56,-1.6,12,612
