Name,Team,Opponent,Hmcrt_adv,IP,H,R,ER,BB,SO,HR,ERA,Pit,Str,Ctct,StS,StL,GB,FB,GSc,WPA,aLI,cWPA,acLI,RE24,PO,Date
P.Skenes,Pittsburgh Pirates,Detroit Tigers,0,6.0,3,2,2,1,9,1,2.45,96,70,42,16,12,5,7,66,0.146,0.86,0.06,0.56,1.1,18,529
K.Montero,Detroit Tigers,Pittsburgh Pirates,1,4.1,5,4,4,1,5,2,8.31,87,56,34,9,13,4,9,41,-0.236,0.89,-0.1,0.64,-1.9,13,529
J.Jones,Pittsburgh Pirates,Detroit Tigers,0,4.1,5,7,5,2,2,1,3.55,83,53,34,4,15,9,8,29,-0.246,0.6,-0.1,0.42,-4.1,13,529
T.Skubal,Detroit Tigers,Pittsburgh Pirates,1,7.0,3,0,0,1,8,0,2.01,93,66,30,15,21,8,8,78,0.244,0.64,0.1,0.42,3.6,21,529
A.Pallante,St Louis Cardinals,Cincinnati Reds,0,6.0,3,0,0,3,4,0,3.94,86,51,31,5,15,8,7,67,0.335,1.12,0.19,1.05,3.3,18,529
F.Montas,Cincinnati Reds,St. Louis Cardinals,1,6.0,6,3,3,2,5,1,4.6,107,70,44,11,15,6,11,51,-0.052,0.85,-0.02,0.48,0.3,18,529
R.Nelson,Arizona Diamondbacks,Texas Rangers,0,6.0,5,4,4,3,3,1,6.02,95,61,42,7,12,8,11,46,-0.121,0.76,-0.05,0.53,-0.8,18,529
D.Dunning,Texas Rangers,Arizona Diamondbacks,1,5.0,3,0,0,4,6,0,3.94,92,54,28,10,16,8,4,63,0.283,1.12,0.12,0.82,2.7,15,529
C.Sanchez,Philadelphia Phillies,San Francisco Giants,0,6.0,4,0,0,1,7,0,2.83,96,68,36,10,22,9,7,70,0.3,1.03,0.17,0.99,3.1,18,529
K.Harrison,San Francisco Giants,Philadelphia Phillies,1,5.0,12,4,4,1,5,2,4.15,102,69,44,9,16,7,14,31,-0.157,0.99,-0.1,1.04,-1.5,15,529
J.Paxton,Los Angeles Dodgers,New York Mets,0,3.0,2,0,0,0,3,0,3.29,50,29,23,1,5,2,6,58,0.163,0.92,0.12,1.14,1.5,9,529
D.Peterson,New York Mets,Los Angeles Dodgers,1,5.0,7,3,2,1,3,1,3.6,86,57,34,9,14,8,10,45,-0.083,0.8,-0.02,0.26,-0.4,15,529
