Name,Team,Opponent,Hmcrt_adv,IP,H,R,ER,BB,SO,HR,ERA,Pit,Str,Ctct,StS,StL,GB,FB,GSc,WPA,aLI,cWPA,acLI,RE24,PO,Date
B.Keller,Chicago White Sox,New York Yankees,0,4.0,7,6,5,1,4,4,4.86,84,56,29,8,19,10,6,29,-0.346,0.54,-0.02,0.06,-4.3,12,518
L.Gil,New York Yankees,Chicago White Sox,1,6.0,5,1,1,1,14,0,2.39,98,65,28,19,18,2,7,71,0.14,0.89,0.09,0.95,2.1,18,518
B.Falter,Pittsburgh Pirates,Chicago Cubs,0,7.2,3,0,0,2,2,0,3.53,83,55,37,4,14,10,12,73,0.48,1.13,0.23,0.9,3.9,23,518
S.Imanaga,Chicago Cubs,Pittsburgh Pirates,1,7.0,4,0,0,1,7,0,0.84,88,68,35,20,13,11,7,75,0.46,1.02,0.34,1.26,3.8,21,518
Z.Eflin,Tampa Bay Rays,Toronto Blue Jays,0,6.0,9,4,4,0,3,0,4.12,75,53,34,7,12,7,16,41,-0.088,0.92,-0.05,0.8,-1.0,18,518
K.Gausman,Toronto Blue Jays,Tampa Bay Rays,1,6.0,8,3,3,1,6,0,4.89,102,72,46,12,14,10,9,49,0.106,1.2,0.04,0.67,0.0,18,518
L.Castillo,Seattle Mariners,Baltimore Orioles,0,6.0,4,2,2,4,2,0,3.28,89,54,36,4,14,6,13,54,0.012,0.88,0.01,0.96,0.9,18,518
G.Rodriguez,Baltimore Orioles,Seattle Mariners,1,6.0,1,0,0,3,7,0,3.15,82,50,27,13,10,4,7,74,0.334,1.05,0.24,1.24,2.9,18,518
T.Blach,Colorado Rockies,San Francisco Giants,0,3.0,7,6,6,1,3,1,5.14,64,45,30,3,12,3,10,23,-0.365,0.76,-0.06,0.2,-4.5,9,518
K.Harrison,San Francisco Giants,Colorado Rockies,1,5.0,5,3,3,2,4,0,3.6,79,49,32,7,10,6,10,47,0.044,0.92,0.02,0.67,-0.5,15,518
L.Severino,New York Mets,Miami Marlins,0,6.2,6,5,5,3,3,1,3.48,95,60,43,3,14,12,10,42,0.012,0.82,0.01,0.52,-0.5,20,518
B.Garrett,Miami Marlins,New York Mets,1,4.1,7,6,6,1,5,0,10.24,90,62,36,10,16,9,6,29,-0.218,1.29,-0.01,0.14,-1.9,13,518
M.Gore,Washington Nationals,Philadelphia Phillies,0,6.1,3,2,2,3,3,1,3.3,93,55,33,11,11,7,10,59,0.076,1.24,0.03,0.95,1.4,19,518
C.Sanchez,Philadelphia Phillies,Washington Nationals,1,7.0,8,2,2,0,8,0,3.31,92,69,44,12,13,15,3,61,0.127,1.02,0.08,1.05,1.6,21,518
B.Ober,Minnesota Twins,Cleveland Guardians,0,4.0,8,5,5,1,4,1,4.4,91,63,44,12,7,3,12,29,-0.257,0.61,-0.19,0.76,-3.0,12,518
L.Allen,Cleveland Guardians,Minnesota Twins,1,6.0,5,0,0,1,7,0,4.91,89,59,28,12,19,6,8,68,0.212,0.76,0.18,1.06,3.0,18,518
B.Wilson,Milwaukee Brewers,Houston Astros,0,4.2,5,2,2,1,3,1,2.79,58,39,21,6,12,8,7,48,0.018,0.92,0.01,1.09,0.3,14,518
J.Verlander,Houston Astros,Milwaukee Brewers,1,4.2,4,4,4,2,3,1,3.97,98,63,38,8,17,5,10,41,-0.237,1.41,-0.09,0.93,-1.6,14,518
R.Stripling,Oakland Athletics,Kansas City Royals,0,5.0,9,4,4,0,2,0,5.19,87,62,39,6,17,6,16,35,-0.198,1.05,-0.05,0.48,-1.8,15,518
S.Lugo,Kansas City Royals,Oakland Athletics,1,5.2,6,2,2,1,10,1,1.79,96,66,29,15,22,7,6,58,0.097,1.1,0.07,1.26,0.7,17,518
K.Crawford,Boston Red Sox,St. Louis Cardinals,0,5.2,6,1,1,2,5,1,2.17,99,68,38,10,20,7,10,56,0.177,1.01,0.07,0.71,1.7,17,518
M.Mikolas,St Louis Cardinals,St. Louis Cardinals,0,5.0,2,1,1,1,4,1,5.77,79,54,36,8,10,5,9,62,0.165,1.02,0.06,0.64,1.6,15,518
P.Sandoval,Los Angeles Angels,Texas Rangers,0,6.0,3,1,1,3,5,1,4.59,99,56,33,13,10,5,10,64,0.202,0.97,0.05,0.38,2.2,18,518
J.Urena,Texas Rangers,Los Angeles Angels,1,6.0,4,1,1,1,3,1,3.29,101,61,36,5,20,13,7,62,0.202,0.92,0.12,0.89,2.2,18,518
J.Flaherty,Detroit Tigers,Arizona Diamondbacks,0,6.0,5,2,2,2,9,0,3.79,98,61,27,16,18,8,5,61,0.049,1.17,0.03,1.0,1.1,18,518
Z.Gallen,Arizona Diamondbacks,Detroit Tigers,1,6.2,7,3,3,0,10,0,3.02,98,68,30,19,19,5,12,58,0.097,1.16,0.04,0.89,1.4,20,518
G.Ashcraft,Cincinnati Reds,Los Angeles Dodgers,0,5.0,3,3,3,3,5,0,4.25,106,63,39,9,15,6,7,51,-0.073,1.04,-0.03,0.62,-0.3,15,518
W.Buehler,Los Angeles Dodgers,Cincinnati Reds,1,6.0,3,0,0,0,7,0,4.05,78,55,28,8,19,7,7,73,0.335,0.86,0.24,1.02,3.2,18,518
