,Name,Team,Opponent,Hmcrt_adv,IP,H,R,ER,BB,SO,HR,ERA,Pit,Str,Ctct,StS,StL,GB,FB,GSc,WPA,aLI,cWPA,acLI,RE24,PO,Date
0,J.Jones,Pittsburgh Pirates,Cincinnati Reds,0, 5 ,6,6,6,3,5,2,4.14,90,53,29,11,13,5,11,33,-0.249,0.69,0.00,0.00,-3.3,15,921
1,R.Lowder,Cincinnati Reds,Pittsburgh Pirates,1, 5 ,5,0,0,2,4,0,1.40,87,55,36,7,12,6,11,59,0.223,0.80,0.00,0.00,2.7,15,921
2,M.Gore,Washington Nationals,Chicago Cubs,0, 7 ,1,1,1,3,9,1,4.04,94,61,37,10,14,7,4,77,0.328,0.91,0.00,0.00,2.5,21,921
3,K.Hendricks,Chicago Cubs,Washington Nationals,1, 5.1,9,4,4,1,2,0,6.28,91,61,37,6,18,10,11,35,-0.032,1.24,0.00,0.00,-0.2,16,921
4,R.Olson,Detroit Tigers,Baltimore Orioles,0, 3 ,1,1,1,1,3,0,3.49,58,33,16,12,5,3,4,55,0.049,1.29,0.05,2.21,0.4,9,921
5,C.Povich,Baltimore Orioles,Detroit Tigers,1, 5 ,2,2,2,3,7,0,5.59,89,62,34,11,17,0,10,59,0.014,0.93,0.01,0.55,0.3,15,921
6,M.Fried,Atlanta Braves,Miami Marlins,0, 6 ,5,2,1,1,6,0,3.42,100,69,36,14,19,12,5,61,0.107,1.24,0.09,1.71,1.3,18,921
7,A.Oller,Miami Marlins,Atlanta Braves,1, 5.2,8,2,2,2,7,1,5.06,92,61,34,12,15,7,11,50,0.079,1.31,0.00,0.00,1.1,17,921
8,R.Suarez,Philadelphia Phillies,New York Mets,0, 5 ,5,2,2,3,4,2,3.15,91,57,32,12,13,9,7,50,0.025,0.92,0.00,0.25,0.4,15,921
9,S.Manaea,New York Mets,Philadelphia Phillies,1, 7 ,3,3,3,0,6,2,3.29,89,65,40,13,12,7,11,65,0.145,0.84,0.11,1.11,1.0,21,921
10,Y.Rodriguez,Toronto Blue Jays,Tampa Bay Rays,0, 4 ,4,3,3,3,3,1,4.41,81,50,30,12,8,5,7,42,-0.149,1.01,0.00,0.00,-1.1,12,921
11,T.Bradley,Tampa Bay Rays,Toronto Blue Jays,1, 5 ,6,1,1,2,4,0,4.30,103,67,44,11,12,8,9,53,0.171,1.09,0.00,0.03,1.4,15,921
12,L.Roupp,San Francisco Giants,Kansas City Royals,0, 5 ,3,0,0,3,3,0,2.70,87,56,34,4,18,7,8,61,0.269,1.23,0.00,0.00,2.5,15,921
13,B.Singer,Kansas City Royals,San Francisco Giants,1, 5.1,7,6,6,1,6,4,3.73,88,54,27,7,20,4,13,35,-0.171,0.53,-0.11,0.58,-2.2,16,921
14,E.Hancock,Seattle Mariners,Texas Rangers,0, 5 ,5,2,2,0,3,1,4.72,79,54,35,9,10,5,12,52,0.037,0.93,0.02,0.74,0.4,15,921
15,D.Dunning,Texas Rangers,Seattle Mariners,1, 3.2,7,2,2,1,5,1,5.36,81,50,30,7,13,6,7,43,-0.055,0.89,0.00,0.00,-0.3,11,921
16,R.Detmers,Los Angeles Angels,Houston Astros,0, 2 ,9,7,7,3,3,1,6.67,66,39,26,5,8,4,7,10,-0.412,1.17,0.00,0.00,-5.7,6,921
17,R.Blanco,Houston Astros,Los Angeles Angels,1, 6 ,7,2,2,2,9,1,2.88,104,69,33,17,19,5,11,57,0.060,0.77,0.01,0.27,0.9,18,921
18,M.Kelly,Arizona Diamondbacks,Milwaukee Brewers,0, 5 ,2,0,0,0,6,0,3.71,72,48,23,8,17,6,4,69,0.277,1.01,0.14,0.85,2.6,15,921
19,A.Civale,Milwaukee Brewers,Arizona Diamondbacks,1, 4.1,3,3,3,3,2,2,4.53,91,51,33,1,17,3,11,44,-0.134,0.58,-0.02,0.16,-1.4,13,921
20,M.Boyd,Cleveland Guardians,St. Louis Cardinals,0, 4 ,4,2,2,3,6,1,2.72,88,57,30,9,18,3,7,49,-0.035,0.96,-0.01,0.30,0.1,12,921
21,M.Mikolas,St Louis Cardinals,St. Louis Cardinals,0, 6 ,4,1,1,0,4,1,5.35,81,59,35,6,18,8,10,64,0.254,0.98,0.00,0.00,2.1,18,921
22,C.Flexen,Chicago White Sox,San Diego Padres,0, 5 ,8,4,4,2,3,2,5.15,96,59,36,8,15,7,13,36,-0.163,0.71,0.00,0.00,-1.5,15,921
23,M.Perez,San Diego Padres,Chicago White Sox,1, 5.1,2,1,1,3,6,0,4.25,81,48,23,7,18,6,6,63,0.155,0.97,0.08,0.87,1.1,16,921
24,C.Rodon,New York Yankees,Oakland Athletics,0, 6 ,5,0,0,1,4,0,3.98,90,62,40,8,14,8,9,65,0.156,0.65,0.06,0.41,2.8,18,921
25,J.Sears,Oakland Athletics,New York Yankees,1, 5 ,9,6,6,2,6,2,4.43,93,61,35,6,20,6,11,29,-0.335,0.57,0.00,0.00,-3.7,15,921
26,C.Quantrill,Colorado Rockies,Los Angeles Dodgers,0, 4.2,6,3,3,4,5,1,4.72,100,58,35,5,18,6,9,41,-0.168,1.31,0.00,0.00,-1.3,14,921
27,W.Buehler,Los Angeles Dodgers,Colorado Rockies,1, 5.1,5,4,4,1,9,1,5.63,89,58,29,13,16,7,6,50,-0.226,1.07,-0.10,0.77,-1.6,16,921
