Name,Team,Opponent,Hmcrt_adv,IP,H,R,ER,BB,SO,HR,ERA,Pit,Str,Ctct,StS,StL,GB,FB,GSc,WPA,aLI,cWPA,acLI,RE24,PO,Date
J.Quintana,New York Mets,Philadelphia Phillies,0,3.2,6,3,3,2,1,0,5.29,69,41,30,2,9,8,6,36,-0.154,0.96,-0.03,0.34,-1.5,11,609
T.Walker,Philadelphia Phillies,New York Mets,1,5.2,2,2,2,1,6,0,5.4,79,52,27,3,22,4,9,62,0.262,0.78,0.1,0.48,2.4,17,609
K.Winn,San Francisco Giants,Texas Rangers,0,4.1,6,7,7,2,7,1,6.94,69,47,28,14,5,4,8,28,-0.324,0.83,-0.17,0.71,-4.0,13,609
N.Eovaldi,Texas Rangers,San Francisco Giants,1,7.0,5,2,2,1,5,1,2.68,90,68,37,9,22,9,12,63,0.136,0.55,0.05,0.34,1.3,21,609
B.Ober,Minnesota Twins,Pittsburgh Pirates,0,4.2,7,4,4,2,5,0,5.13,85,57,36,11,10,9,5,37,-0.292,1.05,-0.14,0.86,-1.9,14,609
J.Jones,Pittsburgh Pirates,Minnesota Twins,1,5.0,6,3,2,3,3,0,3.27,84,52,28,14,10,7,11,45,-0.091,1.01,-0.04,0.76,-0.5,15,609
H.Waldrep,Atlanta Braves,Washington Nationals,0,3.2,4,7,7,4,1,1,17.18,62,38,19,7,12,5,8,22,-0.355,1.11,-0.23,1.18,-2.8,11,609
D.Herz,Washington Nationals,Atlanta Braves,1,4.1,4,2,2,3,5,0,6.48,87,49,24,11,14,0,12,49,-0.07,0.92,-0.03,0.54,-0.5,13,609
S.Imanaga,Chicago Cubs,Cincinnati Reds,0,6.2,5,2,2,1,7,1,1.96,94,59,30,13,16,4,13,62,0.157,0.91,0.07,0.71,1.2,20,609
F.Montas,Cincinnati Reds,Chicago Cubs,1,1.1,5,4,4,3,2,0,4.55,55,32,20,6,6,1,6,27,-0.338,1.06,-0.18,0.92,-4.4,4,609
B.Wilson,Milwaukee Brewers,Detroit Tigers,0,4.1,6,7,7,2,4,0,4.19,89,57,27,13,17,6,10,25,-0.195,0.92,-0.14,1.07,-3.1,13,609
T.Skubal,Detroit Tigers,Milwaukee Brewers,1,6.2,5,1,1,2,10,0,1.92,95,65,28,15,22,9,5,68,0.263,0.8,0.1,0.5,2.1,20,609
C.Carrasco,Cleveland Guardians,Miami Marlins,0,4.2,4,2,2,0,3,1,5.5,55,38,25,9,4,6,9,51,-0.034,1.02,-0.02,1.03,0.3,14,609
T.Rogers,Miami Marlins,Cleveland Guardians,1,5.0,2,1,1,4,5,1,5.37,88,47,29,4,14,4,6,60,0.163,0.87,0.0,0.04,1.6,15,609
G.Rodriguez,Baltimore Orioles,Tampa Bay Rays,0,5.2,2,2,2,1,6,0,3.27,107,70,40,14,16,7,6,62,0.178,0.91,0.11,0.93,1.3,17,609
Z.Littell,Tampa Bay Rays,Baltimore Orioles,1,6.0,7,3,3,1,3,1,3.63,100,65,38,7,20,4,18,48,-0.079,0.75,-0.03,0.4,-0.2,18,609
Z.Kelly,Boston Red Sox,Chicago White Sox,0,2.0,0,0,0,2,3,0,1.8,32,18,4,4,10,3,0,57,0.097,1.14,0.04,0.69,1.0,6,609
C.Flexen,Chicago White Sox,Boston Red Sox,1,5.0,2,2,2,2,3,1,5.06,89,54,29,11,14,4,9,56,0.023,0.86,0.0,0.0,0.4,15,609
G.Kirby,Seattle Mariners,Kansas City Royals,0,7.0,5,1,1,0,4,0,3.81,96,68,43,9,16,13,9,67,0.294,1.18,0.2,1.32,2.4,21,609
C.Ragans,Kansas City Royals,Seattle Mariners,1,6.0,3,1,1,1,9,1,3.08,107,72,37,20,15,2,10,70,0.213,0.91,0.16,1.17,2.0,18,609
T.Blach,Colorado Rockies,St. Louis Cardinals,0,5.0,8,4,4,1,3,1,4.84,79,57,33,8,16,5,15,37,-0.176,0.71,-0.01,0.08,-1.5,15,609
A.Pallante,St Louis Cardinals,St. Louis Cardinals,0,5.0,3,0,0,1,6,0,4.88,68,45,24,12,9,5,6,66,0.245,1.0,0.1,0.7,2.5,15,609
J.Verlander,Houston Astros,Los Angeles Angels,0,5.0,7,4,4,0,3,0,3.95,101,62,34,3,25,8,10,40,-0.257,1.48,-0.09,0.83,-1.5,15,609
P.Sandoval,Los Angeles Angels,Houston Astros,1,5.2,8,5,5,3,4,0,5.23,99,60,40,10,10,9,10,34,-0.234,1.21,-0.02,0.18,-1.4,17,609
B.Francis,Toronto Blue Jays,Oakland Athletics,0,4.0,3,0,0,1,3,0,7.36,49,31,20,7,4,3,9,58,0.207,1.23,0.07,0.65,1.8,12,609
M.Spence,Oakland Athletics,Toronto Blue Jays,1,7.0,5,2,2,0,3,0,3.68,89,64,44,8,12,8,13,62,0.055,0.85,0.01,0.15,1.1,21,609
S.McGough,Arizona Diamondbacks,San Diego Padres,0,0.2,1,1,1,0,1,1,6.62,13,9,5,2,2,0,2,47,-0.069,0.73,-0.03,0.48,-0.6,2,609
A.Mazur,San Diego Padres,Arizona Diamondbacks,1,3.0,8,8,8,3,2,1,9.0,82,47,27,7,13,5,10,10,-0.482,1.16,-0.27,1.08,-5.9,9,609
T.Glasnow,Los Angeles Dodgers,New York Yankees,0,6.0,8,5,5,1,12,2,3.24,104,71,30,21,20,5,8,47,-0.42,1.08,-0.27,1.17,-2.1,18,609
L.Gil,New York Yankees,Los Angeles Dodgers,1,5.2,5,3,3,1,5,1,2.04,96,60,37,13,10,4,13,51,-0.11,1.08,-0.06,0.93,-0.2,17,609
