Name,Team,Opponent,Hmcrt_adv,IP,H,R,ER,BB,SO,HR,ERA,Pit,Str,Ctct,StS,StL,GB,FB,GSc,WPA,aLI,cWPA,acLI,RE24,PO
Patrick Sandoval,Los Angeles Angels,Baltimore Orioles,0,1.2,6,5,3,2,2,0,16.2,60,36,20,6,10,5,5,27,-0.385,1.29,-0.22,1.23,-4.5,5
Corbin Burnes,Baltimore Orioles,Los Angeles Angels,1,6.0,1,1,1,0,11,1,1.5,82,56,26,10,20,2,6,77,0.09,0.42,0.05,0.4,1.9,18
Tarik Skubal,Detroit Tigers,Chicago White Sox,0,6.0,3,0,0,0,6,0,0.0,83,59,32,17,10,6,9,72,0.394,0.98,0.23,0.97,3.2,18
Garrett Crochet,Chicago White Sox,Detroit Tigers,1,6.0,5,1,1,0,8,0,1.5,87,61,33,11,17,7,8,66,0.205,0.85,0.12,0.84,2.2,18
Josiah Gray,Washington Nationals,Cincinnati Reds,0,4.0,8,7,7,2,6,2,15.75,80,52,23,15,14,4,10,22,-0.313,0.67,-0.18,0.64,-4.8,12
Frankie Montas,Cincinnati Reds,Washington Nationals,1,6.0,4,0,0,0,4,0,0.0,81,53,30,8,15,8,9,68,0.182,0.4,0.1,0.37,3.3,18
Nestor Cortes,New York Yankees,Houston Astros,0,5.0,5,4,4,2,5,1,7.2,76,54,27,10,17,5,10,44,-0.186,0.74,-0.1,0.68,-1.4,15
Framber Valdez,Houston Astros,New York Yankees,1,4.2,5,3,3,6,5,0,5.79,86,45,19,9,17,8,3,41,-0.019,1.49,-0.01,1.45,-0.2,14
Pablo López,Minnesota Twins,Kansas City Royals,0,7.0,4,1,1,0,7,1,1.29,84,61,30,15,16,8,9,72,0.4,1.07,0.24,1.08,2.6,21
Cole Ragans,Kansas City Royals,Minnesota Twins,1,6.0,5,2,2,3,9,1,3.0,97,66,32,19,15,5,9,60,0.099,0.94,0.06,0.97,1.1,18
Miles Mikolas,St Louis Cardinals,Los Angeles Dodgers,0,4.1,7,5,5,2,5,2,10.38,74,49,30,5,14,5,8,32,-0.244,0.59,-0.14,0.56,-2.9,13
Tyler Glasnow,Los Angeles Dodgers,St. Louis Cardinals,1,6.0,2,1,1,1,5,1,2.45,81,47,29,13,5,3,13,68,0.219,0.65,0.12,0.62,2.2,18
Mitch Keller,Pittsburgh Pirates,Miami Marlins,0,5.2,7,5,4,2,3,0,6.35,85,61,36,14,11,8,13,38,-0.276,0.91,-0.16,0.87,-2.0,17
Jesús Luzardo,Miami Marlins,Pittsburgh Pirates,1,5.0,2,2,2,2,8,1,3.6,85,51,22,17,12,3,6,61,0.071,0.81,0.04,0.75,0.7,15
Logan Webb,San Francisco Giants,San Diego Padres,0,6.0,5,2,2,2,5,0,3.0,97,61,33,12,16,9,8,57,0.019,1.28,0.01,1.29,1.0,18
Yu Darvish,San Diego Padres,San Francisco Giants,1,5.0,5,1,1,1,7,0,1.04,78,53,28,8,17,4,8,59,0.075,1.07,0.04,1.05,1.1,15
José Berríos,Toronto Blue Jays,Tampa Bay Rays,0,6.0,6,2,2,1,6,1,3.0,91,59,33,10,16,7,9,57,0.155,0.9,0.09,0.88,1.0,18
Zach Eflin,Tampa Bay Rays,Toronto Blue Jays,1,5.2,6,6,6,1,5,3,9.53,81,54,30,10,14,8,10,37,-0.295,0.82,-0.18,0.82,-3.4,17
Justin Steele,Chicago Cubs,Texas Rangers,0,4.2,3,1,1,1,6,0,1.93,67,48,30,10,8,5,6,59,0.119,1.03,0.07,0.93,1.3,14
Nathan Eovaldi,Texas Rangers,Chicago Cubs,1,6.0,4,2,2,1,3,0,3.0,88,55,38,6,11,8,9,58,0.066,0.92,0.04,0.85,1.2,18
Shane Bieber,Cleveland Guardians,Oakland Athletics,0,6.0,4,0,0,1,11,0,0.0,83,55,24,18,13,5,5,74,0.204,0.55,0.12,0.52,2.8,18
Alex Wood,Oakland Athletics,Cleveland Guardians,1,3.1,7,6,6,1,3,0,16.2,78,43,23,9,11,5,8,24,-0.303,1.12,-0.18,1.11,-4.8,10
Kyle Freeland,Colorado Rockies,Arizona Diamondbacks,0,2.1,10,10,10,1,2,1,38.57,49,34,20,6,8,6,8,-2,-0.416,0.88,-0.25,0.88,-7.9,7
Zac Gallen,Arizona Diamondbacks,Colorado Rockies,1,5.0,3,1,1,2,3,0,1.8,90,51,25,14,12,6,9,58,0.069,0.55,0.04,0.54,1.6,15
Brayan Bello,Boston Red Sox,Seattle Mariners,0,5.0,5,2,2,0,2,1,3.6,84,49,29,8,12,8,9,51,0.068,1.07,0.04,0.99,0.4,15
Luis Castillo,Seattle Mariners,Boston Red Sox,1,5.0,6,4,4,2,5,1,7.2,91,58,36,5,17,7,9,42,-0.219,1.07,-0.12,1.02,-1.6,15
