Name,Team,Opponent,Hmcrt_adv,IP,H,R,ER,BB,SO,HR,ERA,Pit,Str,Ctct,StS,StL,GB,FB,GSc,WPA,aLI,cWPA,acLI,RE24,PO,Date
B.Farmer,Cincinnati Reds,Pittsburgh Pirates,0,2.0,0,0,0,0,2,0,2.58,27,18,10,4,4,1,3,58,0.105,0.69,0.01,0.11,1.0,6,823
B.Falter,Pittsburgh Pirates,Cincinnati Reds,1,5.0,6,5,5,2,4,1,4.25,79,49,32,5,12,5,11,37,-0.235,0.79,-0.01,0.04,-2.5,15,823
H.Brown,Houston Astros,Baltimore Orioles,0,6.0,3,2,1,2,6,1,3.72,107,72,49,5,18,9,7,64,0.109,1.07,0.07,1.14,0.8,18,823
C.Povich,Baltimore Orioles,Houston Astros,1,5.0,8,5,5,2,3,2,6.1,84,55,30,9,16,5,13,32,-0.356,0.81,-0.34,1.27,-3.7,15,823
K.Freeland,Colorado Rockies,New York Yankees,0,6.2,5,3,2,2,3,2,5.7,106,66,43,5,18,13,9,55,-0.041,0.79,0.0,0.0,0.3,20,823
C.Rodon,New York Yankees,Colorado Rockies,1,6.0,4,0,0,1,5,0,4.16,102,65,37,14,14,7,10,68,0.349,1.06,0.28,1.41,3.0,18,823
J.Kochanowicz,Los Angeles Angels,Toronto Blue Jays,0,6.0,7,3,3,0,1,0,6.08,74,55,37,5,13,18,6,47,-0.105,1.23,0.0,0.0,-0.7,18,823
C.Bassitt,Toronto Blue Jays,Los Angeles Angels,1,6.0,4,4,4,2,6,0,4.41,98,59,30,7,22,6,9,52,-0.171,0.68,-0.0,0.01,-1.1,18,823
R.Nelson,Arizona Diamondbacks,Boston Red Sox,0,6.0,5,2,2,1,7,1,4.29,96,62,42,7,13,8,8,60,0.206,1.02,0.15,1.25,1.1,18,823
B.Bello,Boston Red Sox,Arizona Diamondbacks,1,5.1,7,5,5,4,2,0,4.95,88,57,35,7,15,11,9,32,-0.19,1.08,-0.13,1.23,-2.3,16,823
N.Eovaldi,Texas Rangers,Cleveland Guardians,0,6.0,7,3,3,1,5,0,3.79,106,72,44,13,15,10,10,50,0.094,1.21,0.0,0.03,-0.0,18,823
T.Bibee,Cleveland Guardians,Texas Rangers,1,5.2,8,4,4,1,6,0,3.46,94,65,39,12,14,3,16,42,-0.149,1.01,-0.14,1.58,-1.5,17,823
K.Hendricks,Chicago Cubs,Miami Marlins,0,4.2,7,3,3,2,0,0,6.33,77,47,28,2,17,9,11,36,0.001,1.2,0.0,0.23,0.1,14,823
M.Meyer,Miami Marlins,Chicago Cubs,1,6.0,6,3,3,2,2,2,5.44,91,53,40,4,9,10,12,48,0.014,1.03,0.0,0.0,0.2,18,823
M.Gore,Washington Nationals,Atlanta Braves,0,6.0,7,1,1,0,4,1,4.51,88,61,36,12,13,5,15,58,0.267,1.18,0.0,0.01,2.1,18,823
C.Sale,Atlanta Braves,Washington Nationals,1,7.0,9,2,2,1,4,0,2.62,99,62,36,7,19,11,12,54,0.133,1.04,0.11,1.39,1.6,21,823
K.Montero,Detroit Tigers,Chicago White Sox,0,5.0,6,2,2,2,4,0,5.15,88,58,38,5,15,3,13,49,0.045,1.49,0.0,0.1,0.4,15,823
C.Flexen,Chicago White Sox,Detroit Tigers,1,6.0,5,2,2,2,5,0,5.34,98,59,34,9,16,7,12,57,0.119,0.98,0.0,0.0,0.9,18,823
T.Walker,Philadelphia Phillies,Kansas City Royals,0,3.0,8,6,6,1,2,2,6.26,78,47,33,5,9,6,9,20,-0.378,0.77,-0.29,1.0,-4.5,9,823
M.Wacha,Kansas City Royals,Philadelphia Phillies,1,6.0,6,2,2,0,5,0,3.32,94,64,38,12,14,7,12,57,0.091,0.77,0.09,1.24,1.1,18,823
A.Pallante,St Louis Cardinals,Minnesota Twins,0,7.0,5,1,1,2,5,0,3.84,99,58,40,12,6,14,6,66,0.278,1.13,0.06,0.42,2.5,21,823
D.Festa,Minnesota Twins,St. Louis Cardinals,1,3.2,3,3,3,2,5,0,5.2,75,45,23,9,13,2,7,46,-0.181,1.12,-0.17,1.79,-1.3,11,823
A.Civale,Milwaukee Brewers,Oakland Athletics,0,4.0,4,3,3,4,3,1,4.84,82,50,32,4,14,3,10,41,-0.036,1.11,-0.03,1.3,-1.2,12,823
J.Sears,Oakland Athletics,Milwaukee Brewers,1,3.2,9,7,5,1,3,2,4.35,90,57,33,4,20,7,10,21,-0.451,0.6,-0.0,0.0,-5.6,11,823
P.Blackburn,New York Mets,San Diego Padres,0,2.1,10,5,5,0,1,2,4.66,59,36,24,3,9,7,8,18,-0.268,0.69,-0.2,0.84,-3.2,7,823
J.Musgrove,San Diego Padres,New York Mets,1,7.0,1,0,0,0,9,0,4.43,75,58,30,9,19,7,6,84,0.189,0.36,0.16,0.51,3.5,21,823
T.Alexander,Tampa Bay Rays,Los Angeles Dodgers,0,4.1,5,3,3,2,1,1,5.22,69,45,28,2,15,3,12,40,-0.146,1.21,-0.03,0.34,-0.8,13,823
B.Miller,Los Angeles Dodgers,Tampa Bay Rays,1,6.0,7,3,3,0,9,2,7.49,96,68,36,16,16,4,11,55,-0.035,0.69,-0.03,0.88,-0.0,18,823
H.Birdsong,San Francisco Giants,Seattle Mariners,0,4.0,1,0,0,4,5,0,4.57,80,39,20,8,11,1,7,61,0.205,1.48,0.06,0.76,1.8,12,823
L.Castillo,Seattle Mariners,San Francisco Giants,1,6.0,6,5,5,0,9,3,3.66,100,66,31,15,20,4,11,49,-0.249,0.55,-0.08,0.31,-2.3,18,823
