,Name,Team,Opponent,Hmcrt_adv,IP,H,R,ER,BB,SO,HR,ERA,Pit,Str,Ctct,StS,StL,GB,FB,GSc,WPA,aLI,cWPA,acLI,RE24,PO,Date
0,C.Povich,Baltimore Orioles,Detroit Tigers,0, 5 ,2,2,2,2,8,1,5.74,89,57,30,13,14,3,6,61,-0.018,0.80,-0.02,1.20,0.5,15,915
1,K.Montero,Detroit Tigers,Baltimore Orioles,1, 5 ,5,0,0,1,1,0,4.60,63,42,33,2,7,8,10,57,0.268,1.08,0.11,0.75,2.5,15,915
2,R.Lowder,Cincinnati Reds,Minnesota Twins,0, 5.1,6,3,3,1,5,0,1.74,77,47,30,10,7,5,11,48,0.111,1.18,0.00,0.00,1.1,16,915
3,D.Festa,Minnesota Twins,Cincinnati Reds,1, 3.2,3,2,2,3,4,0,5.07,72,40,27,6,7,6,4,48,-0.093,1.09,-0.07,1.37,-0.7,11,915
4,K.Crawford,Boston Red Sox,New York Yankees,0, 4.1,6,4,4,2,7,2,4.19,92,58,32,11,15,4,8,40,-0.194,0.74,-0.05,0.31,-2.0,13,915
5,C.Rodon,New York Yankees,Boston Red Sox,1, 5.1,6,2,2,2,5,1,4.12,88,57,30,14,13,10,7,51,0.073,1.11,0.06,1.56,0.0,16,915
6,D.Peterson,New York Mets,Philadelphia Phillies,0, 7.2,4,1,1,1,6,0,2.85,99,65,39,16,10,12,9,72,0.155,1.22,0.14,1.88,2.7,23,915
7,C.Sanchez,Philadelphia Phillies,New York Mets,1, 7 ,6,1,1,1,7,1,3.24,87,69,42,11,16,10,9,67,0.162,1.18,0.07,0.84,2.1,21,915
8,B.Singer,Kansas City Royals,Pittsburgh Pirates,0, 5 ,6,4,4,4,6,0,3.53,89,52,27,10,15,8,7,41,-0.233,1.43,-0.19,1.93,-1.4,15,915
9,J.Jones,Pittsburgh Pirates,Kansas City Royals,1, 4 ,6,2,2,3,5,0,3.85,97,61,41,7,13,4,8,44,-0.020,1.33,0.00,0.00,0.1,12,915
10,A.Oller,Miami Marlins,Washington Nationals,0, 5 ,6,3,3,2,2,1,5.40,75,45,27,4,14,9,8,43,-0.143,1.08,0.00,0.00,-0.6,15,915
11,M.Gore,Washington Nationals,Miami Marlins,1, 6 ,2,1,0,2,5,0,4.17,93,63,37,9,17,7,8,69,0.209,1.09,0.00,0.00,1.9,18,915
12,M.Mikolas,St Louis Cardinals,Toronto Blue Jays,0, 5 ,3,2,2,0,4,1,5.49,72,54,35,4,15,5,7,57,-0.046,0.89,0.00,0.00,0.4,15,915
13,Y.Rodriguez,Toronto Blue Jays,St. Louis Cardinals,1, 4.1,3,1,1,1,2,0,4.29,62,41,22,3,16,4,10,54,0.047,1.02,0.00,0.00,0.8,13,915
14,T.Bradley,Tampa Bay Rays,Cleveland Guardians,0, 4.1,5,2,2,3,6,0,4.39,99,60,38,13,9,3,9,48,0.011,1.12,0.00,0.08,0.3,13,915
15,B.Lively,Cleveland Guardians,Tampa Bay Rays,1, 5 ,4,0,0,1,2,0,3.87,59,42,29,6,7,11,6,60,0.149,1.00,0.12,1.35,1.5,15,915
16,J.Sears,Oakland Athletics,Chicago White Sox,0, 6 ,7,4,4,1,4,2,4.24,86,61,40,8,13,7,14,45,-0.202,0.62,0.00,0.00,-1.1,18,915
17,S.Burke,Chicago White Sox,Oakland Athletics,1, 5 ,5,2,2,2,5,1,2.25,85,57,36,12,9,7,8,52,0.044,0.92,0.00,0.00,0.4,15,915
18,K.Hendricks,Chicago Cubs,Colorado Rockies,0, 6 ,2,1,1,3,7,1,6.25,85,54,27,13,14,6,7,68,0.294,1.21,0.00,0.01,2.3,18,915
19,C.Quantrill,Colorado Rockies,Chicago Cubs,1, 2.1,4,2,2,6,2,0,4.68,69,34,23,2,9,3,6,37,-0.175,1.29,0.00,0.00,-2.0,7,915
20,M.Perez,San Diego Padres,San Francisco Giants,0, 5 ,2,1,1,1,2,1,4.36,69,45,26,8,11,6,9,60,0.083,1.04,0.07,1.40,1.4,15,915
21,L.Roupp,San Francisco Giants,San Diego Padres,1, 5 ,2,0,0,2,4,0,3.02,74,51,26,9,16,4,8,65,0.274,1.11,0.00,0.00,2.4,15,915
22,R.Blanco,Houston Astros,Los Angeles Angels,0, 6 ,4,0,0,2,5,0,2.88,92,58,32,13,13,4,12,67,0.237,0.77,0.14,0.77,3.0,18,915
23,C.Dana,Los Angeles Angels,Houston Astros,1, 3.1,5,5,5,2,3,1,10.45,68,39,21,8,10,10,2,31,-0.266,0.91,0.00,0.00,-3.5,10,915
24,D.Hall,Milwaukee Brewers,Arizona Diamondbacks,0, 3 ,5,5,5,3,4,0,4.91,80,48,29,8,11,7,3,30,-0.271,0.91,-0.27,1.49,-3.5,9,915
25,Z.Gallen,Arizona Diamondbacks,Milwaukee Brewers,1, 5 ,6,3,3,2,7,1,3.61,98,60,27,12,21,7,7,48,0.052,1.06,0.05,1.68,-0.4,15,915
26,A.Heaney,Texas Rangers,Seattle Mariners,0, 5 ,7,3,3,1,3,1,3.89,89,60,33,8,19,3,15,43,-0.170,0.50,-0.00,0.00,-0.8,15,915
27,G.Kirby,Seattle Mariners,Texas Rangers,1, 7 ,1,0,0,0,3,0,3.62,85,60,40,8,12,11,7,78,0.277,0.57,0.15,0.53,3.1,21,915
