,Name,Team,Opponent,Hmcrt_adv,IP,H,R,ER,BB,SO,HR,ERA,Pit,Str,Ctct,StS,StL,GB,FB,GSc,WPA,aLI,cWPA,acLI,RE24,PO,Date
0,P.Lopez,Minnesota Twins,Boston Red Sox,0, 4 ,9,7,7,1,3,2,4.11,86,56,42,7,7,7,11,18,-0.329,0.50,-0.36,0.90,-4.9,12,922
1,N.Pivetta,Boston Red Sox,Minnesota Twins,1, 5 ,4,1,0,3,4,0,4.21,95,56,33,5,18,7,9,58,0.149,0.79,0.00,0.01,1.6,15,922
2,P.Skenes,Pittsburgh Pirates,Cincinnati Reds,0, 5 ,2,0,0,0,9,0,1.99,73,50,25,16,9,4,4,72,0.305,0.95,0.00,0.00,2.7,15,922
3,H.Greene,Cincinnati Reds,Pittsburgh Pirates,1, 3 ,2,1,1,1,4,1,2.83,45,29,13,10,6,1,6,54,0.048,0.70,0.00,0.00,0.6,9,922
4,T.Holton,Detroit Tigers,Baltimore Orioles,0, 2 ,0,0,0,1,4,0,2.25,34,21,9,8,4,2,0,59,0.097,1.00,0.13,2.17,0.9,6,922
5,A.Suarez,Baltimore Orioles,Detroit Tigers,1, 5 ,5,4,4,1,6,3,3.74,80,59,40,12,7,4,10,46,-0.347,0.58,-0.06,0.17,-2.1,15,922
6,G.Holmes,Atlanta Braves,Miami Marlins,0, 4 ,3,2,2,1,5,2,3.88,62,42,20,15,7,4,6,52,-0.216,0.82,-0.19,1.19,-1.3,12,922
7,D.McCaughan,Miami Marlins,Atlanta Braves,1, 4 ,4,1,1,1,5,1,7.05,67,43,20,7,16,3,7,54,0.119,1.02,0.00,0.00,1.2,12,922
8,R.Burr,Toronto Blue Jays,Tampa Bay Rays,0, 1.1,1,0,0,0,3,0,3.56,28,16,8,7,1,0,2,55,0.070,0.79,0.00,0.00,0.7,4,922
9,S.Baz,Tampa Bay Rays,Toronto Blue Jays,1, 6 ,4,1,1,1,6,0,3.07,83,54,31,9,14,3,13,65,0.175,1.25,0.00,0.04,1.9,18,922
10,G.Canning,Los Angeles Angels,Houston Astros,0, 4.1,6,4,4,3,3,2,5.24,87,58,35,6,17,6,10,35,-0.151,1.17,0.00,0.00,-1.9,13,922
11,S.Arrighetti,Houston Astros,Los Angeles Angels,1, 6 ,5,2,2,0,6,1,4.61,78,58,31,11,16,8,8,60,0.209,1.00,0.06,0.44,0.9,18,922
12,B.Snell,San Francisco Giants,Kansas City Royals,0, 6 ,2,0,0,1,9,0,3.12,88,56,30,12,14,3,8,76,0.360,0.91,0.00,0.00,3.0,18,922
13,S.Lugo,Kansas City Royals,San Francisco Giants,1, 7 ,3,2,2,0,5,0,3.03,89,59,38,6,15,6,14,68,0.076,0.68,0.09,1.27,1.5,21,922
14,J.Montgomery,Arizona Diamondbacks,Milwaukee Brewers,0, 4.1,6,3,3,2,6,0,6.23,91,53,29,13,11,5,8,43,0.075,0.59,0.04,0.51,-1.0,13,922
15,F.Montas,Milwaukee Brewers,Arizona Diamondbacks,1, 2.2,6,8,7,2,4,3,4.85,68,39,23,5,10,4,6,18,-0.368,0.70,-0.04,0.13,-6.7,8,922
16,G.Williams,Cleveland Guardians,St. Louis Cardinals,0, 5.2,4,1,1,2,3,0,4.86,86,57,35,3,19,9,8,58,0.144,1.24,0.04,0.54,1.9,17,922
17,A.Pallante,St Louis Cardinals,St. Louis Cardinals,0, 7 ,1,1,1,2,4,0,3.71,85,53,35,4,14,11,6,73,0.269,1.10,0.00,0.00,2.6,21,922
18,J.Irvin,Washington Nationals,Chicago Cubs,0, 4 ,4,5,5,4,3,3,4.22,83,48,27,6,15,3,8,33,-0.235,0.59,0.00,0.00,-3.0,12,922
19,S.Imanaga,Chicago Cubs,Washington Nationals,1, 7 ,6,0,0,0,4,0,2.91,94,67,49,7,11,13,9,69,0.264,0.64,0.00,0.00,3.5,21,922
20,B.Woo,Seattle Mariners,Texas Rangers,0, 6 ,7,4,4,1,4,1,3.02,82,53,29,14,10,6,14,45,0.031,1.07,0.02,1.15,-1.2,18,922
21,A.Heaney,Texas Rangers,Seattle Mariners,1, 5.2,7,4,4,1,4,1,3.98,94,64,41,5,18,6,14,42,-0.018,0.86,0.00,0.00,0.3,17,922
22,L.Gil,New York Yankees,Oakland Athletics,0, 5.1,5,4,4,3,5,0,3.27,92,55,34,12,9,5,11,44,0.006,0.92,0.00,0.28,-0.1,16,922
23,J.Estes,Oakland Athletics,New York Yankees,1, 4 ,7,5,5,1,1,3,4.99,85,56,40,9,7,6,12,28,-0.359,0.92,0.00,0.00,-3.6,12,922
24,A.Senzatela,Colorado Rockies,Los Angeles Dodgers,0, 5 ,5,1,1,2,2,1,3.38,73,41,27,2,12,8,7,53,0.157,1.09,0.00,0.00,1.4,15,922
25,Y.Yamamoto,Los Angeles Dodgers,Colorado Rockies,1, 3 ,5,4,4,3,4,0,2.96,79,47,23,9,15,5,5,34,-0.258,1.01,-0.17,1.09,-2.5,9,922
26,S.Burke,Chicago White Sox,San Diego Padres,0, 6 ,2,1,1,1,8,1,1.93,87,58,32,14,12,3,9,71,0.251,0.98,0.00,0.00,2.1,18,922
27,Y.Darvish,San Diego Padres,Chicago White Sox,1, 6.1,3,2,2,0,9,2,3.18,87,57,28,11,18,5,8,68,0.082,0.79,0.06,1.00,1.3,19,922
28,Z.Matthews,Minnesota Twins,Boston Red Sox,0, 4.2,2,1,1,2,6,0,5.71,87,55,29,10,16,4,6,60,0.242,0.92,0.31,1.95,2.3,14,922
29,K.Crawford,Boston Red Sox,Minnesota Twins,1, 7.2,8,3,3,0,7,0,4.17,101,72,43,13,16,6,18,58,0.091,0.80,0.00,0.02,1.4,23,922
30,Z.Wheeler,Philadelphia Phillies,New York Mets,0, 7 ,7,2,2,1,8,1,2.56,94,67,43,12,12,8,11,62,0.062,0.98,0.01,0.22,1.0,21,922
31,T.Megill,New York Mets,Philadelphia Phillies,1, 4 ,4,1,1,2,6,0,3.98,83,52,31,11,10,3,7,54,0.100,1.15,0.09,1.68,0.9,12,922
