,Name,Team,Opponent,Hmcrt_adv,IP,H,R,ER,BB,SO,HR,ERA,Pit,Str,Ctct,StS,StL,GB,FB,GSc,WPA,aLI,cWPA,acLI,RE24,PO,Date
0,T.Bradley,Tampa Bay Rays,New York Yankees,0, 7 ,1,0,0,2,5,0,2.63,99,62,38,8,16,13,3,78,0.231,0.63,0.06,0.26,3.5,21,720
1,N.Cortes,New York Yankees,Tampa Bay Rays,1, 4.1,8,6,6,2,1,3,3.99,92,61,44,4,13,9,10,22,-0.265,0.91,-0.20,1.15,-3.8,13,720
2,K.Gibson,St Louis Cardinals,Atlanta Braves,0, 6.2,3,1,1,2,6,0,3.99,100,66,39,10,17,7,9,68,0.419,1.01,0.31,1.24,3.4,20,720
3,C.Morton,Atlanta Braves,St. Louis Cardinals,1, 6 ,6,1,1,1,4,0,3.92,94,65,37,8,20,13,5,59,0.184,1.13,0.13,1.34,2.1,18,720
4,R.Olson,Detroit Tigers,Toronto Blue Jays,0, 2 ,1,0,0,2,0,0,3.23,30,16,10,1,5,3,2,52,0.097,1.04,0.02,0.43,1.0,6,720
5,Y.Kikuchi,Toronto Blue Jays,Detroit Tigers,1, 5 ,5,4,4,2,8,0,4.54,94,62,32,13,17,6,6,47,-0.045,0.94,-0.00,0.10,-0.4,15,720
6,J.Kochanowicz,Los Angeles Angels,Oakland Athletics,0, 4 ,7,7,7,3,4,1,14.14,74,45,27,7,11,7,5,21,-0.364,0.76,-0.01,0.04,-5.2,12,720
7,M.Spence,Oakland Athletics,Los Angeles Angels,1, 5.1,5,2,2,3,3,0,4.67,85,50,35,5,10,11,7,50,0.062,0.90,0.00,0.00,-0.6,16,720
8,L.Severino,New York Mets,Miami Marlins,0, 6 ,2,0,0,3,7,0,3.58,91,53,32,9,12,8,6,72,0.391,1.33,0.21,1.18,3.2,18,720
9,R.Munoz,Miami Marlins,New York Mets,1, 5 ,3,1,1,3,5,0,5.14,74,44,23,12,9,4,8,59,0.146,1.21,0.00,0.00,1.7,15,720
10,C.Sanchez,Philadelphia Phillies,Pittsburgh Pirates,0, 5.2,8,2,2,0,2,1,2.97,90,56,34,10,12,9,12,47,0.016,1.06,0.01,0.67,0.7,17,720
11,L.Ortiz,Pittsburgh Pirates,Philadelphia Phillies,1, 7 ,3,0,0,2,2,0,2.57,89,59,33,8,18,7,14,71,0.426,1.00,0.25,0.99,3.5,21,720
12,N.Lodolo,Cincinnati Reds,Washington Nationals,0, 6.1,6,4,4,1,8,1,3.51,104,70,40,11,19,12,6,52,0.055,1.45,0.02,0.79,-0.1,19,720
13,M.Gore,Washington Nationals,Cincinnati Reds,1, 2 ,2,3,3,4,2,0,4.20,67,37,23,7,7,2,4,38,-0.218,1.29,-0.04,0.40,-2.0,6,720
14,G.Rodriguez,Baltimore Orioles,Texas Rangers,0, 6 ,3,2,2,2,8,0,3.83,103,70,33,18,19,6,7,64,0.106,0.74,0.08,0.89,0.9,18,720
15,M.Scherzer,Texas Rangers,Baltimore Orioles,1, 2 ,5,4,4,2,1,0,3.99,53,34,23,6,5,5,5,29,-0.285,1.06,-0.07,0.46,-3.0,6,720
16,D.Cease,San Diego Padres,Cleveland Guardians,0, 7 ,1,0,0,1,10,0,3.76,97,63,35,10,18,5,6,84,0.360,0.82,0.19,0.72,3.4,21,720
17,G.Williams,Cleveland Guardians,San Diego Padres,1, 3.2,6,3,3,2,5,0,4.50,84,50,29,7,14,3,9,40,-0.181,1.48,-0.11,1.50,-1.8,11,720
18,J.Cannon,Chicago White Sox,Kansas City Royals,0, 6 ,8,4,4,0,4,0,4.58,91,64,40,10,14,7,13,44,-0.212,0.54,0.00,0.00,-0.9,18,720
19,B.Singer,Kansas City Royals,Chicago White Sox,1, 7 ,5,0,0,2,7,0,3.00,93,63,32,10,21,8,10,72,0.259,0.65,0.18,0.75,3.6,21,720
20,F.Peralta,Milwaukee Brewers,Minnesota Twins,0, 6 ,2,0,0,2,8,0,3.88,102,62,37,15,10,5,7,74,0.383,1.05,0.31,1.40,2.9,18,720
21,P.Lopez,Minnesota Twins,Milwaukee Brewers,1, 7 ,4,1,1,1,7,0,4.86,109,71,45,10,16,8,9,71,0.237,0.94,0.18,1.19,2.4,21,720
22,Z.Gallen,Arizona Diamondbacks,Chicago Cubs,0, 5 ,3,0,0,6,4,0,3.64,102,54,30,10,14,9,5,59,0.271,1.18,0.18,1.32,2.6,15,720
23,K.Hendricks,Chicago Cubs,Arizona Diamondbacks,1, 5 ,3,3,3,3,2,2,6.69,84,51,28,5,18,8,8,48,-0.091,0.77,-0.03,0.40,-0.4,15,720
24,B.Bello,Boston Red Sox,Los Angeles Dodgers,0, 6 ,5,3,3,1,7,1,5.27,82,57,28,17,12,8,8,56,-0.150,1.15,-0.11,1.36,0.0,18,720
25,J.Wrobleski,Los Angeles Dodgers,Boston Red Sox,1, 4.1,3,0,0,2,5,0,4.40,83,54,31,15,8,1,9,60,0.250,1.22,0.19,1.52,2.2,13,720
26,S.Gray,St Louis Cardinals,Atlanta Braves,0, 7 ,8,5,5,0,10,4,3.54,87,63,29,14,20,8,10,51,-0.048,0.78,-0.03,0.91,-1.3,21,720
27,B.Elder,Atlanta Braves,St. Louis Cardinals,1, 5 ,8,6,6,1,9,2,6.35,95,65,25,16,24,4,10,35,-0.364,0.70,-0.25,0.80,-3.4,15,720
28,L.Webb,San Francisco Giants,Colorado Rockies,0, 6 ,8,4,4,4,4,1,3.59,99,56,29,11,16,11,8,40,-0.155,0.95,-0.05,0.50,-0.7,18,720
29,K.Freeland,Colorado Rockies,San Francisco Giants,1, 6 ,5,3,2,1,4,1,5.63,89,62,43,6,13,4,15,55,0.029,1.11,0.00,0.00,0.3,18,720
30,F.Valdez,Houston Astros,Seattle Mariners,0, 5.2,3,2,2,4,6,1,3.63,100,59,31,13,15,9,5,57,-0.068,1.05,-0.06,1.61,0.5,17,720
31,G.Kirby,Seattle Mariners,Houston Astros,1, 6 ,4,1,1,0,6,0,3.20,99,66,41,13,12,8,8,66,0.161,1.11,0.15,1.72,1.7,18,720
