,Name,Team,Opponent,Hmcrt_adv,IP,H,R,ER,BB,SO,HR,ERA,Pit,Str,Ctct,StS,StL,GB,FB,GSc,WPA,aLI,cWPA,acLI,RE24,PO
0,Freddy Peralta,Milwaukee Brewers,New York Mets,0, 6 ,1,1,1,1,8,1,1.50,92,58,33,11,14,4,6,73,0.259,0.81,0.15,0.77,2.1,18
1,Jose Quintana,New York Mets,Milwaukee Brewers,1, 4.2,6,2,2,2,4,1,3.86,85,48,28,3,17,8,7,46,-0.036,1.05,-0.02,0.98,0.1,14
2,Spencer Strider,Atlanta Braves,Philadelphia Phillies,0, 5 ,3,2,2,2,8,1,3.60,90,59,28,18,13,5,5,59,0.006,0.95,0.00,0.98,0.6,15
3,Zack Wheeler,Philadelphia Phillies,Atlanta Braves,1, 6 ,5,0,0,0,5,0,0.00,89,63,35,18,10,10,8,67,0.351,1.13,0.21,1.15,3.1,18
4,Chris Bassitt,Toronto Blue Jays,Tampa Bay Rays,0, 5 ,6,5,4,2,6,1,7.20,95,63,34,8,21,10,5,41,-0.295,0.83,-0.19,0.88,-2.5,15
5,Aaron Civale,Tampa Bay Rays,Toronto Blue Jays,1, 6 ,4,1,1,1,6,1,1.50,86,53,29,5,19,4,11,65,0.158,0.79,0.09,0.76,2.0,18
6,Martín Pérez,Pittsburgh Pirates,Miami Marlins,0, 4.1,6,1,1,3,2,0,2.08,86,50,27,8,15,11,5,46,0.062,1.16,0.04,1.10,0.5,13
7,A.J. Puk,Miami Marlins,Pittsburgh Pirates,1, 2 ,3,4,4,6,1,0,18.00,68,33,15,5,13,2,5,29,-0.288,1.05,-0.16,0.95,-3.9,6
8,Carlos Rodón,New York Yankees,Houston Astros,0, 4.1,5,1,1,3,4,0,2.08,87,54,37,11,6,2,12,50,0.103,1.18,0.06,1.16,1.3,13
9,Cristian Javier,Houston Astros,New York Yankees,1, 6 ,4,0,0,1,6,0,0.00,90,56,28,8,20,4,12,69,0.371,0.99,0.20,0.91,3.1,18
10,Cal Quantrill,Colorado Rockies,Arizona Diamondbacks,0, 5 ,9,5,5,1,1,2,9.00,88,56,36,4,16,9,13,29,-0.140,0.79,-0.08,0.76,-1.4,15
11,Merrill Kelly,Arizona Diamondbacks,Colorado Rockies,1, 6.2,3,1,1,0,8,1,1.35,79,57,30,12,15,4,10,72,0.261,0.73,0.16,0.73,2.6,20
12,Logan Allen,Cleveland Guardians,Oakland Athletics,0, 5 ,6,3,3,0,3,2,5.40,82,54,32,13,9,12,6,46,-0.015,0.96,-0.01,0.96,-0.7,15
13,Ross Stripling,Oakland Athletics,Cleveland Guardians,1, 5 ,7,5,4,2,6,1,7.20,92,58,35,8,15,6,10,39,-0.294,0.66,-0.17,0.63,-2.7,15
14,Kyle Harrison,San Francisco Giants,San Diego Padres,0, 6 ,6,2,2,0,5,2,3.00,76,54,31,5,18,3,15,57,0.149,0.79,0.09,0.76,1.0,18
15,Joe Musgrove,San Diego Padres,San Francisco Giants,1, 5.2,8,4,4,1,3,1,9.72,84,60,32,11,17,9,11,39,-0.183,0.61,-0.11,0.61,-1.2,17
16,Nick Pivetta,Boston Red Sox,Seattle Mariners,0, 6 ,3,1,1,0,10,1,1.50,84,57,27,16,14,3,8,72,0.152,0.89,0.09,0.88,1.9,18
17,George Kirby,Seattle Mariners,Boston Red Sox,1, 6.2,2,0,0,2,8,0,0.00,99,67,33,16,18,5,9,76,0.400,1.02,0.22,0.95,3.2,20
18,Zack Thompson,St Louis Cardinals,Los Angeles Dodgers,0, 5.1,6,5,5,2,4,3,8.44,87,59,36,7,16,6,11,38,-0.210,0.47,-0.11,0.42,-2.5,16
19,Bobby Miller,Los Angeles Dodgers,St. Louis Cardinals,1, 6 ,2,0,0,1,11,0,0.00,93,62,32,9,21,5,4,78,0.264,0.60,0.16,0.60,3.2,18
