Name,Team,Opponent,Hmcrt_adv,IP,H,R,ER,BB,SO,HR,ERA,Pit,Str,Ctct,StS,StL,GB,FB,GSc,WPA,aLI,cWPA,acLI,RE24,PO,Date
S.Manaea,New York Mets,St. Louis Cardinals,0,7.0,6,0,0,0,10,0,3.3,102,74,39,13,22,6,12,75,0.284,0.79,0.21,0.96,3.6,21,805
A.Pallante,St Louis Cardinals,St. Louis Cardinals,0,4.2,5,5,5,2,2,0,4.43,90,55,34,6,15,12,5,34,-0.205,0.96,-0.14,1.05,-2.8,14,805
Z.Gallen,Arizona Diamondbacks,Cleveland Guardians,0,7.0,8,5,5,2,4,0,3.75,93,62,34,9,19,11,12,43,-0.345,1.19,-0.29,1.69,-1.5,21,805
L.Allen,Cleveland Guardians,Arizona Diamondbacks,1,5.0,5,2,2,2,2,2,5.56,84,53,33,5,15,10,7,49,0.085,0.86,0.05,0.9,0.5,15,805
N.Martinez,Cincinnati Reds,Miami Marlins,0,5.0,4,0,0,0,5,0,3.43,70,49,27,9,13,8,6,64,0.18,0.74,0.03,0.21,2.7,15,805
R.Munoz,Miami Marlins,Cincinnati Reds,1,3.2,7,6,4,3,2,2,5.68,83,47,29,7,11,10,7,26,-0.305,0.57,0.0,0.0,-4.7,11,805
L.Webb,San Francisco Giants,Washington Nationals,0,5.2,4,1,1,3,4,0,3.42,95,64,37,9,18,7,10,58,0.151,0.67,0.06,0.42,1.4,17,805
P.Corbin,Washington Nationals,San Francisco Giants,1,6.0,7,4,4,1,6,2,5.88,90,61,33,9,19,5,13,47,-0.198,0.62,-0.01,0.06,-1.1,18,805
D.Festa,Minnesota Twins,Chicago Cubs,0,5.0,2,0,0,2,9,0,5.55,82,51,23,13,15,3,5,70,0.294,1.11,0.22,1.39,2.6,15,805
K.Hendricks,Chicago Cubs,Minnesota Twins,1,6.0,5,2,2,1,5,1,6.6,93,64,34,9,21,7,10,58,0.053,0.82,0.01,0.27,1.1,18,805
H.Brown,Houston Astros,Texas Rangers,0,6.0,3,1,1,2,4,0,3.98,97,59,35,7,17,7,10,64,0.203,1.1,0.14,1.22,1.9,18,805
A.Heaney,Texas Rangers,Houston Astros,1,6.0,1,1,1,1,4,1,3.98,80,49,27,9,13,5,10,69,0.203,0.83,0.06,0.39,1.9,18,805
J.Paxton,Boston Red Sox,Kansas City Royals,0,6.0,5,2,2,1,4,0,4.42,90,62,35,8,19,9,9,57,0.122,1.05,0.1,1.42,1.1,18,805
B.Singer,Kansas City Royals,Boston Red Sox,1,5.2,10,4,4,1,6,0,3.03,107,65,34,16,15,7,13,38,0.034,1.25,0.03,2.02,0.5,17,805
K.Bush,Chicago White Sox,Oakland Athletics,0,4.0,2,3,3,5,3,0,6.75,84,45,26,4,15,5,6,44,-0.184,1.24,0.0,0.0,-1.1,12,805
J.Sears,Oakland Athletics,Chicago White Sox,1,7.0,3,1,1,1,5,0,4.35,89,61,36,11,14,5,14,71,0.244,0.98,0.0,0.0,2.3,21,805
A.Nola,Philadelphia Phillies,Los Angeles Dodgers,0,6.0,8,4,4,0,4,1,3.54,96,63,37,12,14,8,12,44,-0.199,0.89,-0.14,1.07,-1.0,18,805
T.Glasnow,Los Angeles Dodgers,Philadelphia Phillies,1,6.0,5,3,3,0,9,0,3.54,91,62,32,16,14,7,7,59,-0.003,1.03,-0.0,1.52,-0.0,18,805
