,Name,Team,Opponent,Hmcrt_adv,IP,H,R,ER,BB,SO,HR,ERA,Pit,Str,Ctct,StS,StL,GB,FB,GSc,WPA,aLI,cWPA,acLI,RE24,PO,Date
0,A.Pallante,St Louis Cardinals,Milwaukee Brewers,0, 5 ,5,5,5,5,3,2,4.07,100,59,39,6,14,9,7,35,-0.250,0.60,-0.03,0.13,-2.4,15,902
1,F.Peralta,Milwaukee Brewers,St. Louis Cardinals,1, 5.1,6,3,3,2,3,2,3.75,102,60,34,12,14,2,16,45,0.019,0.79,0.01,1.00,-0.3,16,902
2,C.Flexen,Chicago White Sox,Baltimore Orioles,0, 3.1,7,3,3,2,5,1,5.36,95,54,27,13,14,4,9,37,-0.243,1.55,0.00,0.00,-2.0,10,902
3,C.Burnes,Baltimore Orioles,Chicago White Sox,1, 5 ,6,2,1,1,4,0,3.19,89,53,26,9,18,8,7,52,0.053,1.17,0.04,1.63,0.3,15,902
4,J.Flaherty,Los Angeles Dodgers,Arizona Diamondbacks,0, 5.2,5,1,1,3,7,0,3.01,96,55,22,11,22,7,6,59,0.204,1.12,0.17,1.54,1.7,17,902
5,E.Rodriguez,Arizona Diamondbacks,Los Angeles Dodgers,1, 4 ,7,3,3,2,1,1,5.33,92,53,40,2,11,6,11,35,-0.123,1.02,-0.10,1.33,-0.9,12,902
6,J.Verlander,Houston Astros,Cincinnati Reds,0, 4.2,8,5,5,4,3,0,4.52,107,58,30,9,19,6,13,27,-0.218,1.27,-0.16,1.58,-1.6,14,902
7,J.Aguiar,Cincinnati Reds,Houston Astros,1, 2.2,2,2,2,2,2,0,6.48,53,33,24,2,7,3,6,46,-0.102,1.28,-0.00,0.01,-0.9,8,902
8,G.Williams,Cleveland Guardians,Kansas City Royals,0, 7 ,1,1,1,2,6,0,4.55,98,62,39,9,14,8,8,75,0.268,0.80,0.32,1.59,2.6,21,902
9,M.Wacha,Kansas City Royals,Cleveland Guardians,1, 5 ,5,2,2,1,3,1,3.50,85,55,31,8,16,4,12,51,-0.004,1.11,-0.00,2.14,0.6,15,902
10,T.Holton,Detroit Tigers,San Diego Padres,0, 2 ,1,0,0,0,1,0,2.38,32,21,11,4,6,3,3,55,0.099,0.68,0.03,0.34,1.0,6,902
11,J.Musgrove,San Diego Padres,Detroit Tigers,1, 6 ,3,0,0,2,8,0,4.09,94,61,27,14,20,4,9,72,0.367,1.25,0.25,1.44,3.0,18,902
12,S.Woods,Minnesota Twins,Tampa Bay Rays,0, 3.2,6,3,3,2,2,0,3.95,71,47,29,6,12,3,12,37,-0.150,1.39,-0.13,2.03,-1.4,11,902
13,Z.Littell,Tampa Bay Rays,Minnesota Twins,1, 4 ,7,4,4,4,2,1,4.04,78,49,33,9,7,5,11,30,-0.252,1.17,-0.03,0.27,-2.1,12,902
14,L.Gilbert,Seattle Mariners,Oakland Athletics,0, 6 ,4,4,4,1,9,1,3.19,95,61,35,15,11,4,9,56,-0.155,0.79,-0.05,0.44,-1.2,18,902
15,O.Bido,Oakland Athletics,Seattle Mariners,1, 5.1,6,4,4,1,4,1,3.52,91,60,33,8,19,5,13,43,-0.284,1.09,0.00,0.00,-2.1,16,902
16,B.Bello,Boston Red Sox,New York Mets,0, 5 ,7,4,4,1,4,0,4.75,91,58,36,9,13,8,9,40,-0.228,0.91,-0.09,0.63,-1.6,15,902
17,L.Severino,New York Mets,Boston Red Sox,1, 7 ,6,1,1,2,5,0,3.84,100,66,34,12,20,6,13,64,0.234,0.94,0.17,1.14,2.4,21,902
18,J.Jones,Pittsburgh Pirates,Chicago Cubs,0, 6.1,6,3,3,1,4,1,3.91,87,60,32,10,18,11,8,52,-0.066,0.76,0.00,0.00,-0.1,19,902
19,J.Taillon,Chicago Cubs,Pittsburgh Pirates,1, 7 ,3,0,0,1,3,0,3.66,89,61,36,5,20,13,9,73,0.382,1.00,0.13,0.55,3.5,21,902
20,G.Cole,New York Yankees,Texas Rangers,0, 6 ,4,1,1,1,9,0,3.65,82,56,31,13,12,4,9,68,0.194,1.07,0.15,1.43,1.9,18,902
21,J.Leiter,Texas Rangers,New York Yankees,1, 5 ,7,5,5,0,2,0,11.78,80,53,31,8,14,11,8,35,-0.206,0.97,-0.00,0.03,-2.1,15,902
