,Name,Team,Opponent,Hmcrt_adv,IP,H,R,ER,BB,SO,HR,ERA,Pit,Str,Ctct,StS,StL,GB,FB,GSc,WPA,aLI,cWPA,acLI,RE24,PO
0,DL Hall,Milwaukee Brewers,New York Mets,0, 4 ,6,2,2,2,1,1,4.50,73,45,24,5,16,6,10,41,0.039,1.15,0.02,1.14,0.1,12
1,Luis Severino,New York Mets,Milwaukee Brewers,1, 5 ,12,6,6,0,6,1,10.80,88,67,45,6,16,9,12,25,-0.339,0.74,-0.18,0.67,-3.4,15
2,Kenta Maeda,Detroit Tigers,Chicago White Sox,0, 3.1,7,6,6,1,2,3,16.20,71,46,33,6,7,6,8,23,-0.399,0.80,-0.24,0.82,-4.1,10
3,Michael Soroka,Chicago White Sox,Detroit Tigers,1, 5 ,7,4,4,3,0,1,7.20,77,44,26,3,15,10,11,34,-0.092,0.97,-0.05,0.93,-1.4,15
4,Griffin Canning,Los Angeles Angels,Baltimore Orioles,0, 5 ,7,5,5,1,2,1,9.00,96,59,37,8,14,5,15,34,-0.177,0.64,-0.10,0.58,-1.9,15
5,Grayson Rodriguez,Baltimore Orioles,Los Angeles Angels,1, 6 ,4,1,1,1,9,1,1.50,84,57,27,14,16,3,9,68,0.242,0.95,0.14,0.93,1.9,18
6,Max Fried,Atlanta Braves,Philadelphia Phillies,0, 0.2,2,3,3,3,1,0,40.50,43,23,14,4,5,0,3,34,-0.287,2.00,-0.18,2.10,-2.9,2
7,Aaron Nola,Philadelphia Phillies,Atlanta Braves,1, 4.1,12,7,7,1,3,2,14.54,83,54,35,7,12,11,9,13,-0.502,0.86,-0.29,0.82,-4.9,13
8,Tanner Bibee,Cleveland Guardians,Oakland Athletics,0, 4 ,6,3,3,5,4,0,6.75,88,50,28,10,12,8,5,37,-0.144,1.61,-0.09,1.67,-1.1,12
9,JP Sears,Oakland Athletics,Cleveland Guardians,1, 3.2,6,5,5,2,1,0,12.27,83,57,36,9,12,2,14,28,-0.426,1.12,-0.22,0.98,-3.3,11
10,Patrick Corbin,Washington Nationals,Cincinnati Reds,0, 4.1,7,4,4,1,2,2,8.31,69,42,26,10,6,8,7,34,-0.204,0.96,-0.11,0.87,-1.0,13
11,Hunter Greene,Cincinnati Reds,Washington Nationals,1, 4.2,5,2,2,4,7,0,3.86,100,59,33,14,12,4,7,49,-0.029,1.39,-0.02,1.34,0.3,14
12,Joe Ryan,Minnesota Twins,Kansas City Royals,0, 5.1,3,1,1,1,5,0,1.69,81,56,31,7,18,4,10,62,0.255,1.06,0.16,1.09,2.4,16
13,Seth Lugo,Kansas City Royals,Minnesota Twins,1, 6 ,2,0,0,1,4,0,0.00,86,58,29,12,17,8,8,71,0.360,1.21,0.21,1.15,3.1,18
14,Jared Jones,Pittsburgh Pirates,Miami Marlins,0, 5.2,3,3,3,2,10,0,4.76,89,62,31,17,14,5,6,59,0.083,0.83,0.05,0.86,0.8,17
15,Ryan Weathers,Miami Marlins,Pittsburgh Pirates,1, 4 ,7,3,3,2,5,0,6.75,94,60,33,11,16,9,5,39,-0.115,1.15,-0.06,0.97,-0.9,12
16,Yusei Kikuchi,Toronto Blue Jays,Tampa Bay Rays,0, 4.1,6,3,3,3,4,1,6.23,90,58,34,11,13,9,6,40,-0.031,1.09,-0.02,1.09,-0.0,13
17,Zack Littell,Tampa Bay Rays,Toronto Blue Jays,1, 6 ,4,0,0,2,6,0,0.00,92,61,38,10,13,6,8,68,0.333,1.21,0.19,1.14,3.0,18
18,Kyle Hendricks,Chicago Cubs,Texas Rangers,0, 3.2,9,5,5,2,2,2,12.27,72,43,28,2,13,9,8,23,-0.358,1.07,-0.19,0.93,-3.7,11
19,Cody Bradford,Texas Rangers,Chicago Cubs,1, 5 ,3,2,2,1,6,1,3.60,76,48,29,9,10,5,6,58,0.058,0.83,0.03,0.78,0.7,15
20,Marcus Stroman,New York Yankees,Houston Astros,0, 6 ,4,3,0,2,4,0,0.00,101,58,31,13,14,10,8,60,-0.061,0.96,-0.04,1.00,0.1,18
